[10.153] (S)くろばれお: わこさかーーーー
[2130.787] m_taromama: ウルトが強い
[2135.561] kokoa777: わこさか
[2136.568] カレンデュラ蛇: 今はとりあえずキャスよね
[2140.095] shake0308: まぁ最強ではない
[2143.746] mitu_ya: ナーフ前はマジで最強じゃなかったっけ
[2155.866] ちょこんぶ: 使い方初見じゃ難そう
[2210.403] (S)ren4299: いいねー
[2211.986] (S)michikaaa_: ないす
[2230.229] (S)ぱらぱら__: ないす！
[2230.976] (S)ねるる__: つよ
[2232.524] (S)megezoo: ないす
[2232.778] (S)maru_a_s_: おお
[2299.120] (S)mgdjwjwjd: mgdjwjwjd subscribed at Tier 1. 
[2301.777] robstar1008: ボブつっよ
[2310.058] _ひゅーす: ｗｗｗｗｗ
[2311.584] (S)かぐらちゃん_: wwwww
[2311.967] (S)ゆてぃ_: wwwww
[2312.283] asagi51: ｗｗｗ
[2312.674] (S)neet_master: ｗｗｗｗｗｗｗ
[2312.675] (S)yukidayo8: wwww
[2314.480] (S)ねるる__: wwwwww
[2314.546] (S)くろばれお: wwwww
[2314.732] (S)みにとーま: www
[2314.848] さく_らば: ｗｗｗ
[2314.933] __紬: wwww
[2315.426] (S)ぱらぱら__: wwwwwww
[2315.959] トリテイ: ｗｗｗｗ
[2317.230] アナベル_バトー: ｗｗｗｗｗ
[2317.734] puririnnnnn: wwwwww
[2318.154] はっっっちゃん: wwww
[2318.536] (S)亜弥ノエル: ｗｗｗｗ
[2320.232] you0zeromus: wwww
[2321.091] sapiiiiio: 𝗐𝗐𝗐𝗐𝗐𝗐
[2321.161] mickey__1228: wwwww
[2321.339] (S)りあ㌨: wwww
[2321.573] (S)brocco_lin: wwww
[2323.162] nyui_3: wwwwww
[2323.678] (S)96wuroncha: www
[2325.407] puririnnnnn: wwwwwwww
[2326.470] (S)ふき__: www
[2357.747] yuguchishousa: 四面楚歌w
[2366.325] you0zeromus: ないすー！
[2375.393] おじあつ: NICE！
[2377.449] (S)ぱらぱら__: ないす！
[2421.466] るぽぞん: にょっす
[2531.239] yuguchishousa: プティ名前の癖強くないか？
[2542.061] gacha_sukumizu: ご機嫌なタカってなにwww
[2552.568] you0zeromus: 初期ネームかなww
[2565.364] gacha_sukumizu: 不機嫌なトシもいるんかな…
[2580.040] yuguchishousa: 横柄か！
[2601.351] maitiko0323: わこさか(*´˘`*)
[2634.566] (S)ねるる__: ないすぅー
[2635.475] _ひゅーす: ないすう～！
[2635.504] (S)nugget3150: ないす〜
[2635.876] (S)ren4299: ないすー
[2636.001] (S)りあ㌨: ないすー
[2636.149] (S)ゆてぃ_: ないす
[2636.425] yuguchishousa: なーいす
[2637.276] __紬: ないす
[2638.498] (S)ぱらぱら__: ないすー！
[2638.798] hound444: ないす！
[2639.090] (S)co_oooo: ないすー！
[2639.756] (S)brocco_lin: ないすー！
[2641.226] paru1628: ないすー
[2642.307] (S)くろばれお: ないすー
[2642.906] you0zeromus: ないす！
[2643.883] (S)ksnt007: ナイス
[2646.440] (S)mitasomam: ないす
[2719.012] (S)ren4299: w
[2723.017] Jecikalba: axeumBlush
[2724.472] (S)ぱらぱら__: ピザ
[2727.287] hound444: ピザwww
[2727.790] _ひゅーす: ww
[2730.049] (S)megezoo: あかんかw
[2730.855] (S)亜弥ノエル: www
[2731.680] くらやなぎ: PizzaTime
[2731.779] __紬: wwww
[2737.830] tk_77777: 許せない派か
[2744.275] nemodesudoumo: な、ちょさんじゃない？w
[2751.415] yozakura0310: これってもしかして30時間コースですか？
[2753.138] (S)エリンギのバター炒め: 実際美味いの…？
[2753.381] con1818: PizzaTime
[2757.794] (S)io_ne55428: ポッポもやね
[2765.337] (S)くろばれお: 加熱したパイナップル美味しい
[2767.467] くらやなぎ: ちなみにうまいよ
[2774.040] (S)にゃるろーる: にゃるろーる converted from a Prime sub to a Tier 1 sub! 
[2781.167] (S)くろばれお: PizzaTime
[2799.949] くらやなぎ: なんなら酢豚よりうまいまである
[2801.626] sapasa: 好きなんだけどあんま食べれる機会ない
[2804.745] まっすべ: ドミノのはうまい
[2806.110] (S)maru_a_s_: ないすねえ
[2809.167] (S)エリンギのバター炒め: へぇ、機会があったら食べてみよ
[2869.799] sapasa: 勝ったなガハハ
[2869.995] tk_77777: 勝つさ
[2871.404] (S)ren4299: ガハハ
[2871.787] con1818: ふ、らぐ
[2872.040] くらやなぎ: パ、イナップルピザを食べる機会は自然発生しないから自分から食べに出向かないといけないというバグ
[2876.328] (S)ぱらぱら__: www
[2876.378] (S)亜弥ノエル: ガハハ
[2877.629] (S)brocco_lin: ガハハ
[2877.750] (S)ゆてぃ_: ガハハ
[2879.521] maninun: 勝ったなガハハ
[2880.136] rodiura: 勝ったな風呂入ってくる
[2886.100] (S)にゃるろーる: 歯茎がｗ
[2887.559] (S)エリンギのバター炒め: 建築すなw
[2890.358] くらやなぎ: 風呂食って飯入ってくる
[2890.816] _ひゅーす: うま～
[2892.086] (S)ren4299: うま
[2916.465] you0zeromus: ウルト温存できてるのでか
[2919.867] 0lly_can: 風呂キャン界隈の人やん
[2926.894] 0lly_can: はじめまして？
[2941.157] (S)maru_a_s_: うおお
[2941.967] _ひゅーす: ないす～！
[2942.968] (S)ren4299: わお
[2943.308] asagi51: ウルトえぐ
[2945.059] you0zeromus: ないすー！！
[2946.415] (S)ぱらぱら__: ないすすぎる！！
[2948.199] (S)たかたに: つよー
[2948.282] __紬: ないす
[2952.776] (S)megezoo: ないす！
[2953.892] k4iry0ku: バイザーつよいなぁ
[2954.508] _ひゅーす: www
[2954.541] (S)misa0915: ないす
[2954.781] (S)96wuroncha: ないす！
[2957.211] くらやなぎ: ないすうるとだ
[2958.687] (S)ねるる__: ないすぅー
[2960.953] (S)ren4299: gg
[2960.976] (S)maru_a_s_: 最強だ
[2962.788] (S)かるぼなーら: ないすGG
[2963.088] (S)りあ㌨: ないすー！
[2964.050] _ひゅーす: GG
[2964.593] (S)くろばれお: ないすーーー
[2964.798] (S)kuro_nekotan: ないすー！
[2964.918] (S)おるた_: ないすーgg
[2964.922] (S)亜弥ノエル: GG
[2965.304] (S)nugget3150: ないす〜！
[2965.315] (S)megezoo: gg
[2965.953] (S)07FZK: なーいす
[2965.975] (S)たかたに: gg
[2966.219] (S)sazanami28: ないすgg
[2966.390] (S)にゃるろーる: ないす～！！
[2967.410] you0zeromus: GG
[2967.416] (S)naeko1123: gg
[2967.484] (S)yukidayo8: ないすー！
[2967.743] トリテイ: ないすー
[2967.908] asagi51: GG
[2967.953] (S)ぱらぱら__: ないすー！gg
[2968.099] (S)ゆてぃ_: ないすgg
[2968.303] __紬: ないすー！gg
[2968.312] (S)b_chizu: gg
[2969.192] (S)ゆうひ__: GG
[2969.378] (S)ゆゆすけです: わこさかないす！
[2969.597] kao_ria825: ないすぅ！
[2970.619] kana_ym: gg
[2971.722] hound444: gg！！
[2974.226] (S)aoirooo_0: gg
[2974.540] (S)brocco_lin: ないすgg
[2975.813] (S)希乃0107: わこさか！
[2978.050] (S)kuro_nekotan: gg！
[2978.636] (S)mitasomam: GG!!
[2982.367] sapiiiiio: GG!!
[2982.645] (S)misa0915: GG
[2984.648] (S)ren4299: いいウルト
[2994.366] (S)くろばれお: 暴れてるーww
[2995.005] (S)まいめろ5: gg
[2997.452] you0zeromus: 無免ライダースキンかw
[2999.424] (S)07FZK: GG
[2999.837] (S)ねるる__: gg
[3003.802] おじあつ: gg
[3010.977] yuina_113: gg
[3042.742] (S)にゃるろーる: よかったねｗｗ
[3044.284] _ひゅーす: www
[3044.696] (S)ゆてぃ_: wwww
[3046.831] (S)亜弥ノエル: ｗｗｗｗｗ
[3046.959] __紬: wwww
[3047.102] (S)maru_a_s_: 会話できてよかった
[3047.883] (S)りあ㌨: wwww
[3048.162] (S)brocco_lin: よかったww
[3049.212] (S)ぱらぱら__: wwww
[3049.323] sapasa: ｗｗｗ
[3050.075] sapiiiiio: 𝗐𝗐𝗐𝗐𝗐𝗐
[3051.430] (S)neet_master: ｗｗｗｗｗｗ
[3053.342] (S)荒木なぎさ: wwwww
[3053.634] (S)yukidayo8: www
[3055.526] (S)sazanami28: wwww
[3055.573] (S)megezoo: wwww
[3056.223] (S)にゃるろーる: ｗｗｗｗｗ
[3058.265] (S)ksnt007: まずは1勝w
[3059.332] (S)くろばれお: wwwww
[3060.223] (S)ゆうひ__: ｗｗｗ
[3063.780] (S)kitanohou08: わこさかです！
[3065.277] asagi51: ありさんのアッシュ見たい
[3116.312] you0zeromus: ぷてちとこかげちゃん、癒し
[3124.252] _ひゅーす: えええ
[3128.630] (S)ゆてぃ_: わぁ
[3129.103] (S)くろばれお: えええ
[3129.227] hound444: なにごと
[3134.548] ichimi_togarash1: 相手もアッシュか
[3143.686] (S)ぱらぱら__: ウィドウハンゾーやばw
[3144.843] (S)ren4299: うわあ
[3154.915] you0zeromus: ゼニもいるしパチンカスばっかやん！
[3160.407] umeshuuuu: 格付け 
[3174.117] asagi51: スナこわ
[3204.404] _ひゅーす: wwww
[3205.028] (S)りあ㌨: wwwww
[3205.152] (S)かぐらちゃん_: wwwww
[3206.631] ojou_43: www
[3206.677] (S)yukidayo8: www
[3207.335] (S)sazanami28: www
[3207.455] (S)07FZK: www
[3207.715] さく_らば: ｗｗｗ
[3207.735] (S)brocco_lin: wwwww
[3208.137] (S)ren4299: www
[3208.663] (S)にゃるろーる: 無理ｗｗｗ
[3208.689] (S)megezoo: 言っちゃった
[3208.835] (S)ゆてぃ_: wwwww
[3209.989] (S)maru_a_s_: wwwwwwwwww
[3211.079] (S)ぱらぱら__: wwww
[3212.735] you0zeromus: wwww
[3213.263] __紬: wwwwww
[3215.226] (S)かぐらちゃん_: wwwwwwwwww
[3215.389] sapasa: ｗｗｗｗ
[3215.845] さく_らば: 無理が連鎖しとるがｗｗ
[3217.514] (S)ねるる__: wwwwww
[3217.865] トリテイ: ｗｗｗｗ
[3217.955] (S)ゆうひ__: ｗｗｗｗ
[3219.008] (S)nugget3150: wwwwwww
[3219.042] (S)亜弥ノエル: wwwwww
[3221.520] (S)まこよ: wwwww
[3241.038] ichimi_togarash1: wwwwww
[3242.185] you0zeromus: ww
[3245.478] _ひゅーす: おｗｗ
[3246.994] (S)くろばれお: 今こそ
[3247.561] (S)ren4299: なにこれぇ
[3248.430] (S)07FZK: ﾑﾘﾑﾘﾑﾘｗ
[3255.385] hound444: ハンゾーサン！？
[3255.746] you0zeromus: 満を持してな
[3270.351] (S)にゃるろーる: こんにちわｗｗｗ
[3273.483] (S)sido_aka: sido_aka subscribed at Tier 1. They've subscribed for 5 months, currently on a 5 month streak! ｗｗｗｗ
[3289.222] you0zeromus: なーいす！
[3296.792] さく_らば: おー耐えれた！
[3300.936] _ひゅーす: wwww
[3301.810] (S)megezoo: www
[3314.325] (S)ゆてぃ_: wwww
[3314.745] (S)亜弥ノエル: wwwww
[3316.807] (S)まめ___: wwww
[3318.051] (S)neet_master: ｗｗｗｗｗｗ
[3319.163] __紬: www
[3320.131] (S)ぱらぱら__: wwwww
[3331.030] (S)yuri_404n: 声高いw
[3335.194] (S)にゃるろーる: 声がｗｗｗ
[3336.071] (S)ksnt007: www
[3339.170] (S)maru_a_s_: しなぁ、、
[3345.357] _ひゅーす: wwwwww
[3346.916] (S)かるぼなーら: wwwwww
[3347.091] 1523dayo: BibleThump
[3348.726] (S)brocco_lin: wwww
[3350.030] you0zeromus: wwwww
[3350.944] (S)nugget3150: wwwwwww
[3351.308] (S)りあ㌨: BibleThump
[3351.515] (S)ぱらぱら__: wwwww
[3352.143] (S)sazanami28: wwww
[3353.622] (S)megezoo: 一瞬ww
[3354.101] (S)はるさんさん_: wwww
[3355.888] (S)シェオ: 早すぎww
[3356.406] (S)ねるる__: wwwwwwwww
[3356.413] (S)ksnt007: BrokeBack
[3356.657] (S)亜弥ノエル: 無理 
[3367.902] (S)たなか_たろう: ちょとむりだたか
[3368.474] (S)ren4299: そうかなw
[3370.667] (S)ksnt007: 攻めマか！
[3372.437] hound444: 攻めマやな
[3374.768] sasamin1018: !member
[3374.864] Nightbot: しすこ、ギアさん、ぷてさん、紡木こかげさん
[3376.677] (S)megezoo: 攻めマやね
[3388.964] (S)ksnt007: そうだw
[3397.250] (S)oji1chan: こんばんはー！
[3408.318] sasamin1018: わこさか～
[3416.674] (S)ksnt007: じゃあしょーがないか！
[3431.759] (S)oavow: 目とける
[3443.257] tatsunoko09: ゲームが早いのに弾速遅いから
[3447.952] hound444: 目ちぎれるから仕方ないね
[3457.208] you0zeromus: 久々なのによくこれだけ動けるよなあさすがだ
[3479.214] ひろゆきむ: OWやってくれて嬉しいよ
[3493.069] (S)ren4299: w
[3493.596] (S)yukidayo8: ww
[3496.681] (S)ksnt007: BibleThump
[3496.803] (S)b_chizu: wwww
[3499.258] nyui_3: wwww
[3500.902] (S)ニコピン中毒: BibleThump
[3502.008] (S)brocco_lin: wwww
[3508.737] aome1208: BibleThump
[3512.443] hound444: ハンゾーアウト、アッシュイン
[3523.987] さく_らば: ウルトはええ
[3530.882] (S)kitanohou08: ふー
[3531.158] you0zeromus: おさえてるwww
[3531.784] (S)ren4299: キレっそ
[3532.232] (S)ksnt007: NotLikeThis
[3536.081] (S)ゆてぃ_: ふぅ…ふぅ…
[3544.123] _ひゅーす: めっちゃきてるｗｗ
[3545.123] maitiko0323: GoldPLZ
[3545.328] kana_ym: NotLikeThis
[3546.457] (S)おるた_: 出待ちされとるwww
[3562.486] さく_らば: あ、すっごいｗ
[3564.450] (S)megezoo: 画面いっぱいの竜が
[3567.771] tayuta6345: こんばんは〜
[3584.615] _ひゅーす: ｗｗｗｗｗｗｗ
[3587.940] (S)ren4299: w
[3591.689] (S)ゆてぃ_: wwwww
[3592.517] hound444: あっつwwww
[3595.533] (S)まこよ: wwwww
[3621.932] (S)ぱらぱら__: wwwww
[3624.442] ichimi_togarash1: 相手上手いなあww
[3639.522] (S)kuro_nekotan: 目が忙しい
[3655.830] kiki_10_10: あと50秒耐えれば終われる
[3661.133] k4iry0ku: うっま
[3668.701] (S)kitanohou08: うまいなー相手
[3669.459] _ひゅーす: 相手うまｗ
[3672.249] (S)ksnt007: みんな〜
[3676.082] sapasa: ｗｗｗ
[3676.133] (S)yukidayo8: wwww
[3676.433] coffee_coffee0: 相手パチンコうますぎる
[3677.330] (S)かぐらちゃん_: wwwww
[3677.444] (S)りあ㌨: wwwww
[3678.823] (S)maru_a_s_: わあw
[3678.953] (S)kuro_nekotan: wwww
[3679.624] (S)おるた_: www
[3679.742] hound444: 血圧上がってまう
[3680.059] (S)ゆてぃ_: wwwww
[3680.580] (S)亜弥ノエル: wwww
[3680.621] (S)かるぼなーら: wwwww
[3680.740] (S)くろばれお: wwwww
[3680.799] (S)megezoo: wwwwww
[3680.968] さく_らば: 出れねぇｗｗ
[3681.111] (S)kitanohou08: ｗｗｗ
[3681.734] (S)___みー: wwwwww
[3682.221] (S)misa0915: www
[3682.453] (S)sazanami28: www
[3683.358] トリテイ: やばすぎｗ
[3684.033] _ひゅーす: nt
[3684.977] さく_らば: nt
[3685.479] (S)brocco_lin: wwwww
[3686.218] (S)sudachim: ﾖｼ
[3686.423] (S)おるた_: ntgg
[3687.000] (S)ksnt007: 次だ！
[3687.062] (S)ぱらぱら__: nt
[3689.914] _ひゅーす: ｗｗｗｗｗ
[3690.806] (S)ねるる__: nt
[3691.453] (S)ちぴ_ぴ: wwww
[3691.541] (S)brocco_lin: nf
[3691.555] (S)かぐらちゃん_: wwwwww
[3692.332] (S)新鮮なシャコ: wwwww
[3693.202] (S)にゃるろーる: ｗｗｗｗｗｗｗｗｗ
[3693.396] (S)sudachim: wwwww
[3693.775] (S)希乃0107: wwww
[3693.792] pokerface_1223: やってるまであるなw
[3695.547] トリテイ: ねくねく
[3696.348] you0zeromus: ww
[3697.041] (S)ren4299: wwwww
[3697.592] (S)くろばれお: なんか嫌いww
[3698.009] (S)oavow: なんかねw
[3698.707] (S)にゃるろーる: いったん次かｗ
[3699.080] (S)em0622: Corgo100 Corgo100
[3702.016] (S)ksnt007: マップが悪いかw
[3710.274] coffee_coffee0: パチンコすごいわ
[3712.920] (S)ren4299: タンク強かったな
[3721.839] (S)ゆてぃ_: wwwwww
[3727.631] _ひゅーす: wwwwwww
[3728.650] (S)ぱらぱら__: wwwww
[3729.240] (S)新鮮なシャコ: wwwwwwww
[3729.596] (S)sudachim: www
[3729.835] (S)まめ___: wwww
[3730.467] (S)kuro_nekotan: www
[3730.657] (S)にゃるろーる: ｗｗｗｗｗ
[3731.089] (S)りあ㌨: wwwww
[3732.186] (S)kitanohou08: ｗｗｗ
[3733.785] (S)ksnt007: 聞かない方がいいんじゃない？w
[3733.853] トリテイ: ｗｗ
[3734.529] (S)にゃるろーる: 無理ｗｗ
[3734.638] tayuta6345: wwwwww
[3734.734] (S)brocco_lin: wwwww
[3735.966] sapasa: ｗｗｗ
[3736.551] (S)sazanami28: wwww
[3738.326] (S)07FZK: www
[3752.039] (S)misa0915: wwwww
[3752.376] (S)sudachim: 丸いねえ
[3756.830] (S)oavow: 本音じゃないかw
[3760.192] (S)ゆてぃ_: 丸い言葉選び
[3763.070] pokerface_1223: いい子だね
[3763.380] hound444: 包んでるねえw
[3765.033] (S)ksnt007: まだ初めましてだからw
[3765.109] (S)96wuroncha: 謙虚だなぁw
[3765.340] さく_らば: ｗｗｗｗ
[3766.388] (S)グリシー: 心は守られたか
[3766.821] _ひゅーす: wwwww
[3767.573] (S)まめ___: wwwwww
[3768.074] (S)くろばれお: wwwwww
[3768.924] (S)にゃるろーる: ちくちくｗｗｗ
[3769.626] tayuta6345: www
[3770.247] (S)みにとーま: www
[3771.274] (S)ぱらぱら__: wwwwww
[3772.869] (S)pipipipipi_piiiii: わこさか〜
[3772.921] (S)brocco_lin: wwwwww
[3773.163] sapiiiiio: 𝗐𝗐𝗐
[3776.022] (S)96wuroncha: www
[3776.996] (S)まこよ: wwwwww
[3778.208] (S)ゆてぃ_: ﾁｸﾁｸwww
[3780.688] (S)yukidayo8: ww
[3784.206] (S)ren4299: wwwwww
[3784.459] (S)ksnt007: ナイフ研いでるかw
[3788.213] tayuta6345: ちくちくw
[3792.491] (S)エリンギのバター炒め: 片鱗出てるかwww
[3795.443] (S)かぐらちゃん_: wwwwww
[3797.178] (S)b_chizu: wwwwww
[3798.765] (S)ゆてぃ_: あっwww
[3800.041] (S)ぱらぱら__: wwwwwwww
[3800.529] (S)寧々_: wwwww
[3802.422] pokerface_1223: 勘違い乙やねそれはw
[3803.106] ryoma199811: ナイフ舐められるくらい研いでる
[3803.799] tayuta6345: www
[3803.964] (S)Hooooooooootaru: 誰につけてもなぁ...
[3806.052] _ひゅーす: ｗｗｗｗｗｗｗｗｗｗ
[3806.985] (S)ren4299: 裏の裏読みすぎw
[3807.976] (S)新鮮なシャコ: wwwwwwww
[3808.265] nyui_3: wwwwww
[3808.727] (S)にゃるろーる: みんなｗｗｗｗ
[3809.396] (S)ひばり1226: wwwwww
[3811.783] (S)希乃0107: wwww
[3813.490] (S)sazanami28: wwww
[3814.179] (S)yukidayo8: wwww
[3815.328] (S)seseri_salt: wwwww
[3816.814] (S)kitanohou08: ｗｗｗ
[3817.306] (S)ゆてぃ_: みんな顔下げてるやんwww
[3819.447] (S)亜弥ノエル: wwwww
[3819.522] (S)brocco_lin: wwwwwww
[3820.807] naxxuB: ナノミー待ってたんやろなぁ
[3821.505] (S)io_ne55428: wwww
[3822.156] (S)misa0915: wwww
[3824.601] (S)sudachim: 自信持ってくれよww
[3826.389] you0zeromus: www
[3846.234] (S)ren4299: ソルでいい
[3855.799] (S)ksnt007: あw
[3860.729] (S)yuri_404n: wwwww
[3865.683] hound444: TwitchConHYPE
[3894.336] (S)亜弥ノエル: ｗｗｗｗｗｗ
[3905.972] (S)ゆてぃ_: わぁ
[3950.697] (S)Hooooooooootaru: ｗｗｗ
[3952.754] (S)みにとーま: www
[3953.576] (S)にゃるろーる: ｗｗｗｗ
[3953.653] _ひゅーす: ｗｗｗｗｗｗｗｗｗ
[3954.344] (S)yukidayo8: おおお！
[3954.425] (S)07FZK: www
[3955.032] (S)pi_enn: ｗｗｗ
[3955.467] (S)neet_master: ｗｗｗｗｗｗｗｗ
[3956.615] (S)かぐらちゃん_: wwwwwwwwwwww
[3957.351] (S)yukidayo8: ww
[3958.613] (S)ren4299: w
[3958.760] (S)亜弥ノエル: ｗｗｗｗ
[3958.904] (S)seseri_salt: wwwww
[3959.676] nyui_3: wwwww
[3959.854] (S)にゃるろーる: シスさんｗｗｗ
[3960.729] you0zeromus: wwwww
[3961.321] (S)ちぴ_ぴ: wwww
[3961.340] (S)megezoo: ww
[3961.343] (S)りあ㌨: wwwwww
[3961.423] (S)sazanami28: wwww
[3961.937] (S)07FZK: いやっｗ
[3962.336] (S)brocco_lin: wwww
[3962.550] (S)misa0915: wwww
[3962.994] (S)おるた_: wwww
[3963.212] (S)b_chizu: wwww
[3963.873] (S)haaine_: wwww
[3964.443] (S)ぱらぱら__: wwwwww
[3964.510] (S)くろばれお: wwwww
[3964.934] (S)ゆてぃ_: wwwwww
[3966.478] (S)___みー: しすなんだよねwww
[3967.985] さく_らば: ｗｗｗ
[3973.737] (S)sudachim: でけえ声で譲ったなwww
[3988.486] naxxuB: ナノの重圧
[4035.160] (S)ksnt007: あ
[4039.090] (S)ren4299: w
[4043.041] (S)ksnt007: ありさんw
[4045.052] (S)yuri_404n: w
[4062.139] yusakani: わこさか〜！！
[4107.496] you0zeromus: ないすとりかえし！
[4113.736] Akatsuki_re7: わこさかー！
[4149.246] さく_らば: なーいす！
[4150.433] (S)sido_aka: ないすーー
[4153.085] (S)新鮮なシャコ: ないすー！
[4153.131] (S)ゆうひ__: ないす
[4153.290] (S)megezoo: ないす！
[4153.556] (S)みにとーま: ないすー
[4153.633] (S)07FZK: なーいす
[4153.847] (S)sazanami28: ないすぅ
[4154.044] (S)りあ㌨: なーいす
[4154.066] (S)oji1chan: ナイス！
[4154.493] hound444: ないす！
[4154.702] (S)misa0915: ないす！
[4155.093] asagi51: ないす！
[4155.127] _ひゅーす: ないす～！
[4155.604] (S)ksnt007: ナイス！
[4155.606] kao_ria825: ないす〜
[4155.779] (S)ぱらぱら__: なーいす！
[4155.997] you0zeromus: ないすー！
[4156.571] (S)kuro_nekotan: ないす！
[4156.770] (S)ren4299: ないすー
[4156.803] yusakani: ないす！
[4157.889] (S)ねるる__: ないすぅー
[4157.948] sapiiiiio: ないす
[4159.460] (S)brocco_lin: ないす！
[4160.147] (S)kitanohou08: ナイス！
[4160.753] (S)maru_a_s_: ないすー
[4164.707] (S)くろばれお: ないすー
[4167.036] (S)mitasomam: ナイス
[4167.067] (S)ren4299: wwww
[4169.011] (S)neet_master: ｗｗｗｗｗｗ
[4170.710] asagi51: ソルジャー良いね
[4185.007] (S)たなか_たろう: ｗｗｗ
[4191.825] hound444: ゲンジだあ！！！
[4193.361] gawrib: ギアさんがいる！
[4206.115] (S)ねるる__: ありげんだーーー
[4276.137] gacha_sukumizu: アリーパーやー!
[4296.252] (S)ねるる__: ないすぅー
[4298.608] (S)ゆてぃ_: ないす
[4325.624] asagi51: ないす
[4336.733] MIZUNO_o0: こんばんはー
[4411.532] you0zeromus: いいねえ！
[4444.215] you0zeromus: なーいすちむ！
[4449.896] (S)かるぼなーら: GG
[4450.649] (S)にゃるろーる: ないす～！
[4451.195] (S)yukidayo8: ないすー！
[4451.708] hound444: ないす！
[4451.817] _ひゅーす: ないすう！ＧＧ
[4451.903] (S)misa0915: ないす
[4451.928] (S)sazanami28: ないすgg
[4451.938] (S)ksnt007: ナイス！
[4452.428] (S)nugget3150: ないす〜！
[4453.287] (S)まめ___: ないすー！
[4453.447] (S)りあ㌨: gg
[4453.857] (S)oji1chan: GG
[4454.097] (S)ren4299: gg
[4454.356] (S)ksnt007: GG
[4454.692] sapasa: ないすぅ
[4454.774] (S)kitanohou08: ナイスー
[4454.845] (S)kuro_nekotan: ないすー！
[4454.895] (S)misa0915: GG
[4455.009] (S)b_chizu: gg
[4455.211] __紬: ないすーgg
[4455.660] (S)megezoo: ないすgg
[4457.672] (S)みにとーま: gg
[4458.138] さく_らば: ないす～ＧＧ
[4458.885] (S)ねるる__: gg
[4459.569] (S)naeko1123: gg
[4459.732] (S)mitasomam: ないすGG
[4463.332] (S)ひばり1226: ないす！
[4463.597] (S)くろばれお: ないすー
[4464.291] (S)brocco_lin: ないすGG
[4464.401] (S)aoirooo_0: gg
[4467.694] yusakani: ないす！強〜い！
[4474.541] matiashigorou: ナイス！
[4476.874] you0zeromus: 相手ゼニ多いな
[4494.306] (S)___みー: ダイヤ5なんだ！つよ！
[4511.989] sapasa: 燃え尽きがち
[4515.000] (S)かぐらちゃん_: wwwwww
[4515.365] _ひゅーす: ｗｗｗｗｗ
[4516.379] (S)maru_a_s_: wwwwwwwwww
[4517.579] (S)neet_master: ｗｗｗｗｗ
[4517.984] (S)亜弥ノエル: 壁ｗｗｗ
[4518.301] (S)brocco_lin: wwwww
[4518.855] (S)___みー: wwwwwwww
[4519.419] (S)ksnt007: ㄘʓ
[4520.016] (S)にゃるろーる: 壁ｗｗｗｗ
[4520.408] (S)ぱらぱら__: wwwwww
[4520.728] yusakani: ぼーっとｗｗｗ
[4521.886] __紬: wwwwww
[4522.098] pokerface_1223: ワンマッチの集中えぐいのよこれ
[4524.363] (S)misa0915: wwwwwww
[4524.439] you0zeromus: wwww
[4525.095] hound444: wwwwww
[4525.489] (S)にゃるろーる: 虚無だｗｗｗ
[4530.754] (S)ksnt007: 配信してるよw
[4533.387] (S)ぱらぱら__: カロリー高いんよねw
[4534.706] (S)kuro_nekotan: カロリー高そうだもんねw
[4537.380] sirasu_party: わこさかぁ
[4539.123] pemogu10: 目を休めるためにもねw
[4540.278] Jecikalba: axeumBlush
[4554.917] (S)sudachim: 推薦枠の皆さん
[4556.415] (S)ksnt007: 精鋭か
[4557.461] (S)にゃるろーる: マウスめちゃ動いてるｗｗ
[4561.634] hound444: 選ばれし者たち
[4563.229] tunakansalada24: 選ばれし者か
[4563.318] MIZUNO_o0: 笑
[4564.292] (S)亜弥ノエル: wwww
[4564.499] pemogu10: 選ばれし者か
[4564.951] sapasa: 選りすぐりかぁ
[4565.416] yusakani: ｗｗｗｗ
[4565.921] (S)ゆてぃ_: wwwww
[4566.258] (S)くろばれお: やろww
[4567.013] (S)oji1chan: www
[4567.100] (S)まめ___: www
[4567.274] (S)りあ㌨: wwwww
[4568.328] ojou_43: www
[4569.376] (S)ゆうひ__: 選ばれたかｗ
[4569.458] sapasa: ｗｗｗ
[4569.754] (S)にゃるろーる: やろ？ｗｗｗ
[4569.951] (S)brocco_lin: wwww
[4570.168] (S)sazanami28: wwww
[4570.392] (S)ksnt007: やろ！w
[4570.748] (S)kuro_nekotan: wwww
[4571.214] __紬: wwwww
[4571.912] MIZUNO_o0: www
[4574.597] (S)youazz4242: wwwww
[4574.873] (S)maru_a_s_: そっと聞いてきてるwww
[4575.000] (S)ふき__: www
[4576.461] (S)07FZK: 圧ｗ
[4577.577] (S)sudachim: ありさんハラスメント受けがちやなww
[4581.935] (S)ぱらぱら__: wwww
[4582.211] (S)エリンギのバター炒め: ありさんの扱いがわかってるやり口www
[4582.820] (S)まめ___: wwwwwww
[4583.165] _ひゅーす: ｗｗｗｗｗｗｗｗｗｗｗｗｗ
[4584.124] (S)にゃるろーる: ｗｗｗｗｗｗｗｗ
[4584.487] (S)yukidayo8: wwwww
[4584.608] (S)かぐらちゃん_: wwwwwwwwwwww
[4584.759] yusakani: えｗｗｗｗｗｗｗ
[4586.052] (S)___みー: wwwwwwwwww
[4586.166] (S)かるぼなーら: wwwwwwww
