[0.529] 凹しろへび: やっぱドコモ一択なのかな
[1208.069] (M)Moobot: Twitch Prime は30日ごとの更新が必要です。お忘れなく！
[1209.169] 戸愚呂妹: 司の牛タン食って欲しかったなあ
[1209.609] 笛ラムネ: ホルモンとか
[1211.068] ペプシ男: 最後の方もうすき家でもいいよとか言ってそう
[1214.439] itokou_1989: 今15kmぐらいか
[1224.657] pandadaiou23: 食のハードル下がりすぎぃ
[1227.313] ememeume: 大好きセブン！
[1230.809] (S)m1s4m0: セブンさんスポンサーお待ちしています！
[1231.062] effector_shop: 次のセブンでKSKが待ってる
[1231.858] tabibitox: セブンｻｲｯｷｮ
[1232.190] taku_yzfr1: 水分重要
[1234.292] (S)redpeppar510: ｋｓｋは次のセブンで待機しとる
[1234.565] (S)yoyo_443: ｋｓｋ先のセブンで待機してます
[1242.147] kana_kana1: ここ右ね
[1242.725] セツリ: 次のセブンでKSKが駐車してるよ
[1246.808] hikadooon: 利久は古川にもあるよ
[1253.159] taku_yzfr1: 聞いて、笑う
[1253.185] ペプシ男: 車で食べたら？
[1253.809] nitro_7171: セブンイレブンさんスポンサードお待ちしてまーーーす
[1254.756] ememeume: 食う食わないの選択
[1260.559] 寝るポイント: えいたが信者間を仕切ろうとし始めてる？
[1261.654] ノア1844: がっつり食べると歩くの大変になるのでは？
[1264.661] ememeume: お腹が重たくなるしね
[1265.945] keeyking: えいた理解できてないw
[1267.937] kahaku91: ラーメン カレー
[1268.190] kazukitaiga: ゆっくり食ってたら間に合わんくね
[1272.102] towai8: KSKさん、毎回次のステージで待ってるアイテム屋かよ
[1273.476] kana_kana1: 分かれれば？
[1276.059] 5don: arupapGo
[1276.308] umesecond: 現地飯食おう
[1278.255] えぐち: ハンバーグのオニオンって店があります １kgハンバーグが出てきます
[1279.986] lg99632: 軽く食って夜豪華
[1284.681] ビアミ: 夜のドカ食いが太る
[1287.025] hoemin247: えいたsyamuさんみたいな顔なっとるな
[1288.355] abechan12: ウイダーくらいは行ったほうがいいよ
[1289.104] uroitann: ストリートビュー、こんな使い方(リアタイで生配信に同期して風景追う)があるとは
[1292.173] wahaha7788: がっつり喰うとおなか痛くなる
[1292.845] 5don: セブン休憩！
[1297.773] une3333: さすが経験者
[1297.945] sei_6: あんまり食いすぎても歩けないしな
[1298.186] korekitwitch: 食ったら歩けないよ
[1301.255] 5don: BGMｗｗ
[1302.141] fujimike: 絶対腹痛いってなるぞｗ
[1303.089] beehive3: バナナ食おう
[1303.117] simple_geek: 青森きたのにラーメンいかんのか
[1303.207] taku_yzfr1: アメリカドラマでありがちな不穏ステージがここから始まる
[1305.117] ポンポン: 軽くにしとかないとあときついぞ
[1305.548] lm312v04wo: 微妙な表情のアールさんの心中やいかにw
[1306.528] tabibitox: kskの待つセブン
[1314.894] junjamaica: 金持ちの出番！
[1315.343] (S)foo_twitch: 食い物で仲間割れする王道
[1315.439] (S)gyu_nyuu_pann: 軽いほうがいいねたしかに
[1317.102] pandadaiou23: 対応するだけ キリッ
[1318.300] だいす_: 食ったらきついけど栄養とらないとハンガーノックなるし
[1321.057] ペプシ男: マジな話、少しは食べとけ、今後の事考えて
[1321.957] kazukitaiga: がっつり食うはないだろｗ
[1323.718] balthazar000: へー。ストリートビュー便利ね。
[1323.853] またり: ハンガーノックになるからね
[1324.144] Sorachan1144: ウォーキング中にお腹へったら地獄やぞ。ほんましんどい
[1324.231] towai8: この企画中に誰か漏らすに一票
[1325.161] ~MISSING_COMMENTER_INFO~: アールリタイア待ったなし
[1325.787] cqc5555: フルマラソンで昼メシガッツリ食うか？って話
[1326.389] ememeume: やっぱりご飯はゆっくり食べたいよね
[1326.969] ライム_: 遅れてるしな
[1329.609] latenight000: がっつり食いたいじゃんねぇ～～
[1331.185] ノア1844: 絶対がっつり食べると終わると思いますｗ
[1331.625] 寝るポイント: その地で昼飯なに食べるかもちょっと楽しみにしてる
[1333.923] きたぐに: 軽食くらいでいこう
[1335.021] ememeume: 夜ちゃんと食べるのが良き
[1336.509] taku_yzfr1: チョコバーとかは
[1348.854] aranami0: 補給食も買ってこう
[1348.884] une3333: おにぎりとかinゼリーとか買っといて適宜食べるみたいな感じでいいんじゃ
[1348.999] hatomugi101: 消化にいいものが良い
[1349.930] wahaha7788: カロリーメイトでいいやろ
[1353.274] (S)monmon_petitpetit: 長時間行動はマジで食わないと身体動かなくなる
[1358.121] ememeume: 羊羹補給
[1358.519] ボンクライ: 今どのへん？富谷？
[1365.056] (S)foo_twitch: 38.384336, 140.875187
[1370.412] mifune1046: ところでナビゲーターのカフェさんは地元民なんですか？？
[1371.318] gonzou1986: 総師範セブンで待ってるらしい
[1373.720] 猫神寝猫: 消化に良くて手軽なバナナとか欲しい
[1377.179] ememeume: サッと出てくる位置情報w
[1377.448] めそたん: エネルギーは補給しといた方が良さそう
[1377.908] ahiruchanng: 何時頃出発したん？
[1384.835] itokou_1989: メンタル的に食の楽しみはあったほうが
[1389.783] 戸愚呂妹: 9時くらい？
[1391.700] fujimike: バナナウィダーカロリーメイトあたりだな
[1392.943] towai8: かじゅにinゼリーもらおう
[1395.003] えぐち: 38.384935, 140.875753
[1403.389] patriot_ryoma: ゼリー飲料とかで補給か
[1424.617] ememeume: 確かに
[1426.087] もきち555: もういじけてる
[1427.354] oisi_souzaipan: なるほどなー
[1427.964] ahiruchanng: じゃあもう結構歩いてるのか
[1428.930] kazukitaiga: 初日でそんなイキられても
[1436.515] uroitann: 軽いヤツ無双あるなw
[1436.538] potetotetop: バランスの良いえいたさん
[1436.708] (S)asksrg: いーやえいたは脱落するね
[1437.449] (S)gyu_nyuu_pann: 筋トレ効果はありそうな
[1437.505] 戸愚呂妹: 軽さ維持するために無職続けるか
[1439.814] ~MISSING_COMMENTER_INFO~: 前のおじさんのこと凄く気になってきた
[1440.283] 寝るポイント: この生死を分ける旅に”重装備”のやつおる？？
[1442.499] ememeume: ドクターストップ？
[1447.883] めそたん: 体重は関節にくる
[1447.954] にゃんぽこ__: えいた今だけだぞ
[1450.835] 流川棚: 誰か脱落しました？
[1454.192] mizu0525: いつギブアップするか楽しみ
[1456.169] umesecond: えいた根性見せてくれ！
[1458.932] porcupinepine: 草
[1465.747] yuhi_N: お、えいた
[1467.526] akasanz3x: 接地面は痛いよｗ
[1467.697] patriot_ryoma: 配信機材持ちが一番ヤバいよねｗ
[1469.456] ememeume: 正直w
[1472.001] yusan090: 慣れてない人は足の皮むける
[1472.196] hikky722: 39.10300888959575, 125.72032619893471
[1472.418] towai8: 散歩が好きじゃないと飽きて精神的にきそうじゃない？
[1472.899] (S)gyu_nyuu_pann: 草
[1475.755] balthazar000: 明日は6時スタート？
[1477.707] 戸愚呂妹: えいた30分前くらいから歩き方おかしかったもんw
[1486.416] totsugeki_180sx: もうちょいでコストコかな？
[1486.690] 猫神寝猫: 見てる側はやっぱり脱落のタイミングが気になるよねぇw
[1488.353] une3333: 誰かが辛くなるところまで時間スキップできないかなw
[1490.621] w4m1_54: 一箇所でも痛みでるとね
[1493.209] mifune1046: 6000人！？
[1493.939] wahaha7788: まだ全体の20分の1も歩いてません
[1494.488] Sorachan1144: 絶対リタイヤですやんｗ
[1496.947] hukohuko: まだ20kmも歩いてないからまだ脱落は早いよなあ
[1501.772] ddb365: 優勝候補えいた
[1501.884] (S)gyu_nyuu_pann: ところで宿って決まってるの?
[1510.186] brunoman1: 一週間後まだ歩いてると考えると恐ろしい
[1511.374] taku_yzfr1: 喋りも飛ばし過ぎ
[1512.258] umechin7: 24000歩
[1513.111] towai8: ジンバル持ってると姿勢悪くなりそう
[1515.269] itokou_1989: 20分の1でする話じゃないｗ
[1515.720] toro0524: 流石にジムでは足の裏は鍛えられないかえいた。
[1523.428] 戸愚呂妹: 十五キロくらいかな？
[1525.455] さっぽさんぽ: 多分15時頃から雨
[1533.219] nearco1935: えいたは最初に脱落する人大本命だからな
[1536.823] ememeume: 足底筋膜炎に気をつけて、、！
[1536.955] げろげろまる: 初日だけにぎやかなんだろうな
[1537.407] une3333: オーラね
[1538.594] (S)foo_twitch: 足の皮がガチガチになったらえいたの時代がくる
[1543.641] 猫神寝猫: オーラありすぎる店来いー！w
[1544.878] ノア1844: まあ初日は5万位で、次の日からは7万くらいになるかんじですかね
[1545.243] kim_mu: これ何日目標なんですか？
[1551.860] yuhi_N: 長時間サポータってしててもいいもの？？教えて詳しい人
[1553.060] Sorachan1144: 明後日とか喋る元気なくなるんじゃないの
[1558.116] ノア1844: 7-10日ですね
[1560.726] ののクロ: ののクロ subscribed with Prime. 
[1562.201] hyatt000: フラグ
[1563.344] きたぐに: 弘前に着いたらアップルロード歩く？
[1565.364] chin_56_: 葬式になっちゃう
[1565.717] taku_yzfr1: ロードサイドは当たり外れ大きいからなぁ
[1568.131] にゃんぽこ__: 途中で靴脱いでストレッチとかしてもいいかも
[1568.635] uroitann: 2回同じとこ来ると飽きるし一回ポッキリだよな…
[1572.741] une3333: 誰か1人脱落したら2人3人と落ちていきそう
[1573.083] tabibitox: これ、えいたです
[1574.076] ユーエル: この配信心地いい
[1575.606] アベ0206: 全部終わったあとで初日と最終日のテンションを見比べたい
[1576.885] (S)asksrg: 無職だし結婚式の準備もしない
[1579.789] gorilla_osaka: 誰か脱落しないとKSK脱落しちゃう
[1582.235] ぶどうぱん: 帰らぬ人か異様に早く帰る人になるか
[1583.657] une3333: メガネだけ返す感じで
[1586.532] hikky722: この前4万歩歩いたけど30kmくらい
[1586.642] 寝るポイント: えいたの頭の入った小包を送ろう
[1588.456] maddy2623: とても・・・勇敢でした
[1588.740] けいず: 出先で火葬までしてて草
[1590.788] ペプシ男: この次は北海道横断でしょ？
[1591.660] 猫神寝猫: 前後の体重とかも気になるw
[1592.581] yusan090: 出発と目的地はどこか告知してるんす
[1599.186] (S)gyu_nyuu_pann: フラグなんよな
[1599.711] wahaha7788: 330キロを時速4キロで5000分かかるらしいです
[1600.790] patriot_ryoma: 宿泊とかの時はサポーター外せば大丈夫だと思うけど・・・
[1604.964] mifune1046: お骨ってことは勝手に火葬しとるw
[1614.538] puertoescondidomota: 仙台駅スタート弘前ゴール
[1619.724] 寝るポイント: 今、誰が一番死に近いですか？野田？
[1627.863] 戸愚呂妹: えいたじゃね？w
[1635.671] invisible_focus: 今写ってる帽子の方って無関係の人？
[1638.550] hukohuko: dもヤバそう
[1638.817] (S)m1s4m0: だんごさんかなぁ
[1639.088] 猫神寝猫: 野田さんとえいた君がいい勝負してる感じ？
[1640.793] gorilla_osaka: KSK
[1642.370] une3333: アールさんは全然残りそう
[1642.587] ペプシ男: 舐めてるやつから落ちていく
[1642.994] akasanz3x: 腰にきてるのはだんごさんとえいた
[1643.994] towai8: アールさんはかなりゲージ管理してる
[1645.066] (S)gyu_nyuu_pann: 野田さんは疲れてるんかなぁ
[1646.669] サーフイ: 20kmも歩いてませんwwwww
[1649.945] kazukitaiga: 次々と新規が
[1652.442] nakanohito_22: 青森まで4号北上するの？
[1655.395] hikky722: 写真たくさんアップしてくれる黒カフェさん
[1658.999] Sorachan1144: 休憩は靴脱がないとだめなんでしょ。刃牙の作者の漫画であったぞ
[1661.179] (S)asaka139: asaka9999 subscribed with Prime. They've subscribed for 3 months, currently on a 1 month streak! 
[1664.118] (S)gyu_nyuu_pann: ゲージ管理してるんだ じゃだんごさん？
[1665.610] ddb365: 野田さんは温存して先を見てる
[1669.821] une3333: 建物が少なく、自然が大きくなってきましたね
[1676.595] puertoescondidomota: 前のひとはcafegondoで調べればツイッターみれるよ
[1676.982] tararanran: 効率的にしょうがないよね
[1681.466] ememeume: 道路広い
[1681.719] (S)gyu_nyuu_pann: 道路広い
[1687.514] nakanohito_22: これ最終目的地はウメハラさんの実家なんすか？
[1690.288] 凹しろへび: 街から離れていく・・・
[1691.763] ノア1844: カフェさんはこの日に向けて30キロトレーニングしていたみたいですからねｗ
[1694.160] (S)m1s4m0: 桜
[1697.594] une3333: 少しずつ山に近づいてきた感が
[1697.715] gurudesu: 見るだけで疲れました
[1704.127] 寝るポイント: えいた、まだはしゃいでるな
[1705.485] maddy2623: 飯屋入るならだんだんチャンス減っていきます
[1707.825] yuhi_N: まだみんなの声に元気があるね
[1708.854] ahiruchanng: カフェさんガチトレーニングしてて草
[1708.992] kkshkk: The 1日目って感じだな
[1713.693] abechan12: 4号行くならそのうち地元の風景見れるから楽しみ
[1718.549] afuring: カフェさんの背中大きすぎるｗ
[1722.261] goldexpepe: 何日歩くの？
[1723.424] wahaha7788: 初日からペース遅れてるのに温存してる場合じゃない
[1724.697] (S)yuhi_LG: yuhi_LG subscribed with Prime. They've subscribed for 2 months, currently on a 1 month streak! 
[1725.479] happy59633: みんな、はじきときそじ、どっちで教わった？
[1727.422] patriot_ryoma: 寝転んで靴を脱いで足を高くした方が良い。どうしても血が下に下がってるから
[1728.957] 戸愚呂妹: えいたは一日目遊ぶから
[1729.627] げろげろまる: まあどうせえいたが消えて静かになる
[1730.958] shir039: しゅーとさんいる？
[1733.917] (S)redpeppar510: 歯を見せたら怒られるようになるの？
[1734.361] josajosa: 第一脱落者誰になるのか楽しみ
[1734.986] 寝るポイント: えいた、急に限界来そう
[1736.353] ememeume: まだまだ、、
[1739.123] takeiteasy55: 段々元気がなくなっていく推移をみるのも面白い
[1740.804] ペプシ男: 合宿の移動日感
[1742.091] ふとんおーしゃん: どんな結末を迎えるか
[1742.332] nakanohito_22: 弘前ついたら戸田のうちわ餅買ってね。マジうまいから
[1743.880] お灸: HOKAはやっぱり全然違いますか？
[1745.751] (S)foo_twitch: 38.388086, 140.878381
[1746.677] yunyun_ada: だんごが一番最初に消えそう
[1750.216] hoemin247: おじさんの体力低下舐めたらアカン
[1750.896] (S)gyu_nyuu_pann: www
[1753.389] umesecond: カフェさんあんな一瞬で写真撮るのめっちゃうまいな
[1760.457] ノア1844: 2日目の朝が相当来そうですね
[1760.666] puertoescondidomota: ペース遅れてるのにとか言う人多いんだな
[1764.250] tsubame0614: 大和-大衡って超えて古川が今日のゴールかな？
[1764.926] 猫神寝猫: 第一脱落者で賭けが出来そうだw
[1765.944] ve968: ガチで一番最初、だんごだと思う
[1766.690] ahiruchanng: えいたの顔が真顔になるの見たすぎる
[1770.113] yusan090: 風強いとこたえるな
[1773.396] une3333: みんな脱落するにしても「最初」だけは嫌だって思ってそうですよねw
[1782.509] みみず3: 左にコストコあるとこか
[1793.777] ememeume: 風強いと皮膚がキツい
[1795.177] kazukitaiga: 俺らは脱落を見たい
[1795.451] hal98765: hal98765 subscribed with Prime. 
[1795.765] patriot_ryoma: サウナで誰が最初に出るかみたいな我慢が始まるｗ
[1800.799] abechan12: 替えの下着とかないとほんとに風邪ひくかもねｗ
[1802.145] kana_kana1: このセブン？
[1802.612] (S)m1s4m0: 賭けしてます
[1804.960] (S)gyu_nyuu_pann: 限界迎えるとこは見たいっちゃ見たい
[1805.831] towai8: 格ゲーマーは一生煽られるから…
[1806.135] hotokemax: えいたが無言になったとき。それが終わりの時だーーー！！！
[1809.198] nakanohito_22: もう荒川こえたん？
[1810.500] (S)diediedying: dangoさんも折笠さんも真夏にずっと歩いてたからなー
[1820.404] itokou_1989: 明日はもっと風強いぞ
[1824.754] bulikids: 筋トレのはなし？
[1832.166] (S)gyu_nyuu_pann: えいたさんがなんか語ってんな
[1834.403] 寝るポイント: えいたまた得意げに語ってるね
[1836.563] towai8: ここにアイテム屋いるの？
[1840.069] ペプシ男: みんなえいたに賭けて倍率1.1倍くらいになってそう
[1841.509] (S)mopenpen: ティッシュタイム
[1843.131] 戸愚呂妹: 浅く薄い話でたな
[1843.566] puertoescondidomota: 道具屋
[1845.055] げろげろまる: ◎えいた、〇アール、▲D
[1845.781] tabibitox: kskここじゃないのか？
[1845.844] hoehoeR: めちゃくちゃ広いな
[1847.245] yuhi_N: KSKポイント
[1849.894] jagajaga1943: この辺りに飲食店あったっけ
[1850.736] ememeume: セブン〜
[1851.354] rxz_2017: ひーろい
[1851.600] une3333: 最初の脱落者が出るとダムが決壊するように2人、3人と...
[1852.497] 157655: しかしセブンはいくらでもあるな
[1852.511] pho_2015: 最初のオアシス
[1852.602] akasanz3x: 道具屋
[1852.818] katsuo73: 脱落者でた？
[1855.534] uhpa84: まーたセブン
[1857.063] ahiruchanng: kskは？
[1863.217] 猫神寝猫: 1番人気はやっぱりえいた君だよねぇw
[1866.383] umechin7: セブン多いンゴね
[1868.444] chin_56_: セブンイレブンいい気分
[1868.654] umesecond: KSK違うとこにいる
[1868.806] hikky722: 折笠やべーｗ
[1869.209] une3333: 7 is god
[1869.270] ノア1844: しゅーとさんマスクしてすごいですねｗ
[1869.798] mifune1046: 現代のオアシス
[1871.415] egoist5230: すぐこんびに
[1872.873] redbull_daisuki: セブン大好きやな
[1874.006] Revelation3: 胴着も入れないだろ
[1874.948] tsubame0614: セブンイレブン富谷とちの木店
[1876.200] kurone_2022: ｋｓｋ別なセブンにいるｗｗ
[1876.743] gorilla_osaka: ksk・・・・
[1876.764] クラクラ777: そして入り口でたむろう
[1876.842] ahiruchanng: 折笠ｗｗｗｗｗｗｗ
[1877.716] Sorachan1144: 水とか持ち歩かなくていいやん
[1878.700] ノア1844: マスク疲れるような
[1879.846] yusan090: 胴着って
[1882.392] kana_kana1: このセブンじゃないw
[1883.535] ememeume: 胴着はw
[1884.402] fujimike: kskは違うセブンだぞｗｗ
[1884.429] bulikids: 人気というか不人気というか...
[1887.170] ddb365: ｗｗ
[1887.749] げろげろまる: ｗｗｗｗ
[1887.816] oisi_souzaipan: セブン多いですね
[1890.292] kana_kana1: もっと先だよ
[1890.865] puertoescondidomota: KSKは違うセブンでしょ車の通り考えて
[1891.416] kazukitaiga: だって対向車線だもん
[1892.032] tabibitox: kskここじゃないのか
[1893.130] nabe_labo: コンビニのない地域に入ったらどうするんだろ
[1895.046] kahaku91: KSKおらず
[1895.402] goldexpepe: ｗｗ
[1896.189] une3333: 折笠さん連日あの格好でいるの？w
[1896.296] afuring: ｗｗｗ
[1899.642] ame512: 終わっとるw
[1899.788] ぽてゐと: あれ？KSKさん？
[1904.111] underground0714: やめーや
[1905.575] アベ0206: KSKさん違うセブンで待機してるｗ
[1909.156] goblin_dx: ときどのコンテンツ力
[1910.168] nikorinko: KSKが待ってるコンビニより一個手前ｗ
[1910.409] 寝るポイント: ティッシュ工作やるんじゃないの？
[1914.079] uguisupan1192: セブン富谷とちの木店
[1914.337] shir039: ティッシュにしようぜ
[1915.790] yunyun_ada: 折笠さん気合入ってるやん
[1917.908] yuhi_N: KSKさんいないの
[1918.136] ペプシ男: ときどいたらPT強くなるだろうな
[1922.199] umechin7: 青森にしかない、コンビニとかないんかな
[1922.651] chanmipoin: 実際そんな変わらん気がする
[1923.127] akasanz3x: 見てねえのかｗ
[1923.896] kazukitaiga: そこに車でいけないだろｗ
[1924.667] セツリ: もう一つ先のセブンまで歩いてあげてｗ
[1925.980] celsior_chan: さらに先のセブンにいる
[1926.401] rias9121: けーちゃん？？
[1927.624] kana_kana1: いや、こちらが遅いのよ
[1928.842] ライム_: ウメちゃんとときどが事故ったら業界終わるからな
[1929.211] ぽてゐと: セブン違いwww
[1930.247] イゼット: 反対車線のセブンにいる
[1930.767] une3333: ときどさんいたら面白かったなーw
[1939.402] ~MISSING_COMMENTER_INFO~: wwwwww
[1939.663] (S)redpeppar510: ｋｓｋってさらに先のセブンにいんの？ｗ
[1942.076] sakuya122: セブン違いで心なしか落ち込んでる
[1943.376] hikky722: 中のTシャツ替えてるだけで道着はずっと1着なのかね
[1946.629] goblin_dx: なんでや、えいたも面白いやろ！
[1949.847] ペプシ男: 数少ない賢者トキド
[1953.211] ahiruchanng: 落ち込んでるの草
[1954.807] kana_kana1: 車線的にここ入れないもん
[1960.203] ddb365: 落ち込むの草
[1964.006] kahaku91: ティッシュにしよ
[1964.452] balthazar000: 仕方ないね
[1965.580] ノア1844: 富士山登山とかだったらときどさんやりそうですけどね
[1967.007] (S)gyu_nyuu_pann: かふぇさんのTwitter見てきたけどめっちゃ写真上手
[1967.105] クラクラ777: セブンにポストあるのいいな
[1967.914] (S)katuo3_: KSK泣いてる
[1970.357] umechin7: セブンの商品、量少ないけど美味しいの多いよな
[1972.553] yusan090: 道着乾かないし
[1973.506] セツリ: ＫＳＫさみしいって
[1975.174] gorilla_osaka: これKSK最初の脱落者です
[1976.766] chanmipoin: ナナチキ食いてー
[1977.061] (S)gyu_nyuu_pann: www
[1977.148] icyblue1985: 草
[1978.954] natoooji: コンビニの弁当なんかも地域限定あったりする
[1978.956] towai8: ローグライクのランダム出現のアイテム屋
[1979.991] chin_56_: あの図体で落ち込むの
[1980.952] プタゴラトン: かわいそう…ｗ
[1983.085] rias9121: ヘラしゅけ
[1984.789] akasanz3x: 好き勝手言いやがってよーだってｗ
[1986.549] ペプシ男: ksk脱落は笑うわｗ
[1987.031] ~MISSING_COMMENTER_INFO~: LUL
[1990.711] イゼット: KSKが雨ごい始めた
[1991.669] umesecond: 結構長いこと待ってたもんな
[1991.851] (S)gyu_nyuu_pann: かわいそうかわいい
[1993.238] (S)rm_rf__: 普通に可哀想で笑う
[1995.745] 5don: 違うセブンｗｗｗ
[1996.890] めぇーさん: セブン広っ
[1999.021] natoooji: 納豆巻？
[2002.031] kana_kana1: ？
[2004.119] 水増し: 落ち込むってかわいいな
[2006.343] さっぽさんぽ: 15時過ぎから雨降るかもしれないで
[2007.753] Sorachan1144: アールさん考えてるな
[2008.984] wahaha7788: 納豆巻き
[2009.300] hikky722: そりゃうめえわ
[2009.545] (S)gyu_nyuu_pann: 納豆巻き
[2009.623] いぬみみ: 駐車場の広さすげぇｗ
[2010.951] お灸: ごま入ってる？
[2011.068] balthazar000: セブン分身の術使った？
[2011.529] yuhi_N: 納豆巻きだ
[2013.279] (S)dj0d4y4k4: ごま
[2013.341] kimanaka28: ゴマ入ってる？
[2013.416] (S)pondenring0930: ゴマ入ってる？
[2013.699] hotokemax: ＫＳＫ「雨ふれ雨！どしゃぶり来い！」
[2013.917] 戸愚呂妹: 胡麻入ってる？
[2015.230] NekoPunchKick: 納豆まき！
[2015.519] (S)gyu_nyuu_pann: そりゃうめぇや
[2017.137] yogyogsothoth: 納豆巻きに忙しくて反応薄い
[2018.079] hoemin247: アール逃走中みたいな服だなw
[2018.283] mizu0525: うつりたがってる
[2018.384] yuiaog: そりゃうめえわ
[2018.514] ジード: 雨きそうっすね
[2018.833] kazukitaiga: 田舎はこんなもんだぞ
[2023.758] ~MISSING_COMMENTER_INFO~: 胡麻ァ
[2026.642] ペプシ男: 入り口横でたむろするのやめようぜｗ
[2027.811] _ピート_: AirTAGの意味
[2027.846] kesuta: ゴマ入ってる？
[2031.209] une3333: カフェさんツワモノの顔をしている
[2031.643] umesecond: KSKだけ孤独
[2035.067] (S)gyu_nyuu_pann: 胡麻入ってんのぉ？
[2037.204] towai8: 配信で好きな飲み物飲める男
[2037.639] chin_56_: ヤンキーかな
[2039.537] umechin7: 納豆巻き・・！！
[2040.512] gokukeshi: アナゴ巻き？
[2040.866] chezatan29: えいたのこいうとこよな
[2041.238] hotokemax: あ
[2042.489] 5don: 小中中！
[2043.258] berurusuko: なんで入り口なんや どけ
[2043.533] machaking: 散歩で東京から青森まで行く・・ってｺﾄ？
[2043.818] (S)gyu_nyuu_pann: そりゃうめーわ
[2044.043] (S)rm_rf__: 地方あるあるのクソデカ駐車場か
[2044.777] yuhi_N: 胡麻ね
[2046.199] chamomile21: アナゴ巻？
[2046.219] kazukitaiga: 別に邪魔なってないからええやろ
[2046.263] サーフイ: アール巻き
[2046.453] hoemin247: そりゃうめぇわ…
[2048.404] sarah_0519: 胡麻入ってる？
[2050.355] akasatana54095840: ヌキ！？
[2051.536] icyblue1985: ごま入ってる？
[2053.351] bulikids: 晋平太
[2055.043] natoooji: 元々孤独じゃん
[2055.354] sikusi: それアナゴだよ
[2060.644] 5don: KSKさん、ファイトー！ 
[2061.350] 寝るポイント: KSKはいつも孤独だよ
[2061.405] ノア1844: でも言っても歩くの無理ですｗ
[2062.491] machaking: 道着ｗ
[2062.946] une3333: 胴着出てきた
[2063.040] uroitann: けいすけさんにはコメントがいるよ！
[2064.590] takashi4567: 今だけだって足の裏痛くなってからあなた達が地獄になる
[2064.839] 戸愚呂妹: 不審者www
[2065.790] (S)gyu_nyuu_pann: それはたしかに
[2066.101] tategami: メインタンク
[2067.132] ahiruchanng: 折笠イカツすぎる
[2067.492] rias9121: 骨雑を車でやってる感じだよ
[2067.995] sajiseijuro: 草
[2069.817] twitchyarutch: リタイヤして一緒にいてあげる？w
[2072.721] pho_2015: 道義不審だなｗ
[2073.761] みみず3: コンビニから道着マジでおもろい
[2073.927] ノア1844: 330キロ歩く方がきついｗ
[2074.068] kana_kana1: 間違えたのはこっちだよ
[2078.180] gokukeshi: 「間違えてねーから」
[2079.699] showsbsp: 同情の封筒待ってます
[2080.972] bulikids: KSK間違えたわけじゃないだろ
[2083.365] mack_yy: 車は左車線なんだわｗ
[2088.406] サーフイ: かわいいよ ウメちゃん
[2090.997] イゼット: えいたの配信みてるぞKSKさん
[2091.015] machaking: このまま山籠り行っても違和感ない
[2092.130] kazukitaiga: これだから免許ねえやつらは
[2095.914] miruujyu: めし、コンビニなのｗｗ
[2096.147] 戸愚呂妹: えいた止めた？
[2096.615] rennzi44: KSKに合わせろ
[2098.066] chin_56_: モグモグ
[2098.260] chezatan29: 反対車線ってきづきな？
[2100.813] mifune1046: ずっと空手着なのはやーばい
[2102.491] たびみる: ksk反対側の車線だから
[2108.237] yuhi_N: うごけー！
[2108.369] (M)Moobot: Twitch Prime に登録すると無料でたくさんの特典が得られます → https://bit.ly/2YE2nLB
[2109.009] sajiseijuro: 儀式
[2114.788] (S)gyu_nyuu_pann: 雨乞いww
[2114.962] セツリ: 左車線のセブンしか入れないよ車は
[2119.510] nearco1935: 胴着はタダ者じゃない
[2121.723] taku_yzfr1: コンビニよりまくり
[2125.583] kana_kana1: えいたがおわってる
[2127.515] chin_56_: そんなスキルあんの
[2129.210] ryokucha2000: えいたはウメハラ配信が止まるのを望んでます。
[2129.657] finoajp: 日中は移動優先のコンビニ食は強い選択だな
[2140.236] (S)katuo3_: KSK：おれは間違えてねえ
[2140.792] taku_yzfr1: 日本てマジでコンビニ多いな
[2148.285] ペプシ男: 中を引き裂こうとしてるな、えいた
[2148.829] parfait_amour: 1時間くらいに4号線沿い雨雲かかるっぽいのでお気をつけて
[2150.943] ~MISSING_COMMENTER_INFO~: 雨乞い草
[2158.912] hotokemax: えいたマジで終わってる
[2159.837] たびみる: みんな運転普段しないんだな…
[2164.175] 風来のリュウ: 止まった…
[2164.441] ahiruchanng: あ
[2165.269] umechin7: あれ
[2166.147] chin_56_: 終わってる
[2166.412] (S)えだいこ: 終わった
[2166.693] (S)hodanonn: ひとりぼっちの巨人
[2168.537] げろげろまる: えいたマジで
[2169.435] tabibitox: とまた
[2169.483] teruharu_: ああ
[2169.839] Ceciltaisa: どうして・・・
[2170.302] twitchyarutch: ソフトバンクがんばれー
[2171.751] marimo83: えいたさぁ・・・
[2171.962] (S)asksrg: えいたのせい
[2172.260] choco_mint6: 止まった
[2173.565] ~MISSING_COMMENTER_INFO~: また落ちた
[2174.100] cook_5921: 切れた
[2175.310] yuhi_N: えいた……どうして
[2175.526] toro0524: えいたやったか？
[2176.608] berurusuko: えいたやったか
[2176.993] tsubame5204: umeFail
[2177.248] towai8: 身内落としの醜い戦い始まってきたな
[2178.343] redbull_daisuki: KSKの呪い
[2178.997] ahiruchanng: えいたほんま
[2179.577] nikukuisugi333: あ
[2180.302] tategami: えいた…やったな？
[2181.365] 感動詞: えいたｗ
[2182.644] chamomile21: kskの呪い
