[18.070] フﾄ: kokuji3Chu
[1362.962] (S)donekofg: 普段想像できないメンツのスカルたのしみー
[1371.801] yano_mokuzu: 鉄拳だと反応できるフレーム22くらいって認識だって誰かが言ってた
[1373.814] gyu_nyuu_pann: スカル楽しみだねぇ
[1374.206] u_anna: 一文字パニカンからの運びやっぱり何度見ても凄いｗ
[1389.760] jazzcat75: jasminbeckClapNEU
[1391.572] one596: スカルはこくのYouTubeチャンネルにウメちゃん達とやった時のルール動画あるで
[1393.553] (S)brunoman1: きょうもストリートスタイルヘアでカッコいい
[1397.233] moppu_gake: CRからの新規だからわからんけどウメちゃんよくスカルするの？
[1401.913] aranami0: 格ゲーマーとストリーマーのコードネームも見てみたい
[1407.450] aru_0928: ときどのCMとか流れるんやね
[1409.010] gyu_nyuu_pann: 配信だと一回やった
[1418.689] gyu_nyuu_pann: 2回だっけ
[1418.949] 将門ゴルゴロ: スカルって何時からやるか発表ありました？
[1423.432] (S)ババシャツ: トラボ、スカルのミラー配信してくれないかなぁ
[1424.143] Jinnvl: 最近始めた初心者でアケコン持ってないんですけど、きーっボードでクラシックっていけますか？
[1428.672] 蝉時雨: いける
[1431.592] OKG_TWIN: 久々に宇宙人狼も見たいなあ
[1433.202] だいこん_: 旅行先どこに行くかを賭けて格ゲーマーで一度やったきりかな
[1435.385] ごまたまご: こんにちは
[1438.590] diediedying: 20時
[1438.814] kakaowpgj: バーンナウツ
[1444.471] ちぇすとです: あきちゃん今日使う？
[1445.480] よもぎです: けずる〜
[1445.575] gyu_nyuu_pann: パーマかけたみたいになってる
[1446.122] Jam10505: 今日のりゅうせい
[1449.537] hideto007: オフシーズンには結構格ゲー以外のゲームするようめちゃん
[1452.011] (S)donekofg: トラボのミラー配信悲しすぎるだろ
[1452.234] takahashiseigi: かずのこが早くもAKI引退、なおMR世界一達成
[1453.444] 将門ゴルゴロ: @diediedying ありがとうございます
[1453.741] OKG_TWIN: キーボード慣れてる人なら逆にいけそうだけどね、クラシック
[1458.139] (S)taiga_stew: 見るたび絶対こいつとやっとる
[1466.163] みししっぴ1: みんなさ、自分がBO中の端って、何を意識するんのやろ？ 8割方インパクトに意識割いてるけどこれでええのか…？
[1472.562] (S)ましゅダヨ: キーボードでやってる方居ますよね
[1472.789] (S)donekofg: デイリーミッションだから
[1496.701] (S)donekofg: BO中の端はぴょんぴょんして狩られてます
[1496.945] nenmatu: キーボードだけど問題なくマスター行けた
[1501.170] tabibitox: 読み勝った
[1501.747] Comboloverx: sugoi
[1502.993] one596: キーボードでも全然大丈夫だけどオフで対戦する予定あるなら特殊だから注意が必要なだけ
[1506.145] OKG_TWIN: インパクトきてもどうしようもないから、前飛び出来そうな隙を狙ってる
[1513.217] takahashiseigi: あれはアングリー式インパクト
[1517.356] (S)perfecttakahashi: ピアノ押しとかしなくて良いからキーボードでも問題ないよね
[1522.088] go_boardwalk: キーボードでできればコスパいいよね
[1522.628] aru_0928: りゅうせいとはどんなルール？3先何回とか？
[1523.274] (S)donekofg: 9割の人はオフ対戦会とか行かないだろうしへーきよね
[1523.769] だいこん_: アケコン高いしまずキーボードでいいですよ。ただゲーミングキーボードじゃないと同時押しボタンの数に上限があるので注意です
[1536.946] (S)すれいまん: インパクト2Fしか当たり判定ないからぴょんぴょんしていいよ
[1537.985] (S)kesigome: 前歩きで投げたい空気出してピヨります
[1545.198] diediedying: さんさきさんかい
[1549.104] 子ぐま: 髪の毛ふあふあすぎる
[1550.564] みししっぴ1: やっぱ垂直は意味ないよね。巻き込ま飛び安定か
[1555.395] yamanoberui: ノーパソでMR2000あるよ
[1560.084] みししっぴ1: 前飛び
[1561.073] tabibitox: 耐えた
[1564.591] よもぎです: けずれず
[1567.917] keikohiro: 耐えるんか
[1570.573] (S)sullensenpai: キーボードクラシック初めて一週間だけど今ゴールドです
[1572.570] (S)ましゅダヨ: あらー
[1575.151] karinenjoyer: Robbed
[1578.973] (S)ましゅダヨ: かえされたぁー
[1589.540] (S)donekofg: パソコンにps4コントローラー繋げて使ったらどうだろ出来るよねやすそうだし
[1591.837] keikohiro: 使うっしょ
[1595.057] kakaowpgj: ハイタニさんスト鯖アーク出るんだ。
[1595.550] potocki1810: あじゃぱー
[1604.579] だいこん_: キーボードやってたらレバレス移行もスムーズだろうし良いかもしれませんね
[1604.720] (M)Moobot: ＊最大120時間＊ HyperX Cloud III ワイヤレス → https://hyperx.gg/45bt2SJ 1回の充電で映画見放題だな
[1609.111] MGS_MetallicA: @karinenjoyer When you're robbing Ken out of a round, that just proves how much of a bullshit character you are 
[1621.070] Jinnvl: ありがとうございますキーボードで練習してみます
[1630.335] hideto007: レバーレスとかキーボードで出来る人はすげえと思う。
[1630.477] (S)ラベット: 今日も芸術点高め
[1630.757] (S)ましゅダヨ: しーんど
[1634.545] だいこん_: オワ
[1637.038] ちぇすとです: らぐーしか🦌
[1640.130] 蝉時雨: オンラインだけで考えたらレバレス改造よりキーボードのがハードル低いしめっちゃアリなんだよね
[1640.999] karinenjoyer: @mgs_metallica true af JP is 🤮🤮
[1671.057] boggleJR: Daigo the goat
[1689.110] (S)ましゅダヨ: キーボード慣れてる人はやりやすいって人もいるみたいですね
[1689.823] OKG_TWIN: コントローラー設定画面に入力確認できるモードあるから、そこで同時押しきちんと入力できるか確認してみてください
[1695.601] plmqaz1982: ぷっさん格ゲーハマってくれて嬉しいなぁ、ダイヤ帯でも普通に盛ってたし
[1705.180] neon_d99: いつものか
[1712.137] boggleJR: clean
[1719.459] (S)軽く捻るか: ナイスー
[1719.958] tatatatady: 今日は投げない日？
[1722.555] OKG_TWIN: 同時押し無理ならどのみちゲーミングキーボード買わないといかん。
[1738.615] みししっぴ1: JP戦の絵面の良し悪しは抜きにして、筋骨隆々のジジイがラスボスなのは好き
[1742.019] (S)ganaha5757: 換気スウェットそろそろ届くのかな
[1776.850] kakaowpgj: うま
[1780.671] だいこん_: 二日酔いなのに確認うま
[1780.801] (M)Moobot: ＊＊新ヘッドセット＊＊ HyperX Cloud III が ワイヤレスで登場！ → https://hyperx.gg/45bt2SJ
[1785.856] u_anna: ちゃんとカッコ良くて圧もあるいいラスボスデザインだね
[1787.663] (S)ましゅダヨ: おしおし
[1792.327] keikohiro: 詰み
[1793.726] karinenjoyer: Sheesh
[1801.179] (S)goto888: この筋肉のくせに魔導士系ってのは好き
[1821.177] sei_6: アキ終わったのかと思ったらデイリーだった
[1822.598] taishin2017: 3先複数に変わったんですか？
[1824.732] hideto007: 声オタ的に杉田がラスボス演じてるのに時代を感じる
[1853.183] maddy2623: のこる！
[1855.703] おあしすさん: すご
[1855.943] tabibitox: たりた
[1856.051] tokiomari: オシャレすぎる！
[1857.001] よもぎです: たりた〜
[1858.309] karinenjoyer: 🔥🔥🔥
[1858.358] だいこん_: ピッタリーサル
[1858.532] kakaowpgj: なっが
[1858.744] Comboloverx: PogChamp
[1859.100] (S)でかちゃん: ナイスー！
[1859.667] (S)perfecttakahashi: おお
[1861.816] neon_d99: 行くんだ
[1863.286] (S)chachachakoma: たりたー！
[1864.190] emaplusplus: 補正すげーな全然減らない
[1864.481] u_anna: ナイスゥ
[1867.363] ~MISSING_COMMENTER_INFO~: 長すぎィ！
[1868.122] みししっぴ1: 若干強すぎるけど、しっかり強いのも良い。
[1870.227] (S)ganaha5757: 迅雷のおりてくるときのふんわりした感じ好き
[1924.649] karinenjoyer: ResidentSleeper
[1925.103] だいこん_: 上中下中
[1935.248] diego_ohunabara: umeYay
[1935.807] yamaes: しのいだー
[1935.984] みししっぴ1: 二日酔いでゲームしても強い
[1937.363] (S)hoshi_boshi_0: ナイスゥ
[1937.856] tabibitox: よしよし
[1938.372] emaplusplus: お見事
[1938.517] (S)chachachakoma: たえたーｗ
[1938.851] (S)Justinfun456321987: 耐えた
[1939.955] (S)brunoman1: うまーい
[1947.973] balthazar000: 酔拳ならず
[1955.835] ごまたまご: 再び光の戦士
[1971.302] OKG_TWIN: ナイス前飛び
[1986.327] neon_d99: デイリーりゅうせいもいい感じだな
[2056.163] 新ころりん: デイリーりゅうせい中か～
[2060.311] だいこん_: オワタ
[2068.057] だいこん_: する
[2074.741] ~MISSING_COMMENTER_INFO~: T
[2096.245] みししっぴ1: ウメちゃんJP戦結構得意そうだよなぁ。翔JPがちょっと異次元なだけで、他のJPにはわりと圧倒してる感じする
[2103.906] (S)ganaha5757: 判断が難しすぎる
[2130.204] だいこん_: レアケース過ぎるけどすぐ気付けるの流石
[2149.116] nenmatu: インパクト噛み合っちゃうのしょうもなくねえか
[2152.670] neon_d99: ユリアンガイルのときもりゅうせいとやりまくってたんだっけ
[2154.033] tokiomari: うわぁ
[2157.259] (S)funkyratty: P
[2159.135] tabibitox: ままま
[2159.221] (S)Justinfun456321987: ひぃ
[2159.356] FireStreak_I: doodMemphis
[2169.580] maddy2623: ラブーシュカインパクトコンボやばいよね
[2193.365] tabibitox: ごめんて～
[2194.381] aru_0928: 翔はウメちゃん人読み超やってるだけな気は最近するけどな
[2213.781] よもぎです: おわるの・・・
[2216.919] (S)brunoman1: いや〜
[2222.734] OldTypeOji: OldTypeOji subscribed at Tier 1. They've subscribed for 14 months, currently on a 7 month streak! 
[2238.022] ryuken_future: アムネジアほんま
[2256.468] takahashiseigi: 翔は実際の大会で、ときどやガチくんにボコられてます
[2256.582] (M)Moobot: Twitch Prime は30日ごとの更新が必要です。お忘れなく！
[2259.056] Emazim: umeCatGlare
[2264.170] だいこん_: 割れねえ
[2276.834] tabibitox: たまる
[2276.998] aru_0928: しぬ？
[2280.732] maddy2623: おわったｗｗ
[2281.740] (S)brunoman1: ひゃー
[2287.952] gt_26_t: これで負けるってのがなあｗ
[2288.737] v_harumi_v: ＞＜
[2289.478] karinenjoyer: ResidentSleeper
[2292.481] aru_0928: これは萎える負け方
[2295.165] (S)ましゅダヨ: BibleThump
[2295.547] FireStreak_I: doodMemphis
[2298.264] だいこん_: ジャスパじゃないとバーンアウト状況でちゃんとジャスパするりゅうせいも流石
[2308.529] おいるさーでぃん: まさに「負けるのかー」だねぇ
[2330.026] 天然ベニテングダケ: こんばんは
[2345.680] maddy2623: すんごい
[2347.403] Comboloverx: wow optimal
[2348.884] koga_rashi: CV杉田である以外の難点がないよなぁJP
[2352.941] hiisan: 普通の打撃で拾え過ぎじゃね？
[2369.183] FireStreak_I: hes in Diagos head
[2398.895] takahashiseigi: ときど「私はケン一本でいきます」、CFNにJP履歴あり
[2399.063] (M)Moobot: ＊最大120時間＊ HyperX Cloud III ワイヤレス → https://hyperx.gg/45bt2SJ 1回の充電で映画見放題だな
[2402.714] karima9152: 何度見てもJPの飛び道具お手玉って見栄え悪いよなあｗｗｗ
[2415.203] 浅草ガッツマン: なるおがAKI一番弱いってさ
[2415.715] axchuuu: 今日スカル？
[2416.543] みししっぴ1: 初見だと「見た目に反して声若くないか？」と思ったけど、馴れるとなんの違和感もなくなる不思議
[2426.081] stomachbb: 自分でつかって研究したって事じゃない？
[2433.930] karinenjoyer: OD amnesia 
[2437.459] u_anna: ラッシュしてない通常技でも拾えるのがうらやましい
[2449.595] hawawawawawa: wwww
[2450.861] WhiteShoreDrive: たしかにｗ
[2454.765] (S)箸くれ: バーンアウト格差
[2455.856] ulitan8181: 今日ってスカルやるんでしたっけ
[2456.616] FireStreak_I: Destroyed
[2459.013] 天然ベニテングダケ: 削りがひどいひどい
[2460.875] 浅草ガッツマン: ケンの柔道見栄え悪いってよく聞くけど俺はかっこいいと弟
[2460.900] jagajaga1943: スカル何時ごろからですか？
[2463.033] taishin2017: AKIやりますか
[2467.954] v_harumi_v: ２０時だったはず
[2469.348] tokiomari: やったー！
[2471.965] (S)あらかき: あらかき subscribed at Tier 1. They've subscribed for 7 months! 今日もお疲れ
[2472.212] gyu_nyuu_pann: アキちゃんきたぁ
[2472.345] だいこん_: AKIる
[2472.775] (S)軽く捻るか: AKIきたあああ
[2474.487] karinenjoyer: @firestreak_i GTAB
[2475.113] 三角_: 楽しい楽しいアキちゃんタイム
[2475.271] Several_Potatoes: let's go aki
[2476.571] emaplusplus: どくどくしてきた
[2477.744] tak1on_: スカル今日なの
[2481.973] 三角_: アキハマってんねえ
[2482.524] gyu_nyuu_pann: 毒デスよぉ
[2483.995] takahashiseigi: ときどはDこくに、コンボ超安いJPを使ったみたいですね
[2484.816] おいるさーでぃん: スカル20時ですかｱｻﾞｽ
[2485.611] sirokedama: ぷっさん勝てますかねビーストカップ
[2490.325] ryuken_future: jp 
[2494.352] 天然ベニテングダケ: AKI真っ只中だねぇ
[2494.805] v_harumi_v: スカル今日の20時よー
[2502.933] みししっぴ1: A.K.Iってザンギより下なの？同率最下位ってこと？
[2507.739] bunbun0880: aki時間
[2508.859] u_anna: ファン使ってた経験が活きる！
[2509.151] ねりまん: スカルの前にシャワー浴びたらー？
[2509.939] (S)sugi_tree3: 今日でマスター行くかな？
[2515.691] v_harumi_v: アキタイム
[2526.413] だいこん_: ぷっさんはダイヤ帯の出場なのかな？
[2527.652] 天然ベニテングダケ: 順調なら今日でマスター行けそうやなぁ
[2527.990] ozsn999: ぷっさんまだまだ伸びそうでおそろしい子
[2528.035] ko_enma_sama: @firestreak_i "yeah he may be in my head but i'm in your mom's ars-"
[2530.872] 三角_: ええ・・
[2535.546] ponponguripon: あきちゃん
[2543.242] chin_56_: ｼｬｯ
[2547.470] ar777fn: 酒で脳破壊されてない？
[2549.262] みししっぴ1: 2キャラ使ってたらそうなるよね
[2553.099] karinenjoyer: Typical Maximilian follower
[2554.067] loopy000401: それ酒のせいじゃ・・・
[2555.520] (S)銀廻宗創始挙天和尚: こんばんは
[2555.656] bunbun0880: 毒付けてシミー
[2561.731] axchuuu: 1日前は触ってたよ？
[2568.155] 三角_: アキは色々出来るから楽しい
[2570.092] takahashiseigi: かずのこはAKI引退のようですね
[2577.560] (S)~MISSING_COMMENTER_INFO~: allieWelp
[2581.443] balthazar000: 酒は毒か薬か
[2584.364] FireStreak_I: @karinenjoyer KEKW 
[2587.773] ozsn999: 酒 対 毒
[2595.350] twitchyarutch: リーガーは遊んでられないよなあ
[2597.919] 如月うづき: さすがに他のプロは数字取れる時期しかやらないでしょ
[2598.402] v_harumi_v: AKIはやくも引退！
[2599.013] FireStreak_I: @ko_enma_sama KEKW 
[2601.213] 三角_: かじゅは２１００いって引退か
[2608.463] (S)箸くれ: サブとは
[2609.818] v_harumi_v: そろそろですね
[2611.924] (S)UCNOVA: そんなあ
[2614.428] (S)軽く捻るか: ええー
[2615.874] axchuuu: がーーーん
[2616.755] emaplusplus: 悲報じゃーん
[2622.371] loopy000401: フォロワー減りますよ
[2624.389] 天然ベニテングダケ: AKIで裏ダンジョンには潜らないと
[2627.259] 三角_: 守りがなあ
[2629.286] tokiomari: お別れの時間が近い
[2631.042] umetyaahan: ガイル使おっか
[2631.589] febvfea: 何が弱いの
[2633.207] stomachbb: プロが使うキャラじゃないって事だな
[2635.495] だいこん_: こーこ♡
[2640.405] chin_56_: 飽きられた女
[2646.601] sugata128: 調整があるある
[2651.203] みししっぴ1: ケンメインにしてるとなおさらね…w
[2660.374] leleira: うちは一般ピーポーやからダイヤまでは頑張ろ♪
[2661.406] 戸愚呂妹: ジェイミーの曲、AKIに合わなすぎるw
[2662.264] (S)nakao1976: 業務用キャラじゃなかったかぁ
[2666.177] axchuuu: BibleThump
[2666.769] もきち555: ウメちゃんおっはー
[2669.073] 三角_: 楽しいだけ
[2672.249] ヨコグシ: BibleThump
[2674.577] (S)UCNOVA: そっかー
[2677.808] twitchyarutch: かなしいたけ
[2678.090] (S)sullensenpai: たかしとどっちがつよい？
[2678.499] tabibitox: そいや根本氏がしゃかしゃかの後小Kで拾ってコマ投げとかで択かけるのやってた
[2683.531] だいこん_: ウメちゃんAKIいけるで
[2683.662] (M)Moobot: ＊＊新ヘッドセット＊＊ HyperX Cloud III が ワイヤレスで登場！ → https://hyperx.gg/45bt2SJ
[2690.747] FireStreak_I: LUL
[2697.908] tokiomari: やっぱ無敵と対空？
[2699.125] naryrock: うめちゃーん
[2699.331] bobby_yano: ウメさん俺を取れの企画に出た人が書いたジェイミー酒論文読みましたか？
[2700.650] hideto007: そのうち海外でめっちゃ強いAKI使いが出てくる
[2701.396] u_anna: 刺さる上位キャラとかが居ればワンチャン…？
[2703.176] (S)mart_00_: ガチの新キャラなのにこの性能はちょっと悲しい
[2707.983] オシュ: 楽しい所があるのいいけどね
[2720.217] (S)箸くれ: とんおりもできるし運べるし酒も飲める、今こそジェイミーを使おう
[2731.978] 三角_: JPキラー期待されてたけど
[2738.025] takahashiseigi: D曰く、研究が進んでガイルはJPにかなり戦えるとのこと
[2738.678] だいこん_: まず有利キャラいるのか問題
[2756.960] leleira: せめてダルシムくらいの強さは欲しかった
[2758.623] kaban1192: 火力しかない
[2760.935] FireStreak_I: jamie 1*
[2766.948] しいたけもぐもぐ: 開発が進んで評価かわるある？
[2771.022] (S)justhit123: 可能性ゼロってことは中堅でも無いってことかな
[2781.529] tokiomari: 結局FANGポジションだったか
[2795.398] FireStreak_I: Daigo on hard mode
[2798.194] みししっぴ1: リュウとA.K.Iだと流石にリュウのが強くない？
[2815.644] febvfea: 中堅キャラって誰？
[2816.715] (S)UCNOVA: そうなんだなー
[2819.559] おしるこ11: かじゅは中堅くらいって言ってた
[2819.666] x_abu_xx: 誰かが超開発に成功すればワンチャン…
[2820.755] ponponguripon: 面白いだけってこと？
[2821.078] gb_niconico: sakoさんは少し前にAクラスあるかな？言うてた。
[2822.372] tsubameM: そんな気がするー
[2822.530] 三角_: 設置なあ
[2828.945] v_harumi_v: なるほどー
[2830.156] 天然ベニテングダケ: 毒設置の？
[2838.960] 000105: 毒レベルつけて
[2842.341] 三角_: ウメちゃん搦め手好きやな
[2849.281] takahashiseigi: sakoさんがSFLでAKIを出すかどうか…ボンは怒ってます
[2858.569] leleira: もう設置に無敵つけましょう♪カプコンさん♪
[2860.670] u_anna: オワゲキ
[2864.876] (S)箸くれ: ジェイミーかっこよ
[2889.497] shellfish55: 謎にアキJPにいけそう勢がいたの笑えた
[2892.402] FireStreak_I: sexy man beats woman 
[2895.192] tatatatady: 鞭はダメ？
[2901.019] kiton_taichi: 鞭使わないのかな
[2901.186] だいこん_: 先生から毒ですよぉ～を教わらなかったAKIちゃん
[2901.872] みししっぴ1: ジェイミーの色気たまらんな
[2915.796] umetyaahan: なおJPの設置
[2924.637] u_anna: 師匠のＶスキルは医大だった
[2944.674] ponponguripon: どくまみ
[2950.483] emaplusplus: ほんと上からの攻撃きつそう
[2951.677] shellfish55: アキと違ってジェイミーは可能性の塊だよなぁ
[2960.050] kiton_taichi: 通常技もだけど、もっと鞭使うキャラだと思うけどなあ
[2961.905] オシュ: 師匠は伏せキックが有利なのが豪かった
[2969.955] ozsn999: 凄麺とスト６でコラボしてぷっさんにマスコットやってほしい
[2979.833] nikomafu: 本日も変わらない寝癖www
[2980.252] (S)箸くれ: 端最強格です
[2992.142] leleira: ジェイミー弱くは無いよな開発進んでるし
[2994.169] 天然ベニテングダケ: しっかし毒にアルコールの組み合わせって、現実だとアカン様な…ｗ
[3009.504] shellfish55: ジェイミー弱いはずがないんよな…
[3015.842] みししっぴ1: 減るぅ
[3019.598] (S)箸くれ: いや弱いよ…
[3020.815] koga_rashi: 劇終
[3022.827] emaplusplus: 毒の時点で（小声
[3027.022] 三角_: ｵﾜｹﾞｷ
[3029.853] だいこん_: へーーーーーーーる
[3030.109] gb_niconico: sakoさんとネモさんがAKI使ってるけど、どこまで本気で取り組むのか
[3030.459] (S)funkyratty: WOAH
[3030.851] 天然ベニテングダケ: オワ劇
[3030.884] 新ころりん: おわげき
[3032.694] (S)FilthyOjiChan: what
[3032.763] (S)justhit123: へっる
[3033.123] tokiomari: へっる
[3034.854] (S)tama_zx61: 減る
[3035.907] Comboloverx: What??? that killed>?!!!
[3037.584] 天然ベニテングダケ: CＡ故に
[3038.809] u_anna: 残ると思ったぁ
[3041.117] おしるこ11: おわげきかっけー
[3042.462] Jam10505: ネモさんはあきらめかけてる
[3044.767] shellfish55: アキやザンギと比べたら全然弱くないでしょ
[3051.551] (S)箸くれ: 村に迷い込んだｗ
[3052.221] 三角_: ネモさんはずっと光が足りないって言ってる
[3056.921] みししっぴ1: ジェイミー村ぁ
[3058.164] ef_cookie: @Comboloverx lower health, higher CA damage
[3059.010] emaplusplus: 村だったー
[3062.683] RaLuna696: めっちゃジェイミー
[3063.709] kiton_taichi: jpと比べるなと言いたい
[3070.624] 天然ベニテングダケ: やだこの村、酒臭いわッ‼
[3073.585] leleira: アキはザンギ戦地獄よ
[3079.449] takahashiseigi: 根本さんにとってAKIは、ラーメンの味変
[3085.718] Comboloverx: @ef_cookie  huh? CA scales with HP???
[3094.235] sei_6: ジェイミーは割といるよね
[3102.887] seiji141141: ネモさんはJPをAKIで倒してお前らAKI使えよ！俺はJP使うからな!って言ってた
[3107.261] みししっぴ1: JPは大谷翔平とか井上尚弥のレベルだから…
[3107.324] 天然ベニテングダケ: ジェイミー村の井戸はアルコール成分入ってそうな…
[3112.101] ponponguripon: かみばっさばさ
[3116.019] ~MISSING_COMMENTER_INFO~: かっけえ
[3116.219] tokiomari: 毒コンボかっこいい
[3118.746] emaplusplus: なんとかならず
[3121.509] erukima: wwww
[3123.145] 三角_: 毒飲んだらチャンス
[3123.753] (S)箸くれ: 勝手に死ぬジェイミー
[3126.280] (S)chachachakoma: ｓｗｗ
[3126.599] kaban1192: 🍶飲み放題
[3129.271] 天然ベニテングダケ: 毒ですよ～？
[3129.647] aranami0: ｗｗｗ
[3131.270] (S)ババシャツ: ww
[3131.289] みししっぴ1: 毒は飲んでくれw
[3132.791] 蟹右手: 酒は身体に毒
[3133.398] (S)hamachi_x_kanpachi: ひょうたんに毒いれましょうｗ
[3135.042] (S)korekitwitch: 酒は毒ですよｗ
[3148.404] ponponguripon: ぐびぐび
[3149.435] 三角_: 酒飲み放題やんけ
[3150.299] ef_cookie: @Comboloverx Yes, If you noticed how we get 2 different CA's it depends on the health. 25% or lower you get higher damage and different CA animation
[3152.306] ごまたまご: あ
[3153.932] dai920: AKIも先生ゲージとかつけるか
[3161.964] だいこん_: BibleThump
[3165.411] 天然ベニテングダケ: 隙でかい分、ガンガン飲まれるのか…
[3167.974] (S)箸くれ: クラブ名がジェイミーじゃん
[3183.186] niemalsaufgeben: スト6やらんときつい系
[3183.330] (M)Moobot: ＊最大120時間＊ HyperX Cloud III ワイヤレス → https://hyperx.gg/45bt2SJ 1回の充電で映画見放題だな
[3199.211] Comboloverx: @ef_cookie  oh i know CA is different than level 3. Just surprised that it killed. The way your explanation was made it seem like if you're at 1% hp CA will do more than at 25%
[3204.654] Zero_Fabio: jwongCHUN
[3218.772] u_anna: そのピョンってやって二回蹴る技好き
[3231.244] shellfish55: ウメちゃん…このキモイ女やめてジェイミーやらんか…
[3231.542] watanabe0731: 毒重ねがけとかあればいいのに
[3235.695] stomachbb: まじで飲み放題になってるな
[3247.449] 三角_: ウメちゃんがお仕置き知らないから・・・
[3260.037] m0k0t: PVno
[3280.669] だいこん_: SA2ガードされてからの設置は図々しすぎるｗ
[3280.798] (M)Moobot: サブスクライバー限定Discord連携方法はこちらから！ https://sites.google.com/view/daigothebeastvsubhelp/
[3303.122] stomachbb: ジャイミーに大苦戦や
[3306.652] 三角_: のみほ
[3309.989] yamanoberui: 玉が、
[3311.281] ponponguripon: いきいきしてる
[3317.211] (S)箸くれ: ザンギより飲めてるかもしれんｗ
[3319.122] みししっぴ1: 止めようがねぇ
[3330.804] takahashiseigi: AKIは多分マスターまではやるはず
[3332.899] みししっぴ1: 鞭刺すしかないのか…
[3336.039] だいこん_: Dゲージ回復にも飲まれる始末
[3337.945] gt_26_t: ジェイミー面倒とかだるー
[3340.168] rrr8628rrr: 酒ぐびぐびで草
[3342.981] m0k0t: PVのコンボいいコンボが載ってるってネモさんが言ってました
[3346.774] 三角_: 爪で
[3348.616] 1108044k: ウメAKIが特別待ちに見える
[3350.553] (S)sumabufalcon: umeYay
[3351.779] (S)tama_zx61: 酒飲んでいく～
[3354.303] pfl2: 飲み放題だねえ
[3362.640] 如月うづき: ＰＶの時が一番強かった
[3366.811] 天然ベニテングダケ: 瓢箪の中に毒仕込んでもいいんじゃない？
[3368.084] shellfish55: 弱すぎて笑っちゃうときあるわアキ
[3370.202] gt_26_t: 酒飲んで横と上から突進技打たれるだけでめんどそうなの嫌だなあｗ
[3372.008] niemalsaufgeben: 昇龍系の偉大さ
[3384.102] まるいとうふ: RyuChamp
[3390.773] みししっぴ1: ジュリちゃん🥰
[3402.588] kusomegane123: ぴょーんって飛ぶ技でぼったくれないの？
[3406.334] (S)mart_00_: ひたすら攻めて端に連れてくしかないんかな
[3407.733] u_anna: 波動拳一回うったら集中が切れる男
[3409.147] だいこん_: たまにはODシャカシャカとか見せるべきなのか？
[3409.971] のりゆき0125: 自身の神経強化する毒とか自分に注射しよう、アキ
[3413.992] montjakt: ご苦労様です
[3416.553] johnnyppas: アキが有利な相手って誰なんだろう
[3417.072] shellfish55: 毒にまみれるのです！
[3421.161] 三角_: ※色々忘れてます
[3425.878] (S)mart_00_: wwww
[3431.578] ~MISSING_COMMENTER_INFO~: oichan tuix
[3443.166] ppooppy: せめて空投げが欲しかった
[3462.149] leleira: 変わった事ができるナッシュみたいやねーw
[3463.108] rrr8628rrr: 寝癖すごいですね…
[3466.778] だいこん_: 念入りに悪いことできないよう細工されている
[3468.815] kawasak1n: シャアー
[3470.892] tokiomari: すーごい対空
[3476.708] scottiever06: 走ってれば終わる場面多いな
[3480.377] aranami0: 羨ましいねぇ
[3483.852] rond112: 爺からもらおう
[3485.035] 凪水: マスターもうすぐか
[3490.828] prisira: 対空強いのに空投げあるキャラおるしな
[3497.174] niemalsaufgeben: 悪いことはできるよ。そっち系
[3498.675] tabibitox: 対空強いのに空投げもってる遠距離キャラがいるらしい
[3502.201] だいこん_: せめて空投げとか空中TCとかね
[3507.719] のりゆき0125: 毒なら、もっといやらしい戦い方できるキャラで良かったけどな
[3509.216] shellfish55: 新キャラは対空弱くされてしまうのか
[3519.340] maddy2623: カプコンさん追加キャラに慎重すぎない？
[3524.447] stomachbb: JPに空投げあるのは超絶違和感あるな
[3528.093] ppooppy: 対空も弾もリーチもあって空投げもあるおじいちゃん
[3532.404] umetyaahan: ちなjp
[3533.528] kusomegane123: 対空弱いだけで楽しくないのはちょっとね
[3536.500] prisira: ｊｐいるから強いキャラ出してもいいだろうにな
[3546.191] だいこん_: JPさんちょっと分けてあげて
[3557.091] shellfish55: JPがぶっちぎりでつえーからなｗ
[3566.504] rrr8628rrr: 新キャラかなり慎重に調整してるのかな
[3584.491] leleira: アキは明らかに人気出るキャラコンセプトなのに残念よねー
[3584.616] (M)Moobot: ＊＊新ヘッドセット＊＊ HyperX Cloud III が ワイヤレスで登場！ → https://hyperx.gg/45bt2SJ
[3586.191] 黒鼓ぜろ: 新キャラビビりは結局年一調整と同じ理由よな
[3589.859] だいこん_: 豪鬼も弱い可能性全然あるな
[3595.380] kaban1192: 色々あるんだけど総合的に強くはない
[3627.574] tokiomari: ガイルかな？
[3630.192] twitchyarutch: でも楽しいから
[3630.361] 1108044k: 対応しつつじっくり毒で削るキャラにしたくなかったんだろうな
[3631.270] 新ころりん: 球打ちの年期
[3641.978] u_anna: これだけ攻めが激しいゲームで「体力すくないから攻め強くしました」っていう豪鬼が出るの怖い
[3655.024] オシュ: 新キャラもベータテストみたいにあとから性能かわってもいいのにね
[3672.143] shellfish55: 豪鬼が弱いわけがない
[3681.399] (S)mart_00_: セスがめちゃくちゃ増えたシーズン思い出した
[3687.653] 0208h: スマブラとかと違ってストはDLCキャラ控えめの性能でだされる傾向あるよね
[3694.162] u_anna: 体力７５００とかで…ｗ
