[21.185] (S)rin_aimer: radaoKitya
[2366.738] a__res: あ
[2366.824] 秋の気配がしますね: は？
[2367.215] (S)monhana1147: あ
[2367.329] どなつ: あ
[2367.337] minibanbi: あ
[2367.457] (S)レだん: あ
[2367.464] (S)MORIYA_37: あ
[2367.478] (S)evolblackhole555: おい
[2367.492] (S)ぽりやん: おい
[2367.498] (S)frogflingpstfst: あ
[2367.540] いのりさん: 親じゃないぞ
[2367.552] mugitixya: あ
[2367.571] (S)りったん_: あ
[2367.677] harusame55: あ
[2370.373] ロクでなし: あ
[2370.401] (S)haamisi: あ
[2370.419] (S)みーだん: 今北わこらだ
[2370.512] moririnn1103: あ
[2370.595] やくとみ: 深夜に起きて枕元にあるの嬉しかったよな
[2373.845] ayunosioyaki0223: 言ったな
[2373.892] rincho22: あ
[2373.938] (S)レだん: おいサンタさんだぞ！
[2374.108] (S)haamisi: 尾い
[2374.215] (S)ラボア: おい
[2374.306] syao7893: 今の時代のプレゼントiTunesカードとかだったりするのかな…
[2374.309] rrrrr1111: そこからバケモノに近づいたのか..
[2374.584] hirunnkun: 言ったわこいつ
[2374.837] (S)toumyou_2525: radaoMoeru
[2375.072] shooo818: あ
[2375.364] あきぬこ: 夢を壊すな
[2375.590] daibarorin: おい
[2375.810] suibotu_: おい
[2375.830] towa0916: ww
[2376.016] yuui01: おい
[2376.484] が_じゅ: はいピュアリス泣いた
[2376.515] おそば0804: 夢壊すな
[2376.656] n_kome_02: お前やったな
[2376.835] piisuke0428: おい
[2377.198] (S)kouam428: 正体ばらすな
[2377.324] (S)tsuM6G1_: おい
[2377.372] (S)タクトン: 時が経てば経つほどわかるよね気持ちが
[2377.447] tokoivu1125: 炎上
[2377.549] befehlmc: おい
[2377.796] カナバ: あ
[2377.844] (S)mg_rafu: あ
[2378.018] ラムネ味: おい
[2378.023] prpr_friedrice2: おい
[2378.037] uni_0141: 親って何ですか？
[2378.056] (S)初菓: radaoKasu
[2378.217] karaage_oc: サンタへの信用が厚すぎた結果
[2378.304] k_taronosuke: 全キッズリスナー大号泣案件
[2378.560] (S)きなこもち46: おい
[2378.562] (S)てぇう: メンタルブレイクする
[2378.570] toremoro_san: おい
[2378.799] miam_1018: あ
[2378.863] 秋の気配がしますね: ちょちょちょ
[2379.272] Mashiro_xwx: おい
[2380.208] msz_1114: サンタな
[2380.456] masic_master: おい
[2380.684] (S)dommbeeee2828: 夢壊すな
[2380.711] きーうぃ: おい
[2381.056] rato_reto: 炎上するぞ
[2381.080] (S)中のヒト: ポケカ１箱もらって売ってゲーム錬成すればいいよ
[2381.103] mugitixya: おい
[2381.148] ame_ume: おい
[2381.222] Dachiki_01: やったな
[2381.406] 砂ザトウ: 今北
[2381.417] rincho22: やったな
[2381.520] ミラカラ: あつ
[2381.623] kiiroitori: 失言
[2381.633] toremoro_san: 炎上
[2381.744] souta0712likeblue: おい
[2381.953] tubugu: うまい棒5円もあるらしい
[2381.955] あるみ屋: はい
[2381.983] r1ooooooo: はい、嫌い
[2382.179] (S)ichigomilk_252: おい
[2382.396] momo___ka: おいw
[2382.406] あかましまし: 何歳が見てるか分かんないんだぞ
[2382.431] yutalu3773: あれ？
[2382.459] sta510pro: お前が子ども泣かした
[2383.078] (S)Yukimaru__31: あー
[2383.084] (S)misokaio: ガキの夢壊すな
[2383.109] rato_reto: ぽ
[2383.270] (S)tumetai_kokoa: あ
[2383.312] (S)a_o3o1_m: あ
[2383.385] runa_0415: おい
[2383.568] メープル羊: 夢こわしたなw
[2384.038] suibotu_: アウトだぞ
[2384.249] pasu0517: あ
[2384.256] (S)レだん: やったな
[2384.278] すますま: おい
[2384.612] 守護神タナーカ1111世: サンタナ
[2384.660] ruchi_13: もう言うてる
[2384.685] yatayatakomayan: おい
[2384.688] (S)tsuM6G1_: radaoMoeru
[2384.704] たゆう_はね: おい
[2384.880] 角角家: 言ったな
[2385.879] あるみ屋: おい
[2385.905] ロクでなし: やらかしたな
[2385.982] rururururu_252: 本性表わしたね
[2386.133] himekana_: あー
[2386.187] n_kome_02: 炎上ものだぁ
[2386.231] NORI25252: サンタさんがね
[2386.443] rato_reto: やったな
[2386.522] (S)ichigomilk_252: あ
[2386.549] (S)oli_liriri: radaoKasu
[2386.632] navyblue___: ママリス大激怒
[2386.662] たゆう_はね: 失言
[2386.826] non0827: ゆめ壊さないで
[2387.051] pasu0517: あ？
[2387.270] gascoigne1837: ざけんな
[2387.403] tanaoji0709: 夢壊し…
[2387.544] YodoRa: やったな？
[2387.684] yubaharu: サンタって親なんですか？
[2387.920] toremoro_san: あ
[2388.214] おやこどぅん: あ
[2388.454] monatto__: 夢壊すな
[2388.526] りかお: 親？
[2388.557] (S)paperbag8: radaoTuuhou
[2388.981] yutalu3773: 炎上だ
[2389.797] satela_A: おい
[2390.377] daibarorin: サンタがお前を殺しにくるぞ
[2390.984] 守護神タナーカ1111世: 言った
[2391.144] くろざき: 夢壊さんといて
[2391.307] yura1196: あーあ
[2392.053] yatayatakomayan: はい炎上
[2392.275] monatto__: 最低
[2392.780] msz_1114: 私サンタ信じてるのに、、親なの、、？
[2392.823] mao7115: 家族で見てる人いたらどうすんだ
[2392.870] towa0916: まだ信じてるやついるんだぞ
[2393.197] shion2221: 貰えるだけありがたいんだぞ
[2393.448] yuui01: 次いこ
[2393.693] kannkitu219: あーあ
[2393.723] _もちもち_: ピュアリス大号泣
[2394.315] (S)haamisi: 炎上
[2394.744] (S)sjindoa: あーあ
[2394.826] taurus_pon: サンタはいますよ
[2394.954] samehurai1028: キッズ大号泣
[2395.012] mafuyu256: あ
[2395.151] mikan_san: 親って…？正体…？
[2396.073] datekenn1215: カードゲームのパックしか買えね
[2396.311] rruwa: サンタっていつまで来るもんなの？
[2396.951] rioapr03: あー
[2397.094] (S)レだん: radaoMoeru
[2397.157] tunamayo1234: あ
[2397.167] えりさ_: サンタ信じてたのに……
[2397.418] きーうぃ: 心が…
[2397.739] あもりる: こっちまで悲しくなってきた
[2398.441] am4kumo: radaoMoeru
[2398.444] choco3143: 用意…？
[2398.471] 燐だよ: ポケカ買おう
[2398.861] tomatan773: 純粋なリスナーをぽまえが潰したんだぞ
[2399.293] あるみ屋: はい炎上
[2399.494] hirunnkun: う”ぁぁぁぁぁん
[2399.712] prpr_friedrice2: サンタなんていないってわかってるからいいよ
[2399.772] (S)星空くん: あーあ
[2400.319] (S)paddel063: 笑笑笑
[2400.743] rioapr03: www
[2400.936] るびあんず: サッカーめっちゃ嫌いじゃん
[2401.025] amcill: クリスマスは親から金もらってた
[2401.052] よっしぃぃ: 本体無いのにどうするんだよ
[2401.154] touhikou_: お前のせいで今キッズ泣いてるぞ
[2401.268] gascoigne1837: 夢壊すな
[2401.339] (S)toumyou_2525: は？
[2401.501] 村長の孫の嫁: 贅沢だなあ
[2401.726] Paste1: 嬉し泣きだよね
[2401.764] shooo818: サンタ身バレ
[2402.714] たゆう_はね: サンタさんはサンタさんだよ
[2403.318] (S)dommbeeee2828: 闘莉王とかの時代？
[2403.719] yubaharu: あ
[2404.461] tanaoji0709: ﾋｰﾝ
[2404.691] (S)なつおよ: wwwwwww
[2404.747] rincho22: 野球は？
[2405.301] oba__ok: サイズ合わないよりマシやろ！
[2405.531] pasu0517: らっだぁはサンタさんのこと親っていうんだ！
[2406.105] ぱんだぁぁぁ: ww
[2406.305] ten_0609_: あ
[2406.354] くるみ1209: あーあ
[2406.379] happasan88: 本体はあったの？
[2406.604] (S)fuu_maru: え
[2407.950] 生まれたてのこはく: あ
[2409.300] (S)koronn1101: サンタさんって親だったの！？
[2410.602] warabi_0917: なんでクリスマスに親が関係あるの？
[2410.810] (S)レだん: サンタ身バレしたんだが？
[2412.660] 燐だよ: 2000もらったらポケカ買うわ
[2413.127] harusame55: やってたけど好きじゃなかったんか
[2413.498] 秋の気配がしますね: 子供にDDosされるぞ
[2414.407] (S)なつおよ: なんでサッカーやってたの？
[2414.855] Mashiro_xwx: じゃあなんで続けてたん
[2416.166] (S)ありちっ: wwwwww
[2416.226] (S)misokaio: 全国のサッカーファン激怒
[2416.558] (S)ぽりやん: サッカーに恨みでもあるんか
[2416.746] prpr_friedrice2: 強欲の壺
[2417.350] nairon_5102: ギャン泣きか
[2418.402] えりさ_: そーなの
[2418.609] gascoigne1837: わがまま言うな
[2419.833] (S)oli_liriri: じゃあ何が好きだったの？
[2420.726] 梨一: サンタさんにめんどくさって思われてるよ
[2421.588] ikemikann: 第四希望まで書かされた
[2421.698] (S)nanasino0131: サンタ特定した
[2422.177] towa0916: ww
[2422.202] navyblue___: スポ小とかなっつ
[2425.204] (S)てぇう: ピュアキッズが遠慮し始めるだろ
[2425.709] もぐつむり: パソコン届いたことあるわ、
[2426.366] hirunnkun: てかプレゼントじゃなくて金が欲しい
[2426.568] (M)Nightbot: YouTubeにクリップ集を投稿していきたいので、面白かったシーンなどを>>"タイトル"<<をつけてクリップ作成お願いします。画面の右下にクリップ作成ボタンがあります。>>"タイトル"<<を付けて作成してもらえると後でクリップを選出しやすくなります。よろしくね
[2426.862] YodoRa: サッカーなんで好きじゃないの？
[2427.715] taurus_pon: らっだぁさんは悪い子だからサンタさん来ないんですか？
[2429.288] いのりさん: サッカー部ヒエラルキー高いもんね
[2429.365] みおん3078: サッカー関連じゃなきゃいいんか
[2429.715] (S)toumyou_2525: サッカーファンです。4ね
[2429.964] Dachiki_01: 正体バラされました。泣きます
[2430.712] メープル羊: その頃からゲーム好きだったのか
[2430.947] puyopuyokun: らっだぁさん靴のサイズは？
[2431.360] pasu0517: なんでサッカーしてんだよ
[2432.346] (S)yukii0913: サンタはサンタやぞ
[2433.268] (S)rimirimi1205: サッカー好きじゃないのにやってたの？
[2433.917] rruwa: サンタっていつまで来るもんなの？
[2434.161] rrreeel: 何年いたん？
[2434.894] shion2221: サッカーしてたのに陰キャなんだな…
[2435.872] nairon_5102: なんで入ってたん
[2437.058] non0827: じゃあなんでサッカーしてんの
[2437.331] rato_reto: サッカー嫌いなのにやってたんだ
[2437.805] (S)haamisi: サンタは親ってこと
[2439.101] (S)Yukimaru__31: 中学の時まだサンタ信じてる人いて先生にサンタさん はいないよって言われてる人おった
[2440.867] (S)siratori__414: なんか小さい時から声変わってなさそう
[2441.220] (S)初菓: スポ小ってなによ
[2443.324] (S)kota0513: kota0513 subscribed at Tier 1. They've subscribed for 9 months, currently on a 9 month streak! サッカーはあんっまり
[2443.800] (S)waa39: じゃあやめてそのお金で買ってもらえよ
[2443.831] itoido: これ以上は子供によくない
[2444.030] mikan_san: あ
[2444.037] あきぬこ: あっ
[2444.194] YodoRa: サッカーはヒエラルキー高めだぞ
[2444.917] (S)よっしぃ37: ｗｗｗｗｗｗｗｗ
[2444.938] (S)sjindoa: あ
[2445.050] tora25_22: あ
[2445.217] (S)のせ太郎: あ
[2445.220] ayunosioyaki0223: あ
[2445.343] (S)ryo_ngz: あ
[2445.366] nanasi0917: あ
[2445.768] kujirai___: wwwwwwwww
[2446.022] 村長の孫の嫁: wwwww
[2446.236] (S)rigore_napoli: あ
[2446.277] navyblue___: あ
[2446.282] (S)そおお: ；；
[2446.375] kohana0d06: あ
[2446.458] ワタメル0324: あ
[2446.715] (S)paperbag8: あ
[2446.757] (S)nakihai556: あ
[2446.938] sorakitune22: あっ
[2446.982] harusame55: あ
[2447.075] ruchi_13: あ
[2447.079] sta510pro: あ
[2447.097] (S)mazirou: あ
[2447.121] jhonnymorimori: あっ
[2447.149] amcill: あ
[2447.151] (S)をぺ: あ
[2447.178] rascal_techonol: あ
[2447.388] yuimo_1823: www
[2447.421] (S)yukichan2525: あ
[2447.476] (S)pirarucu_0701: あ
[2447.547] あきぬこ: ごめんな
[2447.774] rato_reto: あ
[2447.788] (S)星空くん: www
[2447.803] 梨一: あ
[2447.851] hirunnkun: あ
[2447.915] 村長の孫の嫁: あ
[2447.974] (S)肉汁うどん: あ
[2447.975] ruu_ha: あ
[2447.994] (S)toumyou_2525: あ
[2448.202] rioapr03: あ
[2448.309] (S)misokaio: あ
[2448.443] NORI25252: あ
[2448.520] いのりさん: あ
[2448.524] (S)fuu_maru: あ
[2448.539] (S)きなこもち46: あ
[2448.656] (S)mai161116katatumuri: あ
[2448.829] (S)haru_anura: あ
[2448.852] (S)kouam428: あ
[2448.860] shion2221: あ
[2450.030] mugitixya: あ
[2450.083] るびあんず: ごめん
[2450.165] 2jqtpja: あ
[2450.218] maruroku_1006: あ
[2450.298] (S)ゆーーー_: あ
[2450.302] (S)なつおよ: あ
[2450.413] nagamenoyama: あ
[2450.531] tokoivu1125: あ
[2450.648] hima_b_cat: あ
[2450.678] tanaoji0709: あ
[2450.757] 秋の気配がしますね: ww
[2450.842] ikemikann: あ
[2450.859] (S)レだん: あ、、、
[2450.916] (S)omoti1208: あ
[2450.993] am4kumo: あ
[2451.021] (S)mari71ks: あ
[2451.361] (S)マシュマロ: あ
[2451.478] Mashiro_xwx: あ
[2451.560] shibuya_0830: あ
[2451.636] 夢現: ベンチ暖かいけどお前のおかげか
[2451.662] maru_aoi: それはそう
[2451.731] homurrrrrra: あ
[2452.041] ossushisama: あ
[2452.065] rato_reto: なんかごめんな
[2452.506] (S)yona_0724: あ
[2452.544] shin1654: ごめん
[2452.859] rincho22: あ
[2452.932] (S)MORIYA_37: ；；
[2453.049] よっしぃぃ: 次いこ
[2453.062] えりさ_: あ
[2453.081] (S)oli_liriri: あ
[2453.206] (S)sjindoa: ごめんね
[2453.251] towa0916: あ
[2453.267] tomatan773: 逆恨みで草
[2453.529] (S)レだん: ごめん
[2453.622] (S)ryo_ngz: ごめん
[2453.650] sant_kirishima: あ
[2453.661] prpr_friedrice2: あ
[2453.757] (S)paperbag8: radaoCry
[2453.947] ~MISSING_COMMENTER_INFO~: あ
[2453.977] (S)ナラ抹茶: あ
[2454.012] (S)ぽりやん: ；；
[2454.554] himekana_: あ
[2454.752] ikemikann: ぽいよね
[2454.809] befehlmc: あ
[2454.855] ruchi_13: つ、次行こか……
[2455.037] 15ais: 次いこか…
[2455.115] 守護神タナーカ1111世: ごめん
[2455.550] hirunnkun: ずっとベンチだったってことか
[2455.772] yuk_iha_d_esu: ポジソン
[2455.786] (S)baberuboburu3939: w
[2455.870] smiremire: ；；
[2456.086] NORI25252: 秀吉ね
[2456.307] yuui01: あ
[2456.546] moririnn1103: wwwwwwwwwww
[2456.749] (S)はるーむ: あ
[2456.864] そー司郎: あ
[2456.970] rato_reto: 次行こ
[2456.983] くろざき: あ
[2457.108] jhonnymorimori: BW
[2457.338] michio0106: サッカー続けてたらこんな悲しいバケモノ生まれなかったのに
[2457.446] rincho22: ごめん
[2457.562] 梨一: あー…
[2457.672] shion2221: ごめんな
[2457.858] mirumiru_h: なんかごめんな
[2457.966] air_118: なんかごめんな
[2457.985] kiiroitori: あ
[2458.112] メープル羊: あ
[2458.188] 2jqtpja: なんかごめん
[2458.451] さめちーず: ポジソン……
[2458.629] kujirai___: CBさん…
[2458.664] みおん3078: あ
[2458.831] えれ0729: おれ右サイドベンチ
[2458.934] n_kome_02: あーあったかそう
[2459.240] ラムネ味: あ
[2459.335] あきぬこ: 次行こ
[2459.470] (S)星空くん: 次行こ
[2459.498] (S)ichigomilk_252: あ
[2459.726] murasakineko6262: あ
[2459.732] (S)レだん: つ、、次
[2459.736] mono_0114: すごいじゃん
[2459.894] (S)mazirou: 俺左サイドベンチ
[2459.923] (S)osato9654: radaoCry2
[2460.129] pasu0517: また切り抜かれる
[2460.160] shibuya_0830: 泣くなよ
[2460.622] tanaoji0709: ごめんな
[2460.771] towa0916: なんかごめんな
[2460.853] (S)haamisi: あ
[2460.892] touhikou_: 次いこか
[2460.943] momo___ka: あ
[2461.372] あるみ屋: ごめんな
[2461.392] yura1196: あやまれ
[2461.700] 村長の孫の嫁: サッカーよく知らないけどベンチは知ってる
[2462.344] monatto__: ごめん
[2462.412] rg_irece: 次行こ
[2462.656] (S)よっしぃ37: 雑魚ってコト！？
[2462.747] sorakitune22: はよ次行こか！！！！！
[2462.763] (S)izayoi_77: 次！！
[2462.817] k_taronosuke: ごめん
[2462.990] (S)dommbeeee2828: ベンチコートずっと着てたんか
[2463.202] よわはと: あっ
[2463.223] satela_A: あ
[2463.417] くろざき: ごめんな
[2463.451] ロクでなし: そら嫌いになる
[2463.600] (S)yuujyuufudann: 次行こ
[2463.636] ルロア: BWか
[2463.640] runa_0415: 次いこ
[2463.672] yuui01: なんかごめんね
[2463.817] prpr_friedrice2: 今サッカーできるの？
[2464.208] kooridoufu: っスー
[2464.237] (S)evolblackhole555: なんかごめんな
[2464.273] 白クマ: この話やめよ
[2464.408] 角角家: radaoCry2
[2464.658] (S)なつおよ: ベンチあっかいよな
[2464.801] だるを35: つぎいこ
[2464.903] miam_1018: 次行こう。
[2464.987] shinano72: ごめんな
[2465.030] (S)ここねり: ポジソン？
[2465.112] (S)レだん: ごめん
[2465.151] daibarorin: その頃からへったぁか……
[2465.606] kiiroitori: 次行こ
[2465.754] みおん3078: ごめん次聞きたいな
[2465.825] すいぺりあ: ベンチウォーマー
[2466.019] kazutoro_desu: ごめん
[2466.036] himekana_: ごめん
[2466.096] mikan_san: 平成の豊臣秀吉って事！？
[2466.348] ruu_ha: 似合ってるよ
[2466.533] namaeha_madanai_: 次行こう
[2467.349] hirunnkun: え
[2467.469] nanasi0917: ごめんな
[2468.251] (S)goodfriends02: 次行こ
[2468.262] (M)amakki: 何偉そうに真ん中に座ってんだ
[2468.288] rato_reto: あ、、
[2468.495] (S)yukichan2525: w
[2468.503] (S)ぽりやん: この話やめない？
[2468.503] yuui01: 次行こ次！！！！
[2469.224] befehlmc: 次行こ次行こ
[2469.288] てぃやんでい: ごめん
[2469.291] kohana0d06: 涙拭けよ
[2469.400] (S)yuna_aaaaaaaaa: この話やめね？
[2469.806] (S)きなこもち46: ごめん
[2470.012] miicha_mo: CBか…
[2470.025] るちのー: いいポジ貰ったな
[2470.178] ラムネ味: ごめんて
[2470.426] hirunnkun: あ
[2470.550] towa0916: 次ー！
[2470.642] たゆう_はね: バスケとどっちが嫌い？
[2470.889] yoruto0811: ベンチ要りできたんだ
[2471.295] (S)マシュマロ: なんかごめん
[2471.308] daibarorin: 秀吉さん？
[2471.480] nairon_5102: ；；
[2471.551] moririnn1103: CBなんか
[2471.590] (S)toumyou_2525: ごめんね
[2471.643] yubaharu: ごめんね
[2471.788] masic_master: なんかごめん
[2471.820] (S)rimirimi1205: 次行こーな
[2471.908] 哀れな人の子: お便り読もう。ね？
[2472.011] girubardghq: ツイッチのストリーマーバトル誘われなかったの？
[2472.029] (S)かりんとう12: ごめん泣かないで
[2472.048] もぐつむり: つ、、次行こか(苦笑)
[2472.246] (S)レだん: ごめんて、、
[2472.274] msz_1114: センターベンチってなに？
[2472.395] (S)r_udhimaru: radaoCry2
[2472.493] (S)komasannsann: ベンチあったけ〜！
[2472.648] メープル羊: ごめんね
[2473.595] riraaaaa: ご、ごめんね
[2473.689] はな0: わこらだ
[2473.727] (S)ichigomilk_252: 次行こか
[2473.867] flemely0308: 下手なだけか
[2474.479] (S)paddel063: 涙拭けよ
[2474.634] hirunnkun: 次行こか、？
[2474.771] rrrrr1111: ごめんな
[2474.783] rato_reto: ごめん次行こ
[2474.797] りょうきち: ベンチならせめて端っこであれ
[2474.840] (S)danger_tap: 下手ってコト、、？
[2474.841] (S)misokaio: 次行こか
[2474.860] amayu_9: 次行こ次!
[2475.424] tanaoji0709: 次…行こうか
[2475.468] gonnbee774: ごめん
[2475.538] kiiroitori: この話やめない？
[2475.646] suibotu_: 次行こ！、
[2475.651] 燐だよ: ベンチスタメンってこと？
[2475.853] mai_parastica: なんかごめん
[2475.859] sant_kirishima: この話やめね？
[2475.914] いのりさん: ユニフォームは綺麗なんだろ？
[2475.980] rruwa: サンタっていつまで来るもんなの？(話逸らす)
[2476.048] けとせとら: 多分リスナーの中にも100人くらいいる
[2476.078] (S)Yukimaru__31: 右サイドベンチじゃないんですか？
[2476.211] jhonnymorimori: ベンチウォーマー BW
[2476.295] (S)をぺ: つハンカチ
[2476.403] くるみ1209: 次行きましょ
[2476.643] いざゆかん: あっ
[2477.246] 2jqtpja: 次いこ
[2477.402] shooo818: 次いこー
[2477.437] えりさ_: あったかいんだから〜
[2477.459] shion2221: ハンカチやるよ…
[2478.135] toremoro_san: 次ーーー！！
[2478.400] miam_1018: よし、次だ。
[2478.640] あきぬこ: wwwwwwwww
[2479.273] (S)yukichan2525: www
[2479.292] n_kome_02: この話やめね？
[2479.886] homurrrrrra: ベンチ似合ってるよ
[2480.092] asaborake0408: お前の過去地雷原かよ
[2480.215] nairon_5102: あ
[2480.471] (S)waa39: いいポジソンだね
[2480.496] 秋の気配がしますね: 次次
[2480.597] (S)ichigomilk_252: ；；；；
[2480.654] ぺン: ほんとに苦しい…
[2481.046] ayunosioyaki0223: www
[2481.046] (S)をぺ: wwwwww
[2481.048] tubugu: 次行こ
[2481.085] towa0916: あっ
[2481.234] あかましまし: 盛り上げ役ね
[2481.273] yuui01: 次のお便りよも！
[2481.291] befehlmc: ごめんって
[2481.343] Mashiro_xwx: じゃあ何のスポーツが好きだったん？
[2481.486] (S)MORIYA_37: 苦しいから次
[2481.608] が_じゅ: それ何回聞いてもおもろい
[2482.255] (S)レだん: 次、、
[2482.422] (S)星空くん: www
[2482.815] (S)pirarucu_0701: まあ出来なくても大丈夫だし
[2482.903] (S)nanasino0131: 左サイドベンチスタメンさん?!
[2483.073] NORI25252: あ
[2483.097] 守護神タナーカ1111世: wwwwww
[2483.301] (S)haamisi: いこ
[2483.306] hirunnkun: 確かに！
[2483.886] mirumiru_h: 立ってろ
[2484.124] 村長の孫の嫁: wwwwwmm
[2484.346] jhonnymorimori: wwwwwwww
[2484.598] (S)r_udhimaru: 切り替えてこー
[2484.804] nico_kk_mp: 椅子の真ん中ホカホカにするな
[2484.882] touhikou_: wwwwwww
[2485.199] (S)ゆきゆた: その話前もきいたな
[2485.731] りんごシャドー: ベンチは大切
[2485.789] ぱんだぁぁぁ: ww
[2485.892] いざゆかん: wwwww
[2486.028] tora25_22: もうやめよう
[2486.058] aisathank: お似合いだね
[2486.266] (S)toumyou_2525: www
[2487.213] (S)b8b8_b: この話おもれえええええええええええええええええええwwwwwwwwwwww
[2487.224] (S)mazirou: 辛辣すぎて草
[2487.389] くろざき: この話やめん？
[2487.420] souta0712likeblue: wwwwwww
[2487.628] (S)misokaio: wwwwww
[2487.843] (S)レだん: ぐるじい
[2487.850] (S)waa39: 何してたんだよ
[2488.041] こらか: wwww
[2488.143] daibarorin: wwwwwwwww
[2488.256] gascoigne1837: マジでかなしいやつ
[2488.373] (S)haamisi: いこ次
[2488.647] (S)ゆーーー_: www
[2489.280] rato_reto: wwwww
[2490.013] kebabutarou: このベンチあったけー
[2490.095] あるみ屋: この話やめね？
[2490.101] towa0916: Www
[2490.176] (S)なつおよ: 次いこうぜー
[2490.288] えりさ_: wwwwwwwwwwww
[2490.343] rigore_napoli: wwww
[2490.404] pasu0517: わかる
[2490.744] rincho22: wwwwww
[2490.807] (S)yukichan2525: 古株w
[2490.958] prpr_friedrice2: wwwww
[2491.411] mugitixya: wwww
[2491.428] (S)ご機嫌なシャチ: ドリンク作ってた？
[2491.814] あかましまし: wwwwww
[2492.016] (S)レだん: wwwwwwwww
[2492.767] n_kome_02: 古株とかあるのかよｗｗｗ
[2492.997] yooyo1515: 誇れないよ
[2493.225] kujirai___: 老害じゃねーか
[2493.397] itoido: wwwwww
[2493.418] touhikou_: ；；
[2493.467] ルロア: それダメやん
[2493.539] 哀れな人の子: 威張るとこちゃう
[2493.983] (S)mari71ks: 古株ｗｗｗ
[2494.197] (S)てぇう: ベンチ温め係
[2494.225] (S)dommbeeee2828: 情けな
[2494.230] sta510pro: 悲しくないの？
[2494.233] いのりさん: それ不名誉だぞ
[2494.427] あきぬこ: ダサいこと言ってね？
[2494.446] tokoivu1125: wwwwwwwwwww
[2494.913] ロクでなし: wwwwwww
[2495.018] pino__2525: なら良し
[2495.063] 夢現: ベンチの権威だもんね
[2495.164] ふうぺん: 次行こ
[2495.242] lastma01: 頑張ったんやろなぁ
[2495.402] 柿ピーですね: ベンチ声上げてー
[2495.457] girubardghq: 温めてるもんね
[2495.598] (S)ichigomilk_252: www
[2495.815] ネコミミカラス: 今日らっだぁが苦しい話しかしない？
[2496.067] 梨一: それ悲しい
[2496.138] navyblue___: うわうざいやつだ
[2496.258] rincho22: 古株www
[2496.289] (S)をぺ: つまり雑魚ってこと？
[2496.314] (S)なつおよ: 古株wwwwww
[2496.476] (S)fuu_maru: 古株www
[2496.486] くろざき: wwww
[2496.695] amqoh_: 何を張り合ってるのやら
[2496.998] shibuya_0830: 悪あがき
[2497.052] tora25_22: 偉くないぞ
[2497.217] (S)レだん: 古株www
[2497.279] kiiroitori: wwwww
[2497.460] mase_hs: 尚更やん
[2497.719] yubaharu: やめろよw
[2497.931] 紗弥0926: わこらだ
[2497.946] natron556: radaoOld
[2498.188] 燐だよ: ベンチスタメンってことか
[2498.717] (S)misokaio: ベンチでいばんな
[2498.855] りょうきち: 成長がないってことね^^
[2499.338] mai_parastica: ただの厄介ベンチじゃん
[2499.579] amcill: ベンチ暖かかったのおまえか
[2499.582] さめちーず: ペンチはみんなそう言うよ
[2499.662] rruwa: サンタっていつまで来るもんなの？(次の話)
[2499.930] kazutoro_desu: ミドルベンチ
[2499.986] mochi_00v: 古株って誇れること…？
[2500.178] jhonnymorimori: 厄介な老害
[2500.416] (S)星空くん: それ無能やん
[2500.507] (S)Haru_no_sinjya: ずっと底辺やん
[2500.652] shinano72: 試合出る気ないやん
[2500.682] tubugu: インキャ
[2500.732] mikan_san: 老害が何言ってんだ
[2500.733] itoido: そんな古株ほこるなｗ
[2500.974] kosuke25252: 実力で座れ
[2501.203] ｻｧｻ: そこwwww
[2501.471] moririnn1103: きついやつやん
[2501.561] k_taronosuke: 恥ずかしくないのか？
[2501.965] (S)kiba_1129: 昔からベンチかよ
[2501.980] (S)ichigomilk_252: やばwww
[2501.988] ちよび: なんかごめん
[2502.030] shion2221: ダッサ
[2502.100] もぐつむり: え、縁の下の力持ちなんだよな？な？
[2502.184] simoke_tu: でもベンチだろ
[2502.277] みかにゃん_: 誇るとこじゃない
[2502.361] YodoRa: ベンチ声出してー
[2502.552] hirunnkun: ベンチの中では上やけど普通に行くとベンチってことか
[2502.585] yuui01: 古株
[2502.828] kuromame0749: 厄介古参
[2502.829] satela_A: 草
[2503.053] (S)かりんとう12: ベンチの古株ってなんだ
[2503.066] 白クマ: 古株ｗｗｗｗｗｗｗ
[2503.112] (S)レだん: 譲れよw
[2503.517] テラン: お局じゃん
[2503.527] wawafu2525: こんにちは！音楽聴きますか？僕はスキマスイッチさんがめちゃくちゃ好きなんですが、周りに共感してくれる友達がいません。(友達がいない訳じゃないぞ決して)らだおは周りに共感されない自分の趣味とか好きな物ありますか？あと、スキマスイッチさんのアニソンオススメですので是非聞いてみてください。
[2504.035] りんごシャドー: 暖かくチームメイトを迎えてあげな
[2504.152] sorakitune22: 要らないプライド
[2504.234] (S)にゃなと: 譲れよｗ
[2504.424] NORI25252: ただの老害で草
[2504.603] (S)zakry_39: 尚更ダサい
[2504.657] (S)4maten: あっそ
[2504.751] mirumiru_h: 何のプライドだよ
[2505.133] ruu_ha: 古株なのに...
[2505.640] air_118: ベンチの中でイキんなwww
[2505.676] (S)初菓: 譲るものもないだろ
[2506.246] (S)oli_liriri: ださ
[2506.485] harusame55: 不名誉すぎるwww
[2506.723] メープル羊: ベンチ株って
[2506.984] tomatan773: 先輩アピする補欠じゃん
[2507.252] befehlmc: ベンチ古参
[2507.373] ミラカラ: そのポジション何するの？
[2507.865] ふむふる: 誇るなよ
[2508.408] あみのさん: 万年ベンチ
