[29.608] kurayanmx5: ちす
[15124.682] えっっっくす: えっっっくす gifted a Tier 1 sub to はるるちゃん! They have given 69 Gift Subs in the channel! 
[15142.458] (S)はるるちゃん: @えっっっくすさん、サブスクギフトをありがとう！
[15157.550] (S)高宮ゆの: gg wp
[15165.754] (S)高宮ゆの: まだだった！
[15179.333] mdrunner_: 朝までいくべ
[15180.881] えっっっくす: こーれ無限OT編です
[15218.168] mdrunner_: あ
[15221.105] (S)yaseig777: わぁ！？
[15230.347] えっっっくす: のおおおおおお
[15233.050] (S)yaseig777: いやぁGG
[15235.093] (S)高宮ゆの: くぁーーー
[15235.353] えっっっくす: 泣
[15237.395] (S)高宮ゆの: GG!
[15241.354] (S)bucca_boo: gg
[15269.201] mdrunner_: レートたっか
[15274.386] (S)yaseig777: お疲れ様ぺこ
[15324.389] kai_yukihiko: お疲れす
[15331.976] mdrunner_: おつ
[15333.144] (S)高宮ゆの: お疲れ様でした!
[15335.410] (S)ygarshy: お疲れさまでした！広島気を付けー
[15335.560] えっっっくす: お疲れ様でした！
[15336.351] (S)yaseig777: おつ〜！
