[30.205] okaka_iq200: おいす
[4484.247] (S)yoshida_hayo: またシュルトｗ
[4486.108] (S)hamachi_x_kanpachi: 中K笑うｗ
[4486.452] (S)ZettonMS: 機能してるｗ
[4486.454] ryunekosuke: せいせい
[4487.099] shellfish55: 試してるねぇ
[4491.102] HinaConoKiyo: 今来たんだけど梅ちゃんどうかしたの？
[4491.191] (S)のまい: せい
[4493.287] debuneko55: 感謝の前蹴り1万回
[4497.047] (S)のまい: せいせい
[4497.529] avareinu: 爪先つええな
[4497.680] 千葉県おっさん: 見つけたけど見栄えわるっ
[4498.450] mentp: 何なのその前蹴り🦵
[4498.859] ｾｲ: せいせいせい
[4499.873] Sonikil: せいせいせいせいせい
[4506.686] TEIKETTO: つま先鍛えてる最中
[4510.422] (S)umetyaahan: やりすぎｗ
[4511.569] flytaka: ｗｗｗｗ
[4512.138] perfecttakahashi: 前蹴り強いのかw
[4513.433] 96473785: この塩はたしかにシュルト
[4515.023] muck_339: 前蹴りエディションだったか……
[4515.677] tabibitox: インパクト・・・
[4517.776] HinaConoKiyo: そういうことか、良かった
[4519.596] (S)メロンパンを極めし者: 足を擦る！
[4522.234] une3333: なんかこれ4の殺意のとき見たぞw
[4524.259] (S)yoshida_hayo: ウメちゃんそういうの擦るの大好きだよねｗｗ
[4526.894] royrat8325: 前蹴りから何が繋がるんだ
[4526.905] jojojo3311: リターンなくねw
[4528.370] Roze1019: 相性がいいようだ
[4528.582] (S)豚ああ: say say
[4528.657] ka_z_ha: 中ｋ無駄に威力ありそうなモーションなんよな
[4530.026] akichi018: 感謝の中K
[4531.708] keikohiro: スト6嫌いな動き
[4535.301] HinaConoKiyo: ときどの肘と同義か
[4535.996] kiton_taichi: ときどユリアンの肘を思い出す
[4537.683] (S)marvolo6: ｾｲｾｲ
[4540.687] Sonikil: せいふんごうはどう
[4542.030] avareinu: ウメちゃんって本当に強いのか確かめるために擦り倒すよね、そこがすき
[4545.222] siiidmo: カニゴウキ
[4545.954] ~MISSING_COMMENTER_INFO~: ありがとうスティックでもやってみるよ
[4549.264] TEIKETTO: なげぇな
[4549.990] (S)umetyaahan: ｗｗ
[4551.326] カノッサの屈辱: セイセイ
[4552.048] 000105: 90年代の格ゲー
[4558.533] flytaka: インパクト絶対打たないチュン
[4558.613] muck_339: 思ったよりDゲージ削れるのかな前蹴り
[4559.640] potocki1810: 波動とせいの二択ｗ
[4560.975] 吉田じんぎ: なんか効いてる
[4561.056] ミジンコ隊長: セイ!
[4562.133] Jam10505: セイ！セイ！セイ！豪波動！
[4562.223] 96473785: スト6舐めたろうになってしまう
[4563.507] (S)のまい: ケンの立ち中kといい、牽制技振るの上手いじゃんそれみたいなもんじゃね
[4564.123] HinaConoKiyo: 擦りすぎて舐めプにみてる
[4564.390] debuneko55: 絶対相手の春麗さん、終わった後にトレモで中K調べるね
[4566.382] merkava_mk2: まぁ試してるやとは思うw
[4566.592] 千葉県おっさん: 素振りは基本
[4571.601] Roze1019: ｗｗｗ
[4572.701] akichi018: 潰れるｗ
[4573.222] (S)メロンパンを極めし者: はざん せい！
[4575.012] (S)umetyaahan: ルークの中pくらい振ってる
[4575.723] tabibitox: やっとうってきたｗ
[4577.410] asong9999: ？？？？
[4580.568] Jam10505: セイハラｗ
[4584.919] shellfish55: 試してるだけだから！
[4585.524] (S)ZettonMS: はざんもつぶせるのか
[4585.563] (S)のまい: せいはらわろた
[4587.148] flytaka: ｗｗｗｗｗ
[4590.511] nyata1234: 急にセイセイおじさんになった
[4594.793] 吉田じんぎ: これなのか？
[4595.461] ミジンコ隊長: セイッ!
[4598.747] jojojo3311: ハザンはなんでもつぶれない？
[4598.851] 96473785: ずるいぞ
[4600.132] sweet_19: これっす？
[4604.701] 黒猫くん: 本人は真面目にやっとんねんw
[4606.143] surop666: ｗｗｗｗ
[4607.182] mm2351: ｗ
[4607.566] muck_339: リュウの旋風脚くらい打ち得だったりするのかもしかして
[4608.021] Roze1019: 強いｗ
[4608.776] sweet_19: ｗｗｗｗｗ
[4609.506] HinaConoKiyo: せいせいごうはどうおじさんじゃん
[4610.063] アヘ丸: w
[4610.165] (S)hamachi_x_kanpachi: キレそうｗ
[4610.420] nakamozukun: うっざｗ
[4610.787] debuneko55: 酷い
[4611.857] kimi_3_: セイセイ朧
[4612.250] Papapadad: こーれはキレるｗ
[4613.052] tabibitox: セイセイおじさん
[4613.509] suzan_star: 長渕剛に見えてきた
[4613.615] perfecttakahashi: 酷すぎるwww
[4615.101] sweet_19: 最後おぼろなのポイント高い
[4615.367] KPSyuuki0424: なんじゃこりゃぁ！
[4616.506] マンゴスチン: うざすぎる
[4617.986] (S)のまい: せいおじ
[4618.074] kiton_taichi: 波動とつま先、少しの斬空、ひとつまみの朧
[4618.186] dalhi: スゥえ〜い！
[4619.127] avareinu: これはキレる
[4620.376] カノッサの屈辱: セイセイ〜w
[4620.411] ryunekosuke: これつよいなーw
[4621.262] (S)めーーーぷる: ShowLove100
[4621.620] ka_z_ha: セイは差し替え式微意の
[4622.243] (S)daisan777: セイセイ強い
[4622.783] hawawawawawa: グッドマナー
[4622.995] une3333: 本人はいたって真面目です
[4623.862] akichi018: マリーザの中Kより早い気がする
[4623.914] TEIKETTO: 一瞬4撃。
[4624.349] (S)marvolo6: セイセイコマ投げおじさん
[4624.923] kitkit3: ｗ
[4625.130] gondawaragon: セイセイぬーん
[4625.217] (S)ZettonMS: パリィをするように調教
[4625.283] KPSyuuki0424: 対戦者ブチギレ
[4625.917] chocolat1234: 😅ｗ
[4625.992] (S)のまい: せいと朧おじさん
[4626.486] mitsuji: ルーク、お前まさかにここにいたのか？
[4626.522] 千葉県おっさん: セイ！セイ！セイ！
[4626.604] 吉田じんぎ: SEY
[4627.278] (S)メロンパンを極めし者: せいせいときどき朧
[4627.908] ぜんでん坂人生: いつも何飲んでるの？？
[4629.911] gokukeshi: 清々するね
[4633.031] mart_00_: ぬーん
[4633.419] perfecttakahashi: 前蹴り強いの？
[4633.573] KPSyuuki0424: セイセイ ぬーん 
[4633.643] Youhei6251: 一時期のハードゲイばりのセイセイセイ
[4636.622] TEIKETTO: say yes
[4638.263] (S)hamachi_x_kanpachi: HGｗ
[4641.761] royrat8325: 東大式感ある
[4645.608] mentp: 腹立つクソ技〜
[4646.482] (S)nyctomek: Seiseisei
[4649.771] shellfish55: 殺意みたいな動きする豪鬼だな
[4655.482] ツィッギー: 豪鬼の中Kは三日月蹴りっぽいよね こんにちは
[4673.922] kiton_taichi: 擦るつま先
[4676.009] HinaConoKiyo: 相手、え？？？てなりそう
[4677.916] 96473785: セイッ
[4678.616] ka_z_ha: うーんこの運び
[4683.617] dalhi: わろてまうw
[4684.453] (S)のまい: えいたのキックには負けるでしょ
[4688.177] (S)メロンパンを極めし者: せいがクセになった？
[4694.976] akichi018: ジャスパしても距離的になんもなさそう
[4697.011] gondawaragon: ケンも俺を捨ててやってる事がセイなのか？って言ってるよ
[4697.627] terumaJP: 前中Kって何かつながるの?
[4699.132] suzan_star: 豪鬼足臭そうなのが余計エグい
[4709.850] HinaConoKiyo: サウジアラビアに轟くセイセイが聴きたい
[4710.346] akichi018: へっる
[4711.029] (S)毒見ユッケ: karubisGyo
[4711.041] (S)umetyaahan: へったぁ
[4713.254] カノッサの屈辱: すーごい
[4714.200] debuneko55: 糞ムーブオンパレードｗ
[4715.060] muck_339: でもさっきより心なしか相手をBOさせやすくなってる気がするのでやっぱり強いのか……？
[4721.541] (S)yoshida_hayo: ｾｲｾｲｾｲ su-
[4728.369] HinaConoKiyo: これ強かったら嫌なんだけどw
[4730.785] 吉田じんぎ: カウンターで7あるけど大体届かん
[4735.043] 96473785: もう少し見てみよう
[4735.079] ajipon_00: 前中kパニカンなら大足かSA2とか
[4735.912] 日本語かな: 毎日動き変えてくの素晴らしい
[4740.135] sweet_19: セイッ
[4740.744] Aroma8854: やっとsayの力に気づきましたか
[4743.358] カブトシロ: こんばんは。
[4746.684] prisira: 先端気味は無理か
[4746.703] une3333: このゲーム通常技を当てたりガードさせたりするだけで正義ですからねー
[4747.084] akichi018: 絶妙な距離なせいでパリィとかすると歩いて来そうなんだよな
[4748.900] kiton_taichi: sa1なら届いたのかな
[4749.916] perfecttakahashi: 前蹴りガードしたらDゲージ0.5ぐらい削れるもんね
[4750.100] muck_339: 豪波動ならいけたのかもしれない
[4752.595] totomaru_chan: 今日はセイの日ですかw
[4756.678] tak1on_: 豪鬼の対戦履歴5割豪鬼だからよっと弱くしてほしいｗ
[4762.186] (S)メロンパンを極めし者: せいの波動
[4762.390] 000105: 入りそう
[4764.397] ツィッギー: 豪鬼は草履はどこに置いてきちゃったんだろうね
[4765.409] イエール: せいっ
[4772.374] 96473785: ダラスでセイセイやって勝ったら笑う
[4773.702] niemalsaufgeben: ゴウキの練度と他キャラの練度がまだ釣り合ってない時期よ
[4774.000] ka_z_ha: 豪波動って１０ｆじゃないの
[4787.042] potocki1810: せいめっさつごうはどう繋がったら強そうｗ
[4799.297] terumaJP: Dゲージ削り値高いのいいね
[4804.587] une3333: 豪鬼はそろそろ元の巣へ帰っていきそう
[4812.497] 日本語かな: 波動は12、14、16の順だったような
[4814.828] prisira: 豪鬼はちょっとずつ減っていくとは思う
[4820.596] (S)johndoe6523rp: リュウも中Ｋパニカンから真空いけるよな
[4826.635] (S)bonanza_death: bonanza_death subscribed with Prime. They've subscribed for 4 months! 
[4826.907] avareinu: 豪鬼は合わないと思った人そこそこ居そう
[4839.006] mentp: ザンギの立ち中Kとどっちがアカンのか
[4840.958] perfecttakahashi: 豪鬼強いんだけど周りみんな豪鬼使ってるのが欠点すぎるんだよな
[4841.410] muck_339: もうバーンアウトしちゃった
[4842.307] Youhei6251: このセイセイセイ豪鬼は誰も試してなさそう
[4843.243] prisira: ゼロスト一生豪鬼に苦しんでるっぽいしなｗ
[4843.387] debuneko55: 今は胴着系の人中心にこぞってお試し期間だしね。これからどれだけ残るか
[4845.248] shellfish55: 思ったより強くないからね
[4847.789] kiton_taichi: ケンには一文字が、豪鬼にはセイがある
[4848.164] sweet_19: おーりゃ
[4848.334] akichi018: ｗ
[4848.383] カノッサの屈辱: www
[4849.291] toshi4832: ww
[4850.370] 96473785: ゴッドミドル
[4852.188] 吉田じんぎ: おりゃ！
[4853.390] on46: w
[4854.640] terumaJP: ひどいwww
[4855.425] まるいとうふ: ガード上手くないと溶けちゃう
[4855.440] 千葉県おっさん: すげえノックバック
[4855.452] royrat8325: これすっごい
[4855.991] (S)メロンパンを極めし者: 金剛でおしこむ！
[4857.220] takuboll: オリャハラ
[4860.098] ｾｲ: ね～
[4861.706] Blue_pacman_007: damn
[4862.477] niemalsaufgeben: あ
[4863.122] muck_339: ありゃ
[4863.338] TEIKETTO: w
[4864.064] ka_z_ha: ぼったくらー
[4865.355] クラウド9: www
[4866.268] (S)marvolo6: はいらないね～
[4868.485] scottiever07: 前もやったねぇ
[4868.707] ましゅダヨ: ねぇー
[4869.613] (S)メロンパンを極めし者: umeYay
[4870.417] nakamozukun: セイセイオーリャ
[4871.743] akichi018: うま
[4871.985] (S)umetyaahan: ふぅ
[4872.637] 千葉県おっさん: オリコン失敗
[4872.933] terumaJP: おー
[4873.674] avareinu: 狙ってたあ
[4873.740] xiamukawaii: wwwww
[4875.242] ionnech: 一転劣勢だった
[4875.383] (S)chromavalue: ハショハラの次はオリャハラ
[4875.664] Youhei6251: マキバオーみたいな
[4876.129] tanaka_cyclone: ふぅ
[4876.393] 96473785: さすが
[4876.440] keigunnoikkaku: あらま
[4876.508] (S)potesaraudon: みてたー
[4876.604] ましゅダヨ: ふぅ
[4877.419] たあぼ0126: インパクト投げうま〜い
[4882.336] perfecttakahashi: やーーーる
[4885.243] niemalsaufgeben: ぼったくりよく投げた
[4887.528] ましゅダヨ: りゅうきちかとおもた
[4896.419] ましゅダヨ: セイ！
[4898.484] muck_339: 殺意よりもセイの波動に目覚めてる豪鬼だ
[4898.792] tabibitox: あの距離は中足当たるんか
[4899.888] 000105: 奇声獣 セイの格ゲー
[4901.713] VesperArcade: 228 raiders from VesperArcade have joined! 
[4916.540] ましゅダヨ: レイドありがとう〜！
[4917.304] akichi018: 中足も潰します
[4921.637] (S)hamachi_x_kanpachi: 歩いてセイ！
[4924.380] (S)メロンパンを極めし者: せいが効いている？
[4930.295] avareinu: 隙間に
[4931.319] (S)potesaraudon: おじちぇっく
[4935.359] Youhei6251: トドメは隙間
[4936.297] YoShockwave: vesperServed
[4936.974] kiton_taichi: 判定のデカい中足よりよっぽど使いやすそう
[4938.373] ツィッギー: 豪鬼もジェイミーみたいにおにぎりパクパク出来たらいいのにね
[4939.424] ryunekosuke: せいきいてるなー
[4939.469] (S)hamachi_x_kanpachi: セイのおかげで朧がきくｗ
[4940.842] 96473785: セイセイ
[4941.459] soy315: セイの隙間に
[4942.371] nakamozukun: 相手困ってるのがウケるｗ
[4943.103] terumaJP: せい強いな
[4943.442] (S)chromavalue: セイで前に歩けるようになってるのおもろい
[4946.031] 吉田じんぎ: ケンより技多くて楽しいなー
[4949.486] (S)kanvf: こんばんは。たぶん知っておいた方がいい知識だと思うんですけど、斬空地上ヒット後は表示されるフレームに+7までの技が連続するようです。おそらくですが着キャン可能なのかな？と。
[4950.520] Aroma8854: DaigoTheBeaSay
[4951.460] ましゅダヨ: やっぱこれだね〜
[4953.197] (S)drunkar621: 答え出ちゃったか⒲
[4955.478] chanmipoin: dゲージ地味に削ってる
[4955.723] muck_339: さっきよりも露骨に相手を潰せてるのだからネタっぽく見えてやっぱり強い……
[4957.902] 千葉県おっさん: おっ武器商人きた
[4960.292] Youhei6251: いやセイでしょ〜〜〜！！
[4961.063] mentp: シーズンセイセイ
[4976.931] keigunnoikkaku: 🍙🍘🍙🍘🍙
[4977.318] avareinu: すごい武器
[4979.243] 96473785: 今日からランクマでセイセイ豪鬼大量発生します
[4992.178] (S)hamachi_x_kanpachi: 新武器入荷した
[4992.489] mm2351: ｗ
[4994.513] fbhjkl: WutFace
[4994.587] tsubame5204: umeYay
[4995.125] (S)ponponguripon: せいせいっ
[4995.202] takuboll: ほんと？
[4995.342] sweet_19: 波動とセイ、ときどきオーリャ
[4995.680] クラウド9: wwwww
[4998.230] chocolat1234: へ～🤔
[4998.969] akichi018: 今日からセイセイ豪鬼がいっぱい増えます
[5000.470] ｾｲ: そうなんだ
[5001.940] (S)umetyaahan: ほんとなの？？？
[5003.357] カノッサの屈辱: 空前のセイブーム
[5003.577] ましゅダヨ: セイ！セイセイセイ！
[5004.096] (S)marvolo6: セイセイが流行り
[5006.263] 泣き虫サクラ: 流行のヘヤー
[5006.640] gularain: 局地的ではないのか？？？
[5007.137] chachachakoma: 東京東京
[5007.442] (S)メロンパンを極めし者: SAYSAY村 入村
[5007.763] nyata1234: 横浜では流行ってない！
[5007.801] avareinu: ウメちゃんしかやってるのみないけど今日から流行る
[5009.103] 吉田じんぎ: 最先端
[5009.394] kimi_3_: SEI豪鬼
[5010.450] toro0524: 都内済みおじさん
[5010.697] HinaConoKiyo: ハイカラさんやで
[5012.580] たあぼ0126: 東京ではセイが流行ってる
[5015.107] 000105: 波動セイのセット ハッピーセイット
[5017.285] Youhei6251: セイセイセイからの波動、波動からのセイセイセイ
[5017.510] mochirichan: 毎日発見があっておもろいキャラだ
[5021.267] caltropman: 最先端です
[5024.053] osarusan26: マジでウメさんやると流行るからねw
[5024.283] (M)gameinntwitch: 斬空の隙を考慮したフレーム表示になるけど、隙の後半は通常技でキャンセル可能って事か
[5024.311] じゅうべえくん: 韓国はガイルヘアね
[5031.321] 96473785: セイセイしすぎてしぬとかありそう
[5033.039] イエール: これ、最先端！ﾊﾞﾝｯ
[5033.373] (S)RFKage: 江戸前コンボ
[5036.306] nyata1234: 東京はみんなこれで歩いてるらしい
[5036.954] ぎあ_ゲーム配信: 渋谷で足先見せ合ってる見たなぁ
[5041.886] hal0302: ナウなヤングにバカウケ
[5046.080] ましゅダヨ: ガイルが韓流ヘアって思ったらすごい嫌たすけて
[5055.747] おつかひ: 4のBGMなつい
[5070.892] イエール: ガイルのマッシュウルフ
[5083.946] にっくばじーな: 初見です。ラーメンの早食い動画を見て来ました。好きなカップラーメンはなんですか？
[5085.106] イエール: umeYay
[5085.197] akichi018: あいや
[5085.650] grayteru: 今日もセイが出ますね
[5086.533] sweet_19: OH・・
[5086.909] (S)ponponguripon: くらいなっ
[5089.787] perfecttakahashi: おお
[5090.218] 泣き虫サクラ: kanvf: こんばんは。たぶん知っておいた方がいい知識だと思うんですけど、斬空地上ヒット後は表示されるフレームに+7までの技が連続するようです。おそらくですが着キャン可能なのかな？と。
[5092.167] tabibitox: 無敵技の声の方が先だったｗ
[5093.643] retra39: かなしみ
[5096.210] muck_339: かなしい
[5096.421] ryunekosuke: 無敵の声が先にw
[5097.164] ましゅダヨ: これが話題のストリートってやつか……
[5101.894] 96473785: セイセイの塩梅が難しいな
[5114.787] akichi018: 着キャンコメもう見てたよ
[5121.376] hamham9999: ウメちゃん・・ケンに帰ってきて・・・
[5132.447] suzan_star: ふんふんセイ！ふんふんセイ！
[5138.229] pablow_jp: 豪鬼のパリィポーズがツンドラに見える
[5138.277] (S)potesaraudon: 何がおきたんや
[5145.817] (S)chromavalue: セイで画面を押す漢
[5155.291] muck_339: エド相手だとセイしづらいのかな
[5168.824] _とね_: EDきつそうやね
[5177.212] jigokunonekomatu: 名古屋にナイトくん来るか？
[5185.704] (S)ponponguripon: ぎゃー
[5189.791] (S)メロンパンを極めし者: あそこからリーサルが？
[5196.778] ましゅダヨ: 最近モコモコなおじさんが流行ってるってきいたよ
[5201.970] refrigerardo: mantamShunGokuSatsu
[5203.288] lun__01: ナイト君いまいくつだ？
[5219.224] ~MISSING_COMMENTER_INFO~: KNIGHTって名前めっちゃかっこいいパクっていいかな
[5220.134] sashimisyouu: 暑いのにもこもこ流行るんだ
[5232.867] niemalsaufgeben: ビーストカップ出てたやつは強い
[5235.575] 96473785: 内藤くんとかなのかな
[5239.895] ましゅダヨ: 上半身は裸らしい
[5242.421] gularain: 実践でw
[5244.798] (S)hamachi_x_kanpachi: 落ちるんだ
[5246.342] (S)potesaraudon: なるほどねえ
[5247.134] soy315: なるほどねー
[5247.250] ましゅダヨ: 理解★
[5248.145] Aroma8854: もしかしてsayで間合い離して膝置くキャラの可能性ありますか?
[5248.697] (S)chromavalue: めちゃ対空うまかった
[5249.120] fourper212: それだけとんでたらそりゃ
[5251.210] mktokidoki: 『セイセイセイ、セイセイセイ、さっさと引っ越し！しばくぞ！』昔こんなおばさんいたよね
[5255.307] toro0524: 若者は体力あってええのお
[5256.626] 17_richy_23: Nerf Ed
[5257.145] suenorr: 発生が遅いのがいい感じなエド君
[5257.656] nanashidur1: 斬空破れたり
[5264.649] FirstBlood_GG: まだBettyちゃんだ
[5266.512] 日本語かな: 物分かりのいい重チーになってた
[5267.141] BabyBaby7313: エドの対空無敵みっちり詰まってる
[5268.774] akichi018: ベティちゃん
[5270.596] きゃすさん: 本日3回目
[5271.806] mart_00_: 再戦
[5276.471] ましゅダヨ: べてぃちゃん！
[5280.272] (S)メロンパンを極めし者: せいせいせい
[5285.102] 96473785: セイセイおじさんに面くらいそう
[5285.795] akichi018: セイハラが
[5288.940] muck_339: 弾とっばしてセイまた弾を飛ばしてセイ
[5292.652] lun__01: おじ狩りの人だ
[5294.094] necomuraneco: オジハントきたわね
[5299.709] ペプシ男: おやじ狩りの人
[5304.789] (S)ponponguripon: 狩られないで
[5308.467] _とね_: ベティさんすっかり強豪だよな
[5312.015] (S)potesaraudon: おじスレイヤー
[5317.760] ましゅダヨ: リアルはしゅんごい可愛い
[5321.624] nail06k: つええ つええよ
[5323.222] torochansan: べてぃちゃんpadだけど上手いなぁ
[5333.628] jigokunonekomatu: ピンクの死神a.k.aチベットスナギツネ女
[5342.176] nameless_774: 金剛スタート
[5349.467] ましゅダヨ: ぱーんち
[5353.644] sashimisyouu: マゴさんとはまた違った戦い方だ
[5357.852] もきち555: こんうめちゃん
[5363.767] sweet_19: せい！
[5364.775] ヅマ: べてぃさんて女性NO1??
[5366.999] yasubewe: ｾｲｾｲ
[5367.640] nameless_774: セイ！
[5370.012] NoNameFGC: www
[5370.844] ましゅダヨ: セイセイ！
[5371.954] (S)potesaraudon: 東京のはやりを押し付けるスタイル
[5372.409] mochirichan: ベティさんこのレベルで戦えるのまじで尊敬だ
[5374.088] 千葉県おっさん: バレバレだった
[5377.843] mentp: 確かにバレバレだわw
[5382.858] diego_ohunabara: umeYay
[5383.066] _とね_: セイ！うらぁ！
[5390.109] ましゅダヨ: げんこつだい！
[5390.304] (M)Moobot: Twitch Prime は30日ごとの更新が必要です。お忘れなく！
[5391.778] jigokunonekomatu: 猫社長じゃね？さすがに
[5394.968] sweet_19: sakoKkei
[5397.406] (S)RFKage: フォー―！！！
[5399.146] 軽く捻るか: おおお
[5399.660] gorogorogorn: まだそこまでじゃない
[5404.789] ましゅダヨ: 今のめちゃ減った？
[5409.005] (S)メロンパンを極めし者: umeWins
[5409.078] 楚々: デスサイズじゃん
[5409.110] 96473785: セイセイなんなのって言ってると思う
[5412.502] tabibitox: セイセイセイ
[5413.940] outsidelegsUME: おもちまるちゃんが頭ひとつぬけてるんではないかの
[5448.166] おやつハンター: つま先ツンツンおじさん
[5453.775] (S)potesaraudon: ｗｗ
[5457.322] akichi018: セイでゲージ削るの楽しそう
[5464.747] (S)メロンパンを極めし者: 絶妙な距離のせい
[5467.774] たあぼ0126: もうセイおじじゃん
[5468.159] 96473785: セイセイしすぎってのがあるかもねー
[5478.359] 千葉県おっさん: つんつんおじさん
[5481.659] febvfea: ジュリって強い？
[5496.041] (S)chromavalue: セイだけで画面端
[5496.479] Youhei6251: 1億取れるキャラだから強いはず
[5497.134] nameless_774: 前に歩いて、セイ！
[5514.577] lun__01: セイおじさん「セイ」
[5516.609] (S)メロンパンを極めし者: せいを弾みたいに使う
[5517.032] doldono: メナがジュリ5強って言ってた
[5531.540] 蝉時雨: ジュリは充分強いで〜
[5543.035] worldwid3mari: セイ
[5544.825] une3333: ジュリは目立った弱体化ないですからねー、でも弾は相変わらず辛そう
[5546.379] 日本語かな: セイおじ
[5546.590] Youhei6251: 速い歩きからロングリーチのセイセイを押し付けるキャラだったかぁ〜〜
[5547.411] avareinu: リーサルだとセイの間合いに入りづらくなってるの草
[5560.978] 千葉県おっさん: ジュリはケンと同じくらいの位置にいるイメージ
[5561.994] muck_339: 地上戦だいたいセイで何とかなってそうなの笑っちゃう
[5566.518] (S)ponponguripon: せいせい！
[5572.255] moowwzz: ジュリにキャラ替えするプロ居ないな
[5576.540] 蝉時雨: なんかウメちゃんカゲの時もあの中K多用してた様な気がする
[5581.971] akichi018: 瞬獄モード
[5584.631] 吉田じんぎ: 瞬獄殺チャンス
[5585.582] (S)メロンパンを極めし者: 足の裏に滅って書いてありそう
[5586.321] 日本語かな: く、くる！
[5596.387] une3333: 弾キャラが多いであろう現環境でジュリがいけるかどうかは分からないですな
[5597.026] gularain: うまあ
[5599.711] 千葉県おっさん: こない
[5600.350] 日本語かな: ノーゲージ…
[5602.262] nameless_774: ｗｗｗ
[5604.617] sweet_19: ふふ
[5604.734] yut7xot8: ｗｗｗｗｗ
[5605.244] (S)メロンパンを極めし者: ｗｗ
[5605.657] 日本語かな: w
[5605.690] chachachakoma: ウメちゃんごめんごめん
[5606.108] pondenring0930: セイセイ
[5606.386] マジでラブ恋愛中: ｗｗ
[5607.078] gularain: W
[5607.531] chocolat1234: ＾＾
[5607.562] kuniyoshi8: ｗｗｗｗｗｗｗｗ
[5607.997] sweet_19: nemohand199999
[5608.353] (S)ponponguripon: ハントされなくてよかった
[5608.437] suzan_star: ねー
[5608.898] nameless_774: 持っとくだけで強い
[5609.332] TarTarsource_: ｗｗｗ
[5610.010] NoNameFGC: wwwwwwww
[5610.238] sweet_19: nemohand1SOS
[5610.426] muck_339: あっ天敵
[5611.399] クラウド9: きゃわわ
[5611.561] dalhi: この1試合で36セイ打ってるよ
[5612.456] kiton_taichi: 当てにいく技、決まったな
[5612.458] lun__01: やりたいだけなんだよなあ
[5613.089] smile9104: ベティちゃんありがとー
[5613.836] tabibitox: 出すふりして出さない方が強いまである
[5614.432] (S)メロンパンを極めし者: ザンギさん！
[5614.591] 仙ニーン: そうだよー
[5615.070] aruch_22: ほんとは出したいくせに
[5615.108] gorogorogorn: 俺は良いよ？
[5616.327] akichi018: 怖がらせといての
[5617.785] ぜんでん坂人生: かわいい
[5618.902] keigunnoikkaku: セイセイは勝つ
[5619.214] nameless_774: おじ
[5620.029] 084bean: ニコニコ
[5620.546] syamunuko: 笑とるで
[5620.661] FirstBlood_GG: ザンギおじ！
[5622.989] sashimisyouu: ザンギ戦めちゃくちゃ楽しそうですき
[5623.309] necomuraneco: におわせたねぇ
[5624.149] diego_ohunabara: umeYay
[5624.731] ましゅダヨ: そうだねー？？？(   ◜ω◝ )
[5625.947] あぱれる君: 飛びたいでしょ～？
[5627.088] hal0302: 別に瞬獄殺を出さなくても構わんのだろう？
[5628.651] yut7xot8: ベディ絶望中
[5629.235] (S)chromavalue: ベティちゃんまた頭抱えてておもろい
[5631.769] sweet_19: セイ・ナラバ
[5632.682] muck_339: まさかセイならザンギにもいける……？
[5633.186] ミジンコ隊長: セイセイセイ
[5633.193] 96473785: ザンギのゴッドミドルのがつえーかなさすがに
[5633.421] kiton_taichi: ザンギにセイは通用するのか？
[5634.969] ましゅダヨ: セイならば！
[5636.006] 日本語かな: セイならば、あるいは？
[5636.025] (S)ponponguripon: 体調悪そう
[5636.309] まごっと7274: 君は瞬獄殺を出してもいいし出さなくてもいい
[5637.043] (S)メロンパンを極めし者: ｗｗ
[5637.306] chachachakoma: ベティさんｗ
[5641.845] tabibitox: 相手のセイの方が強そう
[5642.619] 吉田じんぎ: いけるんかおめぇ！
[5643.700] kiton_taichi: キター！
[5645.319] pondenring0930: NotLikeThis
[5645.341] mentp: どっちの中Kが強いんだ
[5646.345] (S)yoshida_hayo: 効いてるｗｗ
[5648.171] 蝉時雨: 相手のセイも強いよ
[5649.574] (S)chromavalue: セイを信じた漢
[5649.914] muck_339: ザンギにまでセイが通用するならもう無敵でしょ豪鬼
[5651.733] toro0524: 長渕豪鬼
[5652.225] hal0302: びっくりするくらいザンギ環境
[5654.863] soy315: やれるのか？
[5656.553] jigokunonekomatu: ピンクレディー
[5658.035] tanaka_cyclone: 我、ｾｲを極めし者
[5661.554] osarusan26: 今まではザンギににっこりされても強がっちゃって～って思ってたけど今季はガチで恐怖を感じるw
[5661.683] 銀廻宗創始挙天和尚: 豪鬼って普通に生きてる人間なんですか？
[5663.206] gorogorogorn: おじさんのセイ食らっちゃった
[5664.723] 楚々: 逆になんで豪鬼が地上戦でおザンギに苦しまなきゃいけんのや
[5665.939] syatanex: セイの裏技
[5668.196] _とね_: 通常技つええ～
[5668.585] 157655: 弾セイ豪鬼が覇権を目指す
[5671.859] oasis______: say it
[5671.894] (S)ponponguripon: 前までこんがりザンギしか会わなかったのに
[5673.009] akichi018: ザンギだからパリィ慣れしてる
[5674.027] (S)新ころりん: セイセイ
[5676.868] ミジンコ隊長: セイながーい
[5677.480] hal0302: おにぎり食うし一応人間だよ、たまに鬼とかになるけど
[5679.338] 蝉時雨: チョップでありえない減ってる件について
[5681.163] pondenring0930: セイチェック
[5681.508] j_zima: say せーい！
[5681.558] (S)メロンパンを極めし者: 残った
[5681.674] (S)すけりょー1011: せい最強！
[5684.094] 日本語かな: 11000でた
[5685.331] sweet_19: せい
[5686.370] soy315: せい！
[5686.587] (S)drunkar621: キャラランクに影響のあるセイ！
[5687.695] あぱれる君: ｾｲ！
[5687.920] nyata1234: リーサル警察です
[5688.702] あさご: セイつっよ
[5688.717] chachachakoma: せいせいせい
