[13.129] 騙すカス鋼: にょっす
[3522.285] verity225: 衣装
[3522.654] choran_nao: 假屋崎さんは微妙やん
[3522.654] terry_man630: 新体操
[3522.812] naina717: 同時通訳とか
[3523.203] nakanohito_22: カーリングは？
[3523.609] zoeyan: それはタブーやでＷ
[3524.472] (S)moppu_gake: まずい
[3525.161] Qtr1214: どうだろ
[3525.345] もきち555: 回収ネキありがとー
[3526.891] pupurasu: こんまり？
[3527.109] hairi0610: 少女漫画
[3528.187] kaban1192: ひろゆきｗ
[3528.356] シャンウー: 間違いなく、女性の方どうぶつの森 上手いよ
[3529.121] yayayujin: 編み物男も上手い人いるしな
[3529.427] シケモクスッパマン: まあなあ
[3529.920] sagatdeganbaru: 保育士
[3532.449] kamiyama_t: でも仕事だと男多くない？
[3532.581] のうみそきんにくん: 全一は女性とかは普通にある
[3532.870] ジェーワイパーク: コールセンター大会は常に女性一位
[3534.009] syouyuireppa: バレエ?
[3534.163] balthazar000: 色々とアブナイ領域に
[3535.477] depu: まあソプラノ歌手とかは身体的に
[3535.752] sharks_up: 競争になるとね
[3536.099] tabibitox: 他者との競争があるモノは男優位になるんだと思うで
[3537.208] verity225: 服飾
[3539.208] urtoy8: 禁忌に触れてて草
[3539.307] anmokunouchi: 競技性はほしいね
[3541.234] vungo_mr: 男は20人に1人が色覚異常もってるし
[3541.431] ましゅダヨ: 印象で言うのは多分あかん
[3541.956] n58k: 編み物とか？ガーデニングとか。
[3544.184] シケモクスッパマン: それはそう
[3546.133] terry_man630: シンクロ
[3547.350] atsushi_kishi: 電話対応
[3552.464] zoeyan: 競争自体が男が好むから
[3553.201] Qtr1214: 闘争なんだよね
[3555.216] noelel_l: 無い！
[3555.282] ミジンコ隊長: おんな 
[3555.591] pakupaku_koz: 美しさを競うものじゃね？
[3556.445] hidehide77777: 通訳
[3557.106] ethicalwatcher1: 賃貸不動産の営業とかは女性の方が数字出る
[3557.904] mikaze0001: 例外が目立ってるってことはその性別はその分野に長けてないことが多いって言えるのかな
[3562.079] poiuytrewqasdfg0987654321: 子育てとか
[3563.259] jama4man: １つの事を突き詰めづに多数の項目を満遍なくバランスを保つのが女はうまい気がする
[3563.483] 千葉県おっさん: 受付
[3565.136] nobe4321z: 児童相談所とかカウンセリング関係は女性多い？あと保育福祉教育
[3566.940] シケモクスッパマン: 数値優位になる選手権か
[3567.822] s_ShinoD: タイピングは女性のが強くないっけ
[3574.629] yasuhiroooooo: 言葉遣い
[3579.501] levee_breaks: この話題スポンサー的にヤバないですか
[3581.094] sistersguitarreplica: デリカシー選手権
[3584.076] verity225: シンクロ
[3584.791] neoncrz: 競技かるたは一時期女子のほうが強いとか言われてた
[3584.918] balthazar000: 射撃とかどうだろう？
[3585.244] ikiguru: 生命保険の営業は女性強い
[3587.174] sharks_up: 女性の方が長生き
[3587.910] kimie_white: あータイピング日本一になってたような
[3589.439] kyabetu_tarou4: 痛みに強い系のなにか
[3590.225] シャンウー: コールセンターとか
[3590.564] hidehide77777: 同時通訳は女性が多い
[3591.705] bobby_420x: ボートレースは女性も勝つ
[3592.506] 4444446666: タイピングのチャンピオンは日本女性だよね
[3594.133] s_ShinoD: タイピングの日本一は女性だったよね
[3594.281] nsb1016: 別れてるね
[3594.913] ko_008: 通訳は女性
[3600.012] taroumaruh: というか女性がいないと分からんくないかｗ
[3600.320] 勤務中: 高速タイピングあったよね
[3600.747] neojapan01010: 工場の内職とかすごい腕もってるのおばちゃんのイメージある
[3601.397] masao2017: マネージメントとか女性が有能なきがする。
[3602.098] tabibitox: 記憶系は女の方が優秀なんじゃなかったっけ
[3604.197] vungo_mr: わかる
[3604.339] シケモクスッパマン: 平均年収
[3604.556] brutal9998: 男性女性で分けてる時点でそれは無いから音楽とかセールスとかはそうかも
[3606.503] cruseaguar: スナイパー
[3606.571] gajonaori: いやそれはないｗ
[3608.730] (S)moppu_gake: さすがに？
[3609.688] erisuk: 流石に？
[3613.809] depu: それはないでしょｗ
[3613.958] zoeyan: それは部署によるでしょ
[3614.461] verity225: ほんとか？
[3615.579] Papapadad: 職種によるでしょ
[3615.596] ミジンコ隊長: それはなくない？
[3616.740] v_harumi_v: そんな企業あるの？
[3617.622] kaban1192: なんの仕事だｗ
[3618.590] hinokihinoki: どこの世界の話？
[3619.433] シャンウー: 飲食店も女性店員の方が多いね
[3620.111] verity225: それはないと思うぞ
[3620.320] kaomoji3: アマゾネスかな？
[3620.550] Aabbuurraa: 近年の芥川賞って女性多くなかったけ？
[3620.777] yunoguyu: あいきょう
[3620.788] sagatdeganbaru: そもそも闘争本能は男性が強いから勝負事の人口に男性が多いんじゃない？
[3620.884] t_orange1000: それはないw
[3620.890] mm2351: 主夫も増えたねぇ
[3621.076] anmokunouchi: ほんとｗ
[3621.156] さくらぎたいち: !member
[3621.494] 5don: すご
[3621.732] pupurasu: 受付？
[3621.848] balthazar000: 何の業種の話なんだ？
[3622.590] hairi0610: どこで聞いたんやウメちゃん
[3623.080] madahaya: ただの企業イメージ
[3623.575] raurakd: ほえー
[3624.116] RonHei_tw: 受付とかは女性しか取りたくないってのはあるけど
[3625.413] sharks_up: あの人か
[3625.497] miyuku2023: ピアノか？
[3629.146] 雑食: いったいどこの国の話？ｗ
[3632.677] cochi5: まあ雇う側なら女だけ雇いたいよね性的な意味で
[3633.733] yayayujin: じゃあピアノ？
[3634.015] sistersguitarreplica: 普通にその人の才能では
[3636.541] erisuk: ピアノとかもそうだし指の動きが滑らかなのか？
[3636.855] brutal9998: 電卓とかそろばんも違ったっけ？
[3637.541] ikiguru: 東南アジアだと露骨に女性のほうが優秀よ
[3638.136] のぞみくん: さぼらないからじゃね
[3639.072] edgawatinpo: ぷよぷよも最強レベルの女性いるよね
[3640.530] atsushi_kishi: 災害時は女性の方がたくましい
[3640.590] 箸くれ: 豪鬼にタイピングできると思うか？
[3642.299] シャンウー: 通訳も女性がおおい
[3642.303] avareinu: 楽器もトップは男だお思うよ
[3643.025] ゆーしーー: タイピンの人は圧倒的努力
[3644.820] murakamitakasi: プラモとか模型は女性が上手いよ
[3646.491] balthazar000: 右脳左脳ってそんなに重要なの？
[3646.531] kooooge: タイピングうまいなら格ゲーにも応用できそう
[3652.147] taroumaruh: あー体的な話になるなら戦闘機のパイロットとかも女性の方が有利よね
[3657.488] jama4man: 指太い人はベースに向いてるか
[3659.822] distant0ne: アメリカの大食いすげー人貼ょせいじゃなかったっけ
[3662.714] fuan4444: 使えない男と女なら女の方がマシは有りそう
[3663.919] depu: 東南アジアは男が仕事市内から…
[3665.367] terry_man630: イッペイ！？
[3666.310] kooooge: 言語系か？
[3667.185] negishake: ダンスとかは？
[3667.510] ぽんこつぽんた弐号: 事務職が女性の方が多いからとかあるのかな
[3667.713] roval789: いっぺい
[3669.350] あしゅ1300: 同時処理
[3670.391] t_orange1000: 一平ww
[3670.954] もきち555: 勝負してんの？ｗ
[3672.291] mikaze0001: カムコムカップ
[3673.729] sharks_up: 通訳は大変だよ
[3676.214] low_single: マルチタスクでしょ
[3676.387] avareinu: ナレーターも女性の方が優秀です
[3681.553] hairi0610: そいつはコトだぜ
[3683.208] noelel_l: あー確かに
[3683.700] taroumaruh: 同時タスク
[3684.764] s_ShinoD: 言語の勝負は100%女性のが強い
[3691.098] bakedonion: もう右脳左脳という分類自体がだいぶ古いらしいよ
[3694.030] taiyaki_ltd: 結局、女性は社会的に趣味に時間を使えなかったという話になりかねないな
[3696.907] ミジンコ隊長: たまにえぐい人いるよね
[3699.706] anmokunouchi: 単純に女性の方が多い業種はあるでしょ
[3701.516] 軽く捻るか: 語学は確かに女性が強い
[3701.944] miyuku2023: ほう
[3704.036] nihera88: 女の方が今仕事できるって話俺もどっかで聞いたわ
[3704.983] ray14777: パティシエとかは男女で結構いい勝負じゃない？
[3705.241] kkshkk: 仲介位置や窓口に女性いるのは歴史の名残な気がするけどね
[3705.893] w4m1_54: カムコム
[3706.281] シャンウー: 言語習得能力は女性が有利だって 翻訳家の先生が言ってた
[3708.957] kzpanigale899: 男性は複数の物事を同時に進行する事が苦手とされています。
[3710.308] naonaon: 音ゲーとかは？
[3710.567] nsb1016: 確かに
[3711.561] goozy009: そう言えば手話通訳は圧倒的に女性
[3712.848] yo5hhhh: この闇話題の女性版をやってよ！
[3713.936] brutal9998: vtuber
[3719.138] 満ニラ: 一平、、、
[3719.349] 軽く捻るか: ｗｗｗ
[3721.320] verity225: お前が言うなｗ
[3722.253] yayayujin: 一平だっているのに
[3722.312] sharks_up: 古くない？
[3727.660] ohasu1: vかアイドルか
[3728.361] みえけん: 映画の翻訳も女性多いような気がする
[3728.559] (S)moppu_gake: それがもう古い考えとも思える
[3728.667] ミジンコ隊長: ｗｗｗ
[3729.474] iwaisi: ｗｗｗｗ
[3732.340] ド森林: FPSのエイムも女の方がアベレージ高いらしい
[3733.233] avareinu: 編集も女性が優秀 言語はやっぱ女性やろな
[3733.463] sn0wf0x3: wwww
[3733.696] balthazar000: 血液型の性格分類と同じ匂い
[3734.421] no_name_0521: 一平は存在しなかった
[3735.962] シケモクスッパマン: ほんとだもん！！！
[3736.640] bobonchuaaaa: ほんとだよw
[3737.382] erisuk: 流石に科学はあってる前提で離さないとはじまんねぇよ
[3740.015] yayayujin: 一平は優秀だったんだよ
[3743.057] kaomoji3: 女が居ないから結論出ず
[3744.796] sanshou__: 男性が作ってきた社会だから女性が活躍する場が少ないんでは？
[3745.051] pakupaku_koz: 女の方が間違っても許されそうってのもあるんじゃない？
[3748.478] ましゅダヨ: それはわかる
[3749.364] ethicalwatcher1: w
[3749.919] atsushi_kishi: 単純にコミュケーション力が強い
[3751.172] 箸くれ: ｗｗｗｗｗｗ
[3751.823] nobe4321z: 右脳左脳は昔の話じゃないっけ
[3752.388] nsb1016: そうか？ｗ
[3752.475] afuring: wwww
[3752.763] シケモクスッパマン: 印象値系？
[3753.311] みえけん: それは男だからだよｗ
[3753.591] ジェーワイパーク: そうか？
[3753.788] sharks_up: うーんｗ
[3753.953] smile9104: それはそうｗ
[3754.298] ミジンコ隊長: わかるｗ
[3754.417] poriporikaku: ひとによる～
[3754.775] Papapadad: いやそんなことない
[3755.484] brutal9998: それは同性だから
[3756.712] 箸くれ: それはウメちゃんさぁ
[3756.950] minimini3223: www
[3756.994] bobonchuaaaa: 何でやろうなw
[3758.907] kosmos5567: 偏見が強い
[3759.994] mm2351: ｗｗｗ
[3760.162] urtoy8: 草
[3760.176] ジェーワイパーク: ひとによるわ！
[3760.720] verity225: キザだよね
[3760.978] afuring: ホテルマンの顔よな
[3761.319] zoeyan: それは同性だからでしょｗ
[3761.841] kimie_white: ｗｗｗｗｗ
[3763.593] ikiguru: それは男だからw
[3763.845] (S)noriyuki3: 男はそんな笑わんからなw
[3764.673] sistersguitarreplica: まぁわかるけどもw
[3765.535] miyuku2023: 同性やからwww
[3765.853] yayayujin: それはうめちゃん目線だろw
[3766.191] raurakd: どうなんだろw
[3766.585] funa05: 優劣をつけるって時点で男有利な思考じゃない
[3766.781] もきち555: ウメちゃんがんばったねー
[3767.397] ohasu1: わかるーw
[3767.629] tabibitox: それは女の方が作り笑いが上手いだけやんｗ
[3768.016] ましゅダヨ: うそくさいまではないけどw
[3768.331] kaban1192: ｗｗｗｗ
[3768.545] (S)moppu_gake: 同性だからわかるだけでしょw
[3768.725] シャンウー: 特に マックだと おばちゃんの店員が好きだなwww
[3769.012] 赤髪_: 見てきた数の問題じゃない？ｗ
[3769.246] kanabuso: わからなくもないw
[3769.267] bakedonion: 女性目線だと変わりそうｗ
[3770.210] kentama11: それは笑
[3771.177] kamiyama_t: 人によるｗ
[3771.260] w4m1_54: 女は女にそう思ってそうｗ
[3771.625] t_orange1000: 一流のウェイターは男が多いよ
[3771.812] erisuk: 女だからよくみえるだけじゃないか～？
[3772.421] kaomoji3: それはウメちゃんが男だからでは
[3772.625] lljp: うめちゃんちょろすぎ
[3772.641] kaban1192: 偏見やん
[3774.318] ぽんこつぽんた弐号: あなたが男だから
[3774.528] madahaya: ザ・偏見で草ｗ
[3774.949] ethicalwatcher1: 男女で受け取り方逆になりそう
[3775.023] cochi5: それはウメちゃんが男だからでしょ
[3775.336] 箸くれ: 耐性大丈夫か？ｗ
[3775.696] yubioya: わかるわ。きもい
[3776.640] choran_nao: 胡散臭さは混じってくる
[3778.131] bobonchuaaaa: 異性だからでは？w
[3778.389] taroumaruh: 同姓だからはだいぶあるだろうねｗ
[3778.554] syouyuireppa: それ女性目線で変わりそうだろ
[3778.958] sharks_up: 同性だからセーフだようめちゃんｗ
[3779.207] one596: 人によるだろって話しかしてねぇw
[3780.663] yaminoiiii: それは凄いわかるｗ
[3782.468] mm2351: 女性のほうが感情の使い方がうまいってのはあると思うよ 男は理屈っぽい
[3783.555] 無心に: 笑顔に厳しいうめちゃん
[3784.352] hidehide77777: 同性補正
[3785.827] brutal9998: 同性だから騙されやすいだけ
[3785.926] zoeyan: 対人は確かに
[3786.303] 箸くれ: ｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ
[3786.346] ミジンコ隊長: ｗｗｗｗ
[3786.938] (S)Koooon__: 考えたことないなｗ
[3786.990] sistersguitarreplica: なんか気持ち悪い笑顔の人多い
[3788.065] naina717: 裏表ありそーて思う
[3788.099] 千葉県おっさん: それは同性なのもありそう
[3788.987] matsupez: ｗｗｗｗｗ
[3789.056] ましゅダヨ: ？？？
[3789.088] neojapan01010: うんｗ
[3790.244] syouyuireppa: ww
[3790.453] sn0wf0x3: wwwwwww
[3791.304] ミジンコ隊長: 違うもんね？
[3791.562] s_ShinoD: それは心理学上 女性の方が好印象って結論出てるような
[3791.567] verity225: ね
[3791.689] vungo_mr: ネッ
[3791.825] nobe4321z: 幼少期からの環境では
[3791.987] hairi0610: 女は常にかぶってる
[3792.134] yayayujin: ん？
[3792.173] balthazar000: 男の視点しか無い、この状況なぁｗ
[3792.804] perushi8: ｗｗｗ
[3793.062] raurakd: 草
[3793.762] tibusa8: うーん？ｗ
[3794.922] ましゅダヨ: うめちゃんさあ……
[3795.131] kaomoji3: なんだよそれw
[3795.329] (S)chiichan2222: ｗｗｗ
[3796.505] kaban1192: ｗｗｗｗｗ
[3797.173] v_harumi_v: それはある
[3797.530] bobonchuaaaa: クソ見解で草
[3798.245] (S)chiichan2222: 騙されそうｗ
[3800.432] ohasu1: ウメさん顔に敏感だからww
[3800.513] 箸くれ: カモだぞカモ
[3801.556] iwaisi: うっすいｗｗ
[3801.925] エルデ: 女性から見たら逆説
[3803.085] bakedonion: ちょろいおじさんｗ
[3805.219] terry_man630: そうなると受け付けは女性かぁ
[3805.971] (S)相田俊介: 珍しくウメちゃんの意見が浅いｗｗｗ
[3806.332] yayayujin: ただの女に騙されてる男だよ
[3806.450] Qtr1214: この話そろそろ危ないW
[3807.427] てつのすけ_: 女は笑顔上手いよね
[3807.517] ミジンコ隊長: ｗｗｗｗｗｗ
[3808.400] yo5hhhh: 動物的な本能と敵意が無くなるから でしょ
[3808.579] matsupez: かわいい
[3810.138] depu: うめちゃんだけじゃない？Ww
[3810.910] (S)smp332: 人と人を繋げるのは女性のほうが得意なのかな
[3811.225] urtoy8: 逆もまた然りだろ
[3811.633] ミジンコ隊長: ｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ
[3812.024] miyuku2023: チョロおじw
[3812.297] (S)moppu_gake: ウメちゃん？
[3812.749] taroumaruh: ニカ
[3812.932] 箸くれ: umeGu
[3813.270] ぽんこつぽんた弐号: キャバクラとホストクラブみたいなもんだろ
[3813.791] のうみそきんにくん: 笑顔www
[3815.184] w4m1_54: ｗｗｗ
[3815.690] だいこん_: umeLaugh
[3815.864] (S)chiichan2222: 同性の嘘くささはわかるよね
[3816.322] sn0wf0x3: wwwwww
[3816.329] hairi0610: こわすぎるｗ
[3818.123] のうみそきんにくん: にっこり
[3818.737] zoeyan: すぐ騙されそうｗ
[3820.241] agouwha: この顔で接客しよう
[3820.243] verity225: いい笑顔ｗ
[3820.821] sn0wf0x3: ニコニコ
[3821.674] raurakd: umeGrin
[3823.299] fuan4444: 女から見て男店員が胡散臭いかのソースをくれ
[3824.123] ぷりにゃん: うさんくさい男たち
[3824.635] kimie_white: ウソくせえｗ
[3826.427] ta2_tattuu: 接客はなで肩の人に向いているから比較的女性に向いている
[3829.532] jama4man: 笑顔の魅力に目覚めた大吾
[3830.117] ましゅダヨ: 騙されちゃうなあウメちゃん……
[3830.433] sistersguitarreplica: ダウトスマイル
[3830.662] kaomoji3: どうすんだよこれw
[3833.031] matsupez: ｗ
[3834.360] raurakd: 気持ち悪いかw
[3834.905] sharks_up: 女性は女性が嫌そうじゃない？
[3836.877] erisuk: まあ男は接客で笑わないほうがいいな
[3837.076] edgawatinpo: 同性のイケメンに苦手意識あるだけでしょｗ
[3837.431] tibusa8: 同性だからじゃないのか？
[3837.473] 4444446666: さすがに主管
[3837.606] kamiyama_t: ｗ
[3838.473] verity225: 嘘だもん
[3838.481] ミジンコ隊長: ｗｗｗ
[3839.428] depu: 女性も嘘くせえよｗ
[3840.470] 箸くれ: 顔ｗｗ
[3842.446] brutal9998: なんだこいつw
[3843.008] one596: うるせぇよw
[3844.616] zoeyan: 女好きなだけやろｗ
[3844.983] bobonchuaaaa: 終わってるだろコレw
[3846.154] kaban1192: プロナイス
[3846.244] v_harumi_v: ウメちゃんは、騙されそう
[3846.677] raurakd: 意地になっちゃったw
[3847.741] yayayujin: 折れろよw
[3848.956] ethicalwatcher1: ギャルソンはピッとしてる男のイメージ強いけどな
[3849.742] haretsukun: 本能ですよ
[3850.043] もきち555: おわらない話
[3850.264] w4m1_54: ｗｗｗ
[3851.290] kkshkk: エレベーターとか窓口とか受付とかに女性が多い理由がそれ
[3855.907] vungo_mr: たしかに
[3857.601] syouyuireppa: たしかに
[3858.634] 4444446666: コーヒーの
[3858.877] erisuk: おじいの笑顔はいいな
[3859.716] ミジンコ隊長: コーヒーお好きなんですねぇ
[3860.423] yayayujin: あなたの感想ですよね
[3860.698] (S)chiichan2222: 女に甘そうウメちゃん
[3861.336] てつのすけ_: 接客したい男などいない！
[3861.522] 箸くれ: ｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ
[3862.920] matsupez: ｗｗｗｗ
[3862.992] cochi5: 男なら全員女店員の方が好きやろなあ
[3863.204] kingsbane_1_7_3: 危なそうな話題ｗ
[3865.155] hairi0610: かぶせやめろｗ
[3865.667] nobe4321z: 女に対する男の接客はまた違いそう
[3867.268] 4444446666: コーヒー、お好きなんですねぇ＾＾
[3867.784] depu: おかしいだろｗ
[3868.797] derwace_lifolve: 戦うなww
[3869.298] kanabuso: 女性が社会的にそういう能力を求められて来たっていう見方もあるからなー
[3870.268] iwaisi: なにそれｗｗｗ
[3870.550] agouwha: ただ若い女が好きなおじさんｗ
[3871.897] sanshou__: 女は接客ぐらいしか出来ないって事？って思われる可能性あるから危ない
[3872.110] 無心に: ゆずらねえ
[3872.429] シャンウー: 飲食で、おばさんを積極的に雇用する企業あるよ
[3872.524] bobonchuaaaa: もういいよw
[3874.022] roval789: 女好きなだけやん
[3874.389] one596: 曲げない意志
[3875.489] kimie_white: 駄菓子屋のおばあちゃんとか笑顔素敵だもんな
[3875.689] yayayujin: 意地でも向かってくるじゃんw
[3876.777] ミジンコ隊長: 燃え広がった
[3880.350] bakedonion: ウメハラ選手の徹底抗戦
[3884.976] 箸くれ: 好きなんだなってのは伝わったよ
[3886.546] (S)moppu_gake: これは頑張ったw
[3887.670] 4444446666: コーヒー、お好きなんですねぇ～＾＾
[3887.948] erisuk: 広げたんじゃあなくて無理やり挿げ替えたんだよ
[3892.305] sho01: sho01 subscribed with Prime. They've subscribed for 34 months! 
[3903.620] neojapan01010: 歌兄きたあ
[3918.110] bobonchuaaaa: ミートさあw
[3921.334] neojapan01010: 黙って消えたｗ
[3922.372] teruharu_: ｗ
[3922.604] sn0wf0x3: ミートさんww
[3923.217] brutal9998: このデブよお
[3924.816] kanabuso: メシでも届いたか？ｗ
[3931.017] vungo_mr: おいｗ
[3934.691] adachi0919: ホッヒヒ
[3954.971] もきち555: 歌さんいつも声ちいさいんだよねー
[3959.980] bobonchuaaaa: おーいいね
[3961.687] kaomoji3: あるね〜
[3963.667] brutal9998: なんか分かる
[3964.393] sn0wf0x3: あるね
[3964.610] adachi0919: ウメちゃんも映画好きだよね
[3965.757] 軽く捻るか: あるかも
[3970.333] v_harumi_v: 歌にぃの声、もうちょっと大きいと助かる
[3974.121] kaban1192: 声ちいさ
[3989.026] のぞみくん: 揉めた話が聞きたいが
[3989.818] yuki_aion_aion: うわ、エペ豚おるやん
[3989.967] kyabetu_tarou4: 前マイク持ちながらやってたもんね
[3995.606] iwaisi: ｗｗｗ
[3996.273] hal0087: んー？？
[3998.470] 雑食: ｗｗｗｗ
[3999.970] sn0wf0x3: 大丈夫か？
[4000.940] kaomoji3: ほう
[4003.139] ましゅダヨ: 首w
[4003.566] nako756: ん？
[4004.503] hidehide77777: センシティブ
[4005.697] kitori_17: いい角度で入ってきた
[4011.705] depu: お茶の間が気まずいやつやん
[4017.708] donpepper_0728: 大丈夫かこの話題
[4023.372] v_harumi_v: キリンの戦いｗ
[4023.603] pupurasu: 007とか
[4027.636] derwace_lifolve: 演出表現と実際の違いに気づいた瞬間と
[4039.249] seiji141141: 有名なのは金粉やね
[4039.989] RonHei_tw: 直裁的な表現ができないからやしな
[4043.147] ethicalwatcher1: アメリカ人は台形の紙の箱に入ってる謎の食い物を急ぎながら食ってる
[4045.776] agouwha: 瞬間移動が出来ない
[4047.206] adachi0919: スーツの中にめちゃくちゃデカい銃が入ってるとか？
[4048.546] levee_breaks: 見事学びましたな
[4051.631] fuan4444: え、外人はあれやるんじゃないの？ フィクションなの？
[4053.729] naina717: 男塾とか
[4080.030] seiji141141: 首に視神経は無いとか？
[4085.100] 成吉大: あれは少し信じそうｗ
[4092.122] ethicalwatcher1: 雨に唄えば
[4099.334] のぞみくん: だんご
[4099.866] tenp101: ハンターハンターの水見式
[4101.534] adachi0919: ビールとかめちゃくちゃ美味いんだろうなと思ってたね。子供の頃は映画で見て
[4104.019] verity225: え？
[4108.057] naien3: マッチは靴で擦れば着火するってほんとに思ってたなぁ
[4114.079] hairi0610: ふたえのきわみ
[4116.253] ミジンコ隊長: 傘さして飛び降りたら飛べる
[4117.303] pmcsaidkys: Hey sensei daigo
[4122.851] isekai7153: ww
[4126.466] v_harumi_v: あー、わかる
[4127.905] shochann: わかるｗ
[4128.679] nako756: あーーーーーーー
[4128.844] ミジンコ隊長: なるほど
[4130.855] sn0wf0x3: わかる
[4131.227] bobonchuaaaa: wwww
[4132.033] ddb365: 思ってた
[4132.615] verity225: でたその話ｗ
[4133.605] toshio0224: ちょっとあったかもそれ
[4136.591] ethicalwatcher1: 突き抜けんばかりにね
[4138.035] brutal9998: ゴールポストに登っても良いと思ってた
[4138.873] depu: キャプ翼は突き破るからｗ
[4139.808] monpiipop: 音w
[4141.650] kimie_white: ネットが破れたらゴール
[4144.230] shochann: ＜
[4144.676] taroumaruh: あーキャプつばでトーキックして突き指したなぁ
[4146.967] hidehide77777: ネットを突き破る
[4148.208] atsushi_kishi: 貫通2点
[4150.014] tabibitox: アレダメ
[4150.591] kkshkk: w
[4151.153] kaban1192: ｗｗｗｗ
[4152.671] isekai7153: そうなの？
[4152.758] 箸くれ: ｗｗｗｗｗ
[4152.969] kamiyama_t: ｗ
[4153.280] ヨコグシ: www
[4154.873] hal0087: あたりめーだろｗｗ
[4154.966] manasvin13: ｗｗｗ
[4155.807] nsb1016: おもろｗ
[4157.219] water200water: www
[4158.922] taroumaruh: ｗｗｗｗｗ
[4159.375] isekai7153: ｗｗｗ
[4159.891] yanbowy: w
[4160.247] こがや: wwww
[4160.347] erisuk: 今じゃあぶないのか？
[4160.631] (S)noriyuki3: まじかw
[4161.266] neojapan01010: ｗｗｗ
[4161.330] だいこん_: LUL
[4161.910] ミジンコ隊長: ｗｗｗｗ
[4162.252] jackeryna: 思ったw
[4162.770] one596: ルール違反のオンパレードだぞあれw
[4165.120] isekai7153: 加速するんかな？ｗ
[4165.776] water200water: 確かにw
[4166.506] v_harumi_v: ほんとそれｗ
[4170.175] kimie_white: 逆に飛んだからだぞ
[4170.298] RKC48: キエエエエエエエ！
[4173.783] kitori_17: 空手をやっているからwww
[4177.506] taroumaruh: スカイラブハリケーンもNG
[4178.677] neojapan01010: キャプ翼トークとまんねえｗ
[4182.275] yo5hhhh: ネットに触れてゴールの時代もあったかな
[4185.486] depu: テレビで検証してたねｗ
[4186.872] (S)相田俊介: 逆サイドで倒れた時に三角とびするんだよ
[4186.885] isekai7153: あれはアウトよなｗ
[4187.349] adachi0919: キャプ翼の人はサッカーやったことないらしいね
[4187.702] mako_oswald: ボール乗ってセグウェイみたいなことしてるやつ爆笑したな
[4188.656] zoeyan: だいたい危険やろｗ
[4192.282] prisira: あれは異次元スポーツだからサッカーじゃない
[4193.937] pupurasu: 今日のアニメでも相手の足にスライディングしてたわ
[4195.154] 成吉大: 転がるだけでファウルだ
[4196.458] choran_nao: 背中であんなに滑らない
[4197.066] terry_man630: キャプ翼は海外で大人気なんだぞ！！
[4200.466] hidehide77777: 強引なドリブル
[4202.560] kimie_white: youtubeにキャプ翼の技マネしてる動画いっぱいあるよな
[4205.338] rur059: リバスピ
[4217.062] RonHei_tw: どんだけ鍛えてもしゃがむ速度は変わらないとかね
[4220.965] nikkou18: セグウェイドリブルはシュールの極みやった
[4223.389] adachi0919: 刃牙の炭酸抜きコーラとかちょっと信じたよね
[4224.520] バーニングチャーハン: 二重の極みとかは練習する人いるはず
[4226.403] olka_kakuge: バキとかけっこうありそう
[4231.609] ethicalwatcher1: バイシクルシュートとか二重の極みとか
[4234.048] brunoman1: トリコね
[4235.821] ほねこっぷ: くっガッツが足りない
[4239.453] サルクモ: ドラえもんのスモークマウンテン
[4239.912] adachi0919: 刃牙の紐きりとかな
[4242.930] 成吉大: ボクシング好き
[4244.046] goozy009: 炭酸抜きコーラは本当じゃないの？
[4245.308] brutal9998: キン肉マンでロビンマスクの鎧を剥ぎ取ったら早く落ちるのが本当だと思ってた
[4246.312] miyuku2023: 知っているのか雷電
[4247.480] じゃむじゃむお: 美味しんぼとか間違った知識が多い
[4250.172] 軽く捻るか: ｗｗｗ
[4250.788] のぞみくん: ご りゅうふまで信じた
[4251.582] vungo_mr: かき氷は勇者カクゴールが所以とかね
[4252.241] 勤務中: 梶原一騎原作漫画にはけっこう騙されたな
[4252.980] kyabetu_tarou4: ビーデルさんの気の修行みて自分もいけるかもしれんとおもた
[4257.865] taroumaruh: シンクロニシティ サティポロジアビートル
[4258.551] depu: ケンイチとかで変なトレーニングしちゃう
[4266.949] (S)hikarubundoki: キン肉マンの鎧着てる方が、落下速度はやいとか…
[4268.084] erisuk: 炭酸抜きコーラはガチ
[4272.013] neojapan01010: ふたりエッチの統計とか
[4276.178] RKC48: 民明書房
[4280.274] karin11020530: 二重の極みは信じてた
[4286.425] iwaisi: ｗｗｗｗ
[4287.314] ましゅダヨ: wwwww
[4289.062] (S)相田俊介: ガチ終盤ｗｗｗ
[4290.157] taroumaruh: ｗｗｗ
[4292.129] vungo_mr: 駆けそばｗ
[4292.848] シャンウー: ツボってる
[4294.714] hidehide77777: 桃白白の柱に乗るやつ
[4295.773] one596: www
[4296.773] tabibitox: ほんと最後やんｗ
[4300.343] monpiipop: 折笠さんww
[4300.749] ミジンコ隊長: Ｄｗｗｗｗｗ
[4300.941] v_harumi_v: ピュア
[4301.409] 5don: ww
[4303.247] シャンウー: しぬほどわろてるやん
[4317.142] taroumaruh: Dのビール音うるせえｗ
[4323.694] neojapan01010: ファミコンふーふー
