[24.164] トイメン: うぃーす
[2534.134] nowiejwssie: これ8か月前…
[2535.203] (S)見るぞ: なるお言語化うまいからまあまあいけそうではある
[2536.819] たかゆきくんさん: なるちゃんポイント
[2537.670] 趣味垢0817: 正直いつものなるおで面白実況聞きたい
[2538.404] saibabasan: これを解説してくれ
[2538.635] (S)メラミングミ: 解説するの？どぐら式でやって
[2538.880] (S)みなぷ080821_: kazunoJyu
[2539.272] (S)nononono_uhoho: なるおらしさも大事よ
[2539.519] (S)putipote: こっからどうしたいとかも
[2539.584] Wak24: 最初にどっち有利かとかは説明すると良いよ
[2540.209] kyantamanmos: そう
[2540.486] サーラ_スペースアヒージョ: なるおらしさもあってほしい
[2541.507] masarin763: じゅ
[2542.670] (S)adasuta: むしろ解説することない時に実況がしゃべるんじゃ
[2543.330] akiraz3: 息子に教える気持ちでいけ
[2545.133] ろぼたん: 試しに AVを解説するといいよ
[2545.848] むだいさん: うまい！今のは～って感嘆詞を先にいうとすごさも伝わりやすいかも
[2545.904] (S)たんや王: なるお説明するの上手いからいけるっしょ
[2546.138] TROI_Just: そうだね
[2546.665] (S)十景: 実況が起きたことを話して、解説はプレイヤーの意図を話すといいよね
[2547.452] moppu_gake: 「これはキャラ対策ですねえ」とか
[2547.936] (S)日本語かな: そうね
[2548.265] tororogohan3: 正直今と変わらない強さに見える
[2549.417] loot446: やったよ
[2549.664] (S)mg_mahiru: スト６からの人もわかるのは大事だろうね
[2549.666] 水増し: ちさんは…
[2550.758] red_bird_oo: そうだね
[2552.144] なるおガチ勢: バレないようにウメちゃんの物真似まぜて
[2552.198] みはる_雨月: ゲームのテンポ早いから、短く説明するの大変よぉ
[2552.753] もっとほっともっと: そうっすね
[2552.839] huryue: 格ゲーすら知らない人も見るからね
[2553.983] 犬舐めんなよ: はじめて格ゲー見る人おおいだろうしな
[2554.901] (S)けろろがめ: こないだのCRでやってた格ゲーおじみたいなポイント拾うと良さそう！！
[2555.708] 新米オーク: ってかなるおは子供にもわかるように解説すればＯＫじゃね？
[2555.820] (S)見るぞ: そうやね
[2556.708] (S)sakippo_o: 音声切ってこの動画の解説してみたら？
[2558.318] ry0444: ライト層とマニアの割合に合わせれば
[2558.461] (S)もじゃ変人: アングリーつっよ
[2558.635] ぬこち: ちょとのこる～↑って言え
[2559.650] (S)nanno114: 削った結果どうなるのか これからどうなっていくのかも付けてね
[2561.682] (S)nononono_uhoho: こーれはおちんちんとかやめてよね
[2562.066] saibabasan: 動画勢に解説してねっていう感じ
[2562.119] (S)まろ助: てか、なるおさんがコーチングしてる時の脳みそで話せばわかりやすい気がする。あれ見てる側もわかりやすい
[2562.431] IMULTA: 昨日ハイタニさんがジョンくんジャスパ上手いとか豆挟んでておもろかった
[2563.658] SANA10023: プレイヤーの思考と違っても解説されるとへーってなる
[2564.143] chamoro_g: ガヤとかじゃなくがっつり解説やるんすね
[2564.517] (S)肩ぱっと: この動画で練習しよう。音声OFFにして。
[2566.456] reales200: 試しに誰かのリプレイ解説してみれば
[2568.921] 趣味垢0817: いいや、格ゲー知らんやつは切り捨てていけ
[2569.070] yutak110: 松木安太郎や
[2570.173] (S)見るぞ: りゅうくんに解説する感じやね
[2571.722] shibaponz: 見てる人の５割ぐらいはゲーム知らねぇしな
[2573.554] murakami38: なるおにそれ求められてるのか？
[2573.588] (S)soltshio: 意外と言語化能力たかそうだから解説向いてると思う
[2573.924] hakuchi11: リアクションでも今なんかすごい事したんだなとかわかるし
[2574.584] komatu_04: うまいと思った時にどこがうまかったのかを教えてほしい
[2574.746] red_bird_oo: ｗｗｗ
[2575.236] (S)じめさぎまん: えらい行動の説明かな？
[2576.552] boinalgo: 読み合いの解説ってできる？
[2576.737] hinatazaka46_hinanoosi: 音声切ってこれを解説練習してみようよ
[2577.135] TUBE_MAN: 誰かに実況してもらって練習しない？
[2577.150] みはる_雨月: 誰かの対戦リプレイ解説してみるとか
[2577.203] むむむ106: 解説のお仕事ある感じですか？
[2577.998] sly_igozei: 解説はももちが一番うまい
[2578.534] きーご: なるちゃんが初心者にプレイ中の考え説明してる感じでやってたのよかったしいけるっしょ
[2581.261] saibabasan: 解説トレモたのむ
[2581.589] (S)yukapero_14: コーチングできる人は解説向いてると思う
[2582.505] (S)459dmaito: 甘えんぼだぁ 
[2583.294] (S)すぐるん: 確かにコーチング目線での解説いいと思うよ
[2584.688] 犬舐めんなよ: じゃくじゃく人形 じゃくじゃく人形！！！
[2585.150] (S)にしん__: 視聴者の対戦見て解説してくれ
[2585.810] クライドフロッグ: 読み合いわかんないと何やってるかよくわからんしな
[2587.831] たかゆきくんさん: ミュートでやって欲しいなｗ
[2590.351] tkdk2231: 後で誰かのリプレイ見てやってみる？
[2591.524] びーさん_: 音声切ったら実況ないから難しいだろｗ
[2593.646] XTVYVTX: 昨日の対戦会、実況解説呼んで一瞬で雰囲気変わったの見てプロ偉大だなあと思った https://www.twitch.tv/zetadivision/v/2127271246?sr=a&t=12023s
[2593.943] TROI_Just: ふりちゃん読んで実際にやってみるか？ｗ
[2597.263] milkhunter0721: ただ、なるおに解説お願いした人としてはなるおらしさも求めてそうな気はする
[2597.424] ろぼたん: あと 名試合は最後は泣くといい
[2597.591] ninnin: 見ちゃうな
[2598.758] beergorila: あとは中立で行く感じ？
[2598.980] (S)pero888888: 自然体でいいのでは
[2600.635] masahiro1341: これは甘えんぼだぁとか言わなければ大丈夫
[2601.422] みはる_雨月: 意外と早すぎてしゃべられないと思う
[2602.068] (S)もじゃ変人: ミキプルーン！
[2603.255] loot446: カミナッチャ！
[2603.598] masarin763: 実況との掛け合いどうすべか
[2604.138] マグカップマン: マジのコア層は現地行くから視聴者はライト層の割合多いしライト層向けで頼む
[2604.332] 宣伝おじさん: 展開早いゲームだから、短くまとめるのも大事そう
[2608.460] (S)みなぷ080821_: レベルでいったらなかやんが理解できるくらいがよさそう
[2610.106] (S)スピしし: 今のはミキプルーンですね～
[2610.349] (S)nanno114: 実況だれか呼べねえんか
[2610.633] 大失言: なんかサンプル使って解説してみないか？
[2611.601] gorilla_osaka: 自動実況あるやん
[2612.991] カオカザリヒメフクロウ: カミナッチャはやめてね 
[2613.400] てんぷらー: 技名いうときは正式名称のほうがいいかもね
[2615.365] mamoniru: 言うて短い時間で説明いるから用語とかは別の場で言われるし実況の解説優先よ
[2616.605] (S)がすいんニキ: 知識を押し付ける感じの解説は嫌がられることあるから気をつけなきゃ
[2617.126] じゅに0406: 実況は目に見えるもの、解説は目に見えないものや！
[2620.773] natch358: お願いだからカミナッチャ言ってくれ
[2620.789] ry0444: ゲームのアールさんONにして試しにやってみるとか
[2621.551] wawawawa000_0: ゲーム内のアールさんとやってみれば？
[2621.648] selionb: 普通にこの試合みたいから見せてくれ
[2624.102] (S)もじゃ変人: 烈火とかやめてね
[2624.470] みはる_雨月: 閣下
[2625.040] sndkzfm1: かずのこうまいな
[2627.482] サーラ_スペースアヒージョ: とりあえずカミナッチャは言って欲しい
[2628.796] mokiti_: トパンガリーグとか結構選手が解説してたから参考になるんじゃない？
[2631.481] (S)まろ助: あとはそのプレイヤーの傾向とかがわかるなら教えてくれると見ててわかりやすい。
[2632.275] (S)けろろがめ: リスナーをカスタムに呼んで対戦させて、なるおが解説入れるのはどう？
[2633.007] ramune_since1973: なるちゃんこんにちは
[2633.318] mahoro_ch: かじゅうまくね？
[2635.084] サカザキ: 正直聞かれたことだけ答えればよくないか
[2635.176] (S)たんや王: どぐら式実況もやってみて
[2635.911] (S)459dmaito: ワクワクしてきたぞ！
[2638.149] (S)むっこ65: かじゅうまくないか
[2640.302] negitoro_48: あんま気にせずわいわい言っちゃって良いと思うけどなぁ
[2642.790] crechan07: ジェイミーの解説のとき「酒」やめてね
[2643.301] (S)えむしーぽんぽん: ODアムネジアに『世界で2番目に不快な技』って解説するんか？
[2645.975] mamoniru: 面白そうな企画やめろ
[2646.011] (S)ヴィスタ: それぞれケンとJPがそれぞれやりたいことの解説とか言いがちなイメージ
[2646.198] mayotyon: 🤓ｸｲｸｲ
[2646.349] gftakataka: 閣下スタイルでいいよ
[2647.009] (S)あきつ0: 試しに誰かのリプレイで解説してみてほしい
[2647.734] びーさん_: それも実況がないけど
[2649.370] sasamizawa: 技名とか覚えてる？
[2650.248] monti370: 詐欺飛びって言いそうだ
[2650.736] pepegaaim3: 自動実況の浅い女風でいこう
[2651.915] mishirannuko: 技名は実況が言うから別にいいと思う
[2652.584] れすみず: かじゅエボいってないからか
[2653.075] ろぼたん: リスナーで練習しようぜ！
[2655.646] moppu_gake: でも1人でやるの恥ずかしいよ
[2655.780] TROI_Just: 一人で解説って勉強になるか？
[2657.241] masarin763: 最初は実況から振られたときに解説できる感じくらいでもええんでない
[2657.952] (S)nanno114: かじゅ解説向いてるよね
[2658.766] XTVYVTX: いうて普段のイベントのガヤでも普通にいいリアクションしてるけどね
[2659.493] うーたんんんっ: そんなことより宣材かえろよな
[2661.865] hinatazaka46_hinanoosi: 実況いないから一人漫談になりそうだな
[2662.149] beergorila: 酒はだめかw
[2662.391] (S)みなぷ080821_: かじゅは上手いよ、有名だよ 
[2662.459] (S)sein_xx: 上手いと思ったところ喋るみたいな感じなんかね
[2663.354] (S)馬娘で破算した男: リプレイ見ながら解説の練習しようw
[2663.770] ry0444: その解説クリップ化して見直してみよう
[2663.951] おかあさんいつも: すーっごい！でいいよ
[2667.202] (S)459dmaito: 練習しないと本番出来ないよ
[2667.728] dgaweap3949: evoj解説するんですか？
[2670.543] (S)ぷらちなドア: 「長すぎだろその杖！」とかトーン関係なく絶対言わない方がいいのかな
[2670.961] (S)emptyeyes666: ？
[2671.495] 新福菜館マン: 適当にKSKのCFNあたりでやってみようや
[2671.984] (S)yukapero_14: 実況との掛け合いもあるからねー
[2672.534] gorilla_osaka: 実況と解説なら実況のほうが一人で練習しやすいな
[2673.236] (S)すぐるん: すげえ！！！
[2673.714] びーさん_: マゴさんに実況させない？
[2674.447] ggg000111: マゴさんのランクマ配信に勝手に解説入れない？
[2674.530] (S)がすいんニキ: うまw
[2674.721] (S)オリエ: こうなったら実況誰か呼んで練習やろ
[2680.302] みはる_雨月: 売れちゃったねぇ
[2681.147] みや1021: どうしようもなくなったら閣下スタイルで乗り切ろう
[2681.436] サカザキ: 変わっちまったな
[2681.813] stay_and_go: 翔つよ！！
[2682.770] (S)ありがたかし: SFLとかだとハメコさんが解説？
[2684.393] しゅーかいおくれ: ハイタニさん技名書いたメモ持ってたよ
[2685.243] ろぼたん: 売れちまったな
[2685.560] Vakanori1: スト6じゃなかったらどうすんだよ！
[2686.058] (S)dook_dokidoki: 売れた
[2686.080] natsume1313: 禁止用語あるっぽいから予習しといた方が良さそう
[2687.075] loot446: かみちゃんと組んで欲しい
[2689.197] (S)日本語かな: 普通に試合見ちゃってるわ
[2691.696] (S)肩ぱっと: ホント解説要因なの？ガヤ枠じゃなくて
[2693.365] ｾｲ: 売れたねなるちゃん
[2694.074] みはる_雨月: 無所属、一般人なのにぃ？？？？
[2694.691] 趣味垢0817: 1個まじでいらん知識身につけて行かんか？
[2695.037] tnbchan2: 無職なって初のお仕事ですか
[2695.597] (S)馬娘で破算した男: だれかのリプレイで解説の練習しよww
[2696.329] 犬舐めんなよ: かじゅって昔から解説いいよな 好きだわ
[2696.805] ry0444: 長丁場だし色んな人がやるのかな？
[2697.101] X_March_X: EVOJ参加しつつ解説もあるって結構ハードスケジュールっすね
[2698.170] lm312v04wo: 倒し切り
[2698.450] haikonbanwa: ギャラあるの？
[2698.989] (S)jzeppeli: 出場とは別枠でなの？
[2698.991] TROI_Just: ３日目もなるおが解説ってありえる？
[2699.288] bonjiri7: かじゅ、すごくね？
[2699.601] np2np: 別にプロの試合を解説するわけじゃないから難しい
[2699.650] milkhunter0721: 解説のなるおと解説のかずのこでお送りします
[2701.122] (S)nanno114: 殺しきりとか絶対言うなよ
[2702.144] (S)四十八手権左衛門: 解説の宣材写真って昨日撮りました？
[2702.193] (S)すぐるん: 56しきりとかはだめだよね
[2703.024] sndkzfm1: どぐらはGGSTの解説で昇竜って言うから大丈夫だよ
[2703.039] (S)きたむら__: ワンチャン数年にわたって擦られる映像に声残す可能性あるし緊張するね
[2703.046] (S)童貞卒業丸: なるおはガヤ枠でねぇの
[2704.197] (S)れな0301: 3日間やるの？
[2704.704] (S)maddy2623: 昨日punkは日本最強はkakeruって言ってた
[2705.597] (S)オンブルー: 選手兼、解説ってことか
[2705.911] (S)にしん__: こくみたいにラウンド取られた瞬間キャラ差とか言ったらだめだよ
[2711.520] (S)ぷらちなドア: 「我輩も盛り上がってきたぞ！」
[2711.714] taarno: 適当にリプレイ選んで練習しない？
[2713.984] loot446: 無職なのに！？
[2714.338] afternoon_55: 正式名称で言うのも大変そうやな 多少は許されるんだろうけど
[2714.732] てんぷらー: 近づいてぇ！でもよい
[2715.565] びーさん_: ｼﾞｺﾞﾄﾞ
[2716.773] mayotyon: 仕事 仕事
[2716.982] takubon79: でもなるおさんに期待されているのはお手本みたいな解説よりもガヤの方かもしれない
[2717.059] reales200: どんぐり何個？
[2717.900] octopus_suisei: 全キャラの必殺技名称覚えよう
[2718.115] (S)459dmaito: いいねぇ
[2718.283] ハゲエギル: ｼﾞｺﾞﾄ
[2720.110] tkdk2231: ５６す→倒す ね
[2720.824] (S)putipote: 真面目だね～
[2722.142] Vakanori1: 無職じゃなくて解説者になっちまう
[2722.989] bonjiri7: NGワード決めておかない？w
[2723.119] genocidekis: んっ真面目
[2723.519] おかあさんいつも: バイトか
[2723.730] (S)dook_dokidoki: おー
[2727.302] red_bird_oo: へえええ
[2727.670] (S)27歳男性: こんちは、解説って何時ぐらいからやるんだ？
[2728.390] (S)nononono_uhoho: ええやん
[2729.047] (S)4tap_py: ほえー
[2729.448] ringfit_norimitsu: ギャラ総取りしちゃって目ん玉飛び出た？
[2729.889] LanfanV5: 発言気をつけなよ〜
[2729.953] IMULTA: そうなんだ
[2729.972] choco0000: 選手で決勝ラウンド残っても大丈夫なの？
[2730.260] beergorila: 無職でも出来るの？
[2730.522] loot446: ほぉー
[2730.884] ggg000111: なるおが勝ち進んだらどうするの？
[2731.550] X_March_X: じゃあ技名覚えるか
[2731.850] (S)asukabunka_atakku: 使用禁止用語あるのだるそうね 癖で出そう
[2731.868] びーさん_: 技名は覚えてね
[2732.069] サーラ_スペースアヒージョ: なるおの真面目なところ好感持てる
[2732.308] Yuuuu1105: そうなんだ
[2732.447] (S)日本語かな: ええやん
[2732.498] (S)lovepeace369: へー
[2733.009] tamano12321: かじゅに弟子入りするか
[2733.011] detushi: 途中、職レポもあるんか？
[2733.148] カオカザリヒメフクロウ: 爪痕残したいか
[2733.162] うーたんんんっ: あの宣材で？
[2733.174] maruOMEGAmaru: 意外w
[2733.298] (S)四十八手権左衛門: いいじゃん
[2733.309] (S)がすいんニキ: 今後もね
[2733.992] カットマン: ほー
[2734.107] IMULTA: ええやん
[2734.335] サカザキ: そうなんか
[2734.603] (S)れな0301: できる？
[2734.653] (S)pero888888: ハイタニになりたいんか
[2734.927] (S)mg_mahiru: 解説者の始まりって事！？
[2734.928] (S)スピしし: ええやん
[2735.009] mikiyamadou: 嘘つけ
[2735.106] (S)yukapero_14: いいねー！！！
[2735.357] nakao86: そっちかー
[2735.457] echoesact48: 解説なんだ
[2735.805] (S)jzeppeli: ふり～だ、なる～お？
[2735.885] (S)zyaponica: ハイタニの位置目指してんの？
[2736.093] hinatazaka46_hinanoosi: SLF解説いいかもね
[2736.147] hamham9999: 差し支えなければ、いくら？
[2736.553] chamoro_g: SFLいける？
[2736.617] れすみず: タツヤルートか
[2736.746] cvvcwc: 前もちょっと言ってたね
[2736.960] XTVYVTX: 売り込みチャンス
[2737.168] kei_8_: 夢？
[2737.587] (S)雑食: 石橋
[2737.638] ろぼたん: もしかしたら他にメインの解説がいるかもしれんぞ
[2737.767] akracing77: ハイタニポジション
[2737.807] (S)dook_dokidoki: いいじゃん
[2737.977] cu3011: 練習しよう
[2739.665] はせぽん: でもなるお普段試合の順序かなり組み立ててるし出来なくはなさそう
[2739.880] (S)nanno114: ばかだけど頭の回転とか早いし良いと思う
[2740.494] (S)yakamotsi: ハイタニ路線いくか？
[2741.105] genocidekis: ええやん
[2741.130] (S)aiken_03: いいね
[2741.957] だだちゃまる: 安全飛びとか言わないと行けないのか
[2742.051] (S)メラミングミ: 炎上するぞ
[2742.622] ちっくんたっくん: 向いてるやろし
[2742.703] TROI_Just: でも結構きつない？
[2743.669] (S)emptyeyes666: コンプラ守れるんかお前
[2743.865] (S)459dmaito: 目指せハイタニ
[2743.907] みはる_雨月: まず声の個性が強いからなぁｗ
[2744.459] (S)放課後プレイを読め: ｗ
[2744.563] (S)4tap_py: プレイヤーよりも？
[2744.811] huryue: ハメコ倒すか？
[2745.597] (S)見るぞ: 言ってたね
[2745.665] マグカップマン: 実際大会の数に対して今実況開設足りてないからマジでよさそう
[2745.936] (S)じめさぎまん: タツヤに解説コーチング頼むか？
[2745.961] selionb: セカンドキャリア解説かよw
[2746.216] banana25252525: ハイタニと洗いそうになるじゃん
[2747.019] hiyori_ata: なんで〜？
[2747.047] (S)馬娘で破算した男: 行けそう
[2747.525] gorilla_osaka: 眼鏡必須
[2747.534] (S)タイテン: なるお言語化上手そうだけどな
[2747.847] (S)i2ha_a6: ええやん今のままだとハメコさん過労死しそうだし
[2748.682] basiclife123: 技名覚えてね
[2750.251] おかあさんいつも: 出稼ぎおじ
[2750.330] (S)dook_dokidoki: まずは石橋か
[2750.579] mayotyon: 公式解説だとヘタなこと言えんね
[2750.691] サーラ_スペースアヒージョ: 解説とコーチと選手
[2751.477] ry0444: ガチ勉強必要か
[2752.327] (S)tec_0419: 前からプレイヤー以外の仕事覚えたいって言ってたもんね
[2752.592] onrinr: 売り込み大事ですね
[2752.738] サカザキ: それならもっとゲームに詳しくならないとな
[2753.661] natch358: ハイタニにコーチング頼もう
[2753.987] banana25252525: タツヤと勝負だ
[2754.045] 0ま: 仕事あるなら無職じゃないやん
[2754.206] berurusuko: それだと無職きつくね
[2755.723] ライム_: なるおを解説に採用するメリットって何？
[2756.269] IMULTA: 定期的に解説練習するか
[2756.363] nakao86: ハイタニは全キャラ触って解説も細かいぞ
[2757.163] (S)メラミングミ: ちんちんとか言えないよ
[2757.177] chahaaaaan: 雛壇芸人枠やろ
[2757.372] (S)nx009s: 絶唱てなんですか定期
[2757.914] にくピンク: 知識いるぞ？
[2758.570] もっとほっともっと: むしろ実況向きでは？
[2760.720] sndkzfm1: 詐欺飛び言う人が？
[2761.189] hakuchi11: 実況でもええんやで
[2762.125] chamoro_g: 絶唱とか言っちゃだめだよ
[2762.329] チャミさん: 小さい大会でも良いんですか🫣
[2762.909] (S)Bron61: コーチングに近いかもね
[2763.997] gjmtptjj: 人いないからええやん
[2764.086] manul_neko_suki: 細かい駆け引きとか解説上手そうだしいいじゃん
[2764.885] (S)きたむら__: 色んなキャラ触ってるなるおなら解説いい感じになりそう
[2765.670] bonjiri7: 挑戦してみること
[2765.712] (S)すぐるん: SFLの解説になるおが出るかもしれんのか
[2766.068] (S)skin1018: 技名とかちゃんと覚えてるの？
[2766.807] dada6100: 技覚えれるか？
[2768.159] (S)馬娘で破算した男: 結構独特な解説できそうで楽しめそうだけどな
[2769.289] ry0444: ハイタニは大和の資料もらってる
[2769.497] motwonki: 良いこと言うねえ
[2769.607] kobayan86BRZ: 知識だけなら絶対ケツにぃのが上でしょ・・・
[2769.901] (S)カニが好きだと叫びたい: 解説でときどさんのモノマネやってくれるか？
[2770.759] (S)tento3: リプレイ解説配信やるの？
[2770.774] (S)10jqka: じゃあ人と違う方が需要ない？
[2770.789] garugaru0426: 技名覚えた？
[2770.960] びーさん_: ハイタニさんと解説トークしてみたら？
[2771.074] (S)日本語かな: あると思う
[2771.510] moppu_gake: ここでしくじると次に繋がらないから頑張ろ
[2771.967] beergorila: 今のところこくヌキ枠だよ
[2772.087] (S)roubushin123: 技名をちゃんと言えないとダメか
[2772.101] アイコム: おもしろよりの解説で天下とってくれ
[2772.738] みはる_雨月: 説得力がまだないｗｗ
[2772.977] (S)見るぞ: ハイタニ一門に弟子入りしよう
[2775.309] カオカザリヒメフクロウ: 不安なのは言葉選び
[2776.096] (S)dook_dokidoki: 確かに技名言わんといけないのか
[2777.585] lm312v04wo: どこぞやの本を書くニートみたいな話w
[2778.180] (S)27歳男性: コーチングとかしてるしいけるべ
[2778.187] onrinr: ハイタニさんと勝負になる
[2778.344] ちゃんはら: なんだかんだやってるからね
[2779.243] bonjiri7: 全キャラマスターやるかw
[2780.135] lalalabel: まぁまぁどころじゃないと思うが
[2780.139] 新福菜館マン: これねーうんこなんですよーこの技ーとか言うの
[2781.600] 趣味垢0817: インパクトって何か知ってるか？
[2781.643] ry0444: しゃべりの方か
[2781.748] (S)ﾏﾝﾏﾙﾏﾙｦ: 全キャラの技名とか言えないとだ
[2781.964] (S)jzeppeli: そう考えると、FPSも格ゲーも実況も解説もできるふり～ださんって凄くない？
[2782.710] あつくん_バトル公民館: なるおも全キャラマスターだな
[2783.177] EDN3rd: EX絶唱、雷撃蹴、烈火拳な
[2783.630] サカザキ: 全キャラ知らないとな
[2784.808] (S)asukabunka_atakku: トーク上手だから解説とか向いてそう
[2785.170] カットマン: 試しに誰かの解説練習してみる？
[2786.208] mamoniru: 知識を早いスパンで言葉にするのは練習いるぞ
[2786.944] natsume1313: JPの技名言ってみよう
[2786.983] 7kusagayu7777: SAの名前全部言える？
[2788.012] ryoptap: おもしろさ路線は空いてんじゃないか。
[2788.329] hana_deka: OWの解説目指そう
[2788.748] きょー_1213: ないあるであれば絶対ある
[2789.684] nyannyannyan11: プロシーンは良さそうだけど、ストリーマーとかのモダンはいける？
[2789.792] (S)gazesd: ハメちゃんに師事して
[2790.962] みはる_雨月: 星のコテツさん枠でしょぉ
[2791.348] metallichisasan: 喋れる内容が多すぎて、逆に咄嗟の選別に困りそう
[2791.358] サーラ_スペースアヒージョ: 絶唱とか烈火って言ったらダメなんかなぁ？
[2791.403] kakugedaisuki: 全キャラの特性とか読みあいポンととか有利不利とか全部把握するの大変そ～
[2791.631] takubon79: ヌキさんの解説参考になるかも
[2792.441] (S)ゆるっさん: これ対策ですねーって解説してるなるおがみてぇよ
[2793.859] (S)zyaponica: それを言語化しないといけないからそれがむずいんやない
[2794.377] はせぽん: 技名は最悪実況側が教えてくれればまぁ
[2796.193] (S)すぐるん: タツヤに解説のコーチングしてもらうか
[2796.877] tkdk2231: akiとラシードだけ不安か？
[2796.927] Vakanori1: アキラシードエドとか全然わからんだろ
[2796.967] (S)nononono_uhoho: 全キャラマスターぐらいはやっときたい
[2798.561] (S)MasudaTheMenace: ダルシムの解説とかできんわな
[2798.785] しゅーかいおくれ: ガードしてのフレームとか教えてくれるイメージ
[2799.494] akiraz3: うまいポイントで選手あげていくスタイル
[2799.499] mifune1046: かじゅちゃんと解説できてるじゃん！
[2801.386] (S)えむしーぽんぽん: 絶唱とか言ってるのに大丈夫なの
[2801.896] basiclife123: どのへんがうまいポイントなのか教えてくれよ
[2803.304] (S)あんしつ: バトルハブでリスナー同士対戦させて解説の練習するのも面白そう
[2804.263] onrinr: 全キャラマスターやっときたいねね
[2804.827] ry0444: ハイタニは資料見て覚えてる
[2804.897] (S)emptyeyes666: 頭のおかしい格ゲーマーランキングぅ～～～～とかもう言えないよ？
[2805.050] (S)nanno114: 技名はなんなら実況の仕事
[2805.225] IMULTA: 解説でよく出る単語メモるか
[2805.293] loot446: 全キャラマスターやるか
[2807.264] oyatu_2454: 解説の勉強するより今触ってないキャラ触って理解深めたほうが良くない？
[2808.910] chahaaaaan: ハイタニなんでも知ってるもんな
[2811.626] (S)にしん__: 解説で技の説明することもあるんじゃ＞
[2812.157] XTVYVTX: かじゅいいリアクションするなあ
[2815.784] manul_neko_suki: カミナッチャ！とか言っちゃだめだぞ！
[2815.831] 桂歌丸: 技名なんて後で覚えれば良いんだよ。解説に必要なのは意図をわかりやすく見る専の人に伝えること。
[2816.338] みはる_雨月: ハメコさんとは違う方向でキャラ出せばいいと思う
[2816.768] (S)見るぞ: 今実況も解説も引っ張りだこで人手足りてないぽいから需要はあるよ
[2817.745] あつくん_バトル公民館: 余力があればモダンも触るといいんじゃないかな
[2818.260] ramune_since1973: 格ゲーおじみたいに解説したら？
[2818.338] sly_igozei: ももちが全キャラの知識あるからすごい
[2818.720] ｾｲ: かじゅうまいな
[2818.921] mayotyon: かじゅやるねぇ
[2819.248] (S)yakamotsi: 読み合い解説いいなぁ
[2820.262] (S)のうみそきんにくん: どぐらは鉄拳の仕事の時は技名言って誤魔化すぞ
[2821.176] (S)459dmaito: たまにパッションだすの大事だね
[2821.955] sndkzfm1: かずのこはきちんと安全飛びって言うからな
[2821.979] loot446: かじゅすごいわ
[2824.056] (S)馬娘で破算した男: くだらねぇ〜とか言っちゃダメだよ
[2824.422] (S)nononono_uhoho: モダンの解説とかむずそう
[2824.952] (S)ざあく: 解説でカミナッチャとか言うなよ
[2825.411] aiukake: かじゅわかりやすくていいね
[2825.429] みはる_雨月: 緩い大会向けとかさ
[2825.707] mifune1046: 「カミナッチャ」とか言うなよ！
[2828.495] (S)ありがたかし: レアキャラの解説とかいける？
[2829.114] johndoe6523rp: 面白路線でいこう
[2832.078] uhohouho: ハイタニさん全キャラのモダン操作も知ってるからな
[2833.201] gorilla_osaka: かずのこ解説わかりやすいな
[2833.444] れすみず: Mルークやってなかったけ
[2834.772] いふく: なるお絶対今のカミナッチャ言うでしょ
[2836.320] echoesact48: 解説でカミナッチャやめてね
[2837.362] banana25252525: かじゅうめーじゃんｗｗ
[2837.841] bonjiri7: キャラの声真似とかいらないから絶対やるなよ？絶対だぞ？
[2840.002] (S)なをくん: カミナッチャ出ましたねぇで行こう
[2840.823] wacky0000: ジェイミーの解説で烈火、雷撃、絶招禁止ね
[2841.126] (S)がすいんニキ: かじゅって凄いなーって改めて思うわ
[2841.955] red_bird_oo: ｗｗｗ
[2842.477] kakugedaisuki: あーそっかモダンも知っとかないといけないか
[2842.752] tamano12321: ハイパーボッ
[2843.083] みはる_雨月: かずのこさんは声が落ち着いてて説得力あるよね
[2843.331] kobayan86BRZ: むしろなるおの場合はカミナッチャとか言わないと他の人と差別化が・・
[2843.402] nagoyan138: さっかーの松木安太郎路線は
[2844.139] banana25252525: かじゅ以外とうまいのなｗ
[2844.171] mifune1046: まさか被ったw
[2844.608] TROI_Just: 解説中にセリフ言うなよｗ
[2844.682] カオカザリヒメフクロウ: それやめてね
[2844.872] shibaponz: ぶしゅーんとか言うのか？
[2845.464] tkdk2231: なるおは詐欺飛びはでいてくれよ？
[2847.223] taarno: 普段冷静な解説がたまに実況みたいなリアクションすると凄さを感じる
[2847.863] くろてん: カミナッチャは皆求めてるだろ
[2849.353] loot446: ガヤ芸人枠
[2850.213] たかゆきくんさん: 英語圏にも配慮できますと
[2851.433] LanfanV5: かじゅの解説いいな
[2851.810] XTVYVTX: デュクシ！デュクシ！
[2853.140] (S)ヴィスタ: ルークがSA3したら急に「全力ゥ！！！」頼む
[2853.677] チャミさん: 大会主催したいけど解説欲しいのでなるおさんにお願いして良いですか()
[2854.822] 趣味垢0817: 今の「追うということはガードが疎かになる」を使っていこうぜ
[2854.942] カットマン: 芸人の合いの手感覚でいいんじゃないかな
[2856.000] ry0444: オープン大会とか色んなキャラ知ってないと話せないか
[2856.092] (S)めしをくえ: ハメコさんは各キャラの知識で対策行動とか解説してくれて、かじゅは相手の心理を解説してくれるからわかりやすい
[2858.827] (S)EGA0721: カウンター確認とかも知っといた方がいいのか？
[2860.444] ryoptap: パッションメインの解説者いないしいいんじゃない
[2861.177] motwonki: こうやって聞くとかじゅってめちゃくちゃ解説声じゃん
