[23.083] rilakkuman: てゃ
[1305.459] (S)イエール: バナナはトリプトファン効果でメンタルにもバッチリ
[1305.571] (M)Moobot: ** これ、配信で使ってます ** → オススメ https://hyperx.gg/3F6rGNO
[1312.611] ぬーぼー2: バナナのお手軽感サイコー
[1325.422] sne_con: 2週間前の穫れからずっと風邪！？
[1329.191] (S)ましゅダヨ: バナナも栄養豊富でいい！あとやっすい
[1330.868] (S)ponponguripon: でもキウイの皮普通に食べる子同級生にいたなあ
[1333.131] とろきりで: チュンリーをかわいいということになぜか抵抗がある
[1333.265] 新ころりん: バナナはフィリピン産より南米産がネットリ食べごたえあっていいで
[1337.295] 食用ばるさみこす: バナナはなんであんなに都合が良すぎる形してるのか
[1356.220] bec118_japan: バナナって種どこにあるの？
[1359.982] johndoe6523rp: ウメさん冷凍フルーツとかも良いっすよ。今の季節冷たすぎるけど
[1363.853] 蝉時雨: バナナはまじで俺らに食べられるための形してる
[1364.096] v_harumi_v: 小さいつぶ
[1365.145] (S)ましゅダヨ: もう春麗は美人って言う方が合うかなあ？
[1367.695] (S)イエール: あいつは花弁なんだっけ？だから種はなかった気がする
[1368.589] potocki1810: すばらー
[1370.365] (S)日本語かな: 真ん中の芯みたいなところにあるやん
[1371.537] Ceciltaisa: アイイ
[1371.840] クラクラ777: ないすうう
[1374.891] v_harumi_v: 品種改良して種が小さくなったはず
[1376.043] 蝉時雨: エクアドルのバナナ美味しくなかったっけ
[1379.141] sh1zuku716: ハイタニ曰く南米のバナナはまずいらしい
[1380.676] hakka_s: 柿はビタミンCが多いよ 今年のやつ甘かった
[1387.214] 新ころりん: エクアドル産はおすすめ
[1392.095] (S)イエール: エクアドル......。
[1423.303] bec118_japan: ほえー
[1425.124] クラクラ777: うま
[1430.356] 新ころりん: チリとかそこらへんも似た感じなんでおすすめやで
[1434.095] aranami0: うっまあ
[1435.318] (S)イエール: うおお
[1438.144] (S)日本語かな: 低空百烈対策でたー
[1448.932] お兄ちゃんお姉ちゃん: チリって言われても長すぎてな
[1449.576] one596: 低空狩りあんな感じになるんだ
[1451.279] sne_con: なにそれすご
[1451.645] aranami0: 対策エグい
[1452.041] quarrelkick: これなんでスカるんだ
[1452.550] v_harumi_v: ないす
[1452.774] (S)イエール: アイイイイ
[1454.613] 新ころりん: ガチ美味いの食べたいなら台湾産の年１しか食えないバナナも探してみてね
[1454.815] 蝉時雨: これめっちゃ効くね
[1460.714] Reopon_: もういっちょ
[1461.859] ぬーぼー2: 低空封じられたらどうしたらいいのよ！
[1462.019] (S)軽く捻るか: ナイス！
[1464.413] たくあんどす: しゃがみだとスカるんだっけ
[1468.145] (S)ましゅダヨ: 柿はすこし苦手だけど、栄養のために食べてる。
[1469.609] Armaeterna: 百烈はしゃが大？
[1471.994] 蝉時雨: なんでバナナの博識ニキがいるのw
[1474.213] warotyphoon: 相手が浮いたら立っちゃうじゃんねえ
[1481.290] hakka_s: 台湾のバナナ美味しそう
[1494.197] クラクラ777: うめぇ
[1495.515] (S)日本語かな: 低空百烈はしゃがみ状態に当たらない。あと+5から投げても確定にならない。
[1499.064] (S)ましゅダヨ: えらい
[1508.203] (S)ponponguripon: 台湾のバナナって高いイメージあるわ
[1515.034] (S)omega312312: だからＳＦＬ見てても春麗低空打たないんだな
[1521.373] white_mantis: ささるうｗ
[1521.635] v_harumi_v: ないすーー
[1523.364] gorogorogorn: ケンの配信だからかな
[1524.523] クラクラ777: 盤石
[1527.692] bbooou: うめぇ
[1529.056] 憂う者の弟子: その百裂は知っている
[1529.132] Reopon_: またまたぁ！
[1529.136] Ceciltaisa: すかるんですねー
[1530.246] Armaeterna: すげー
[1534.310] Hitode_noko: ウメチャン今日作画めちゃくちゃいいね
[1536.949] aranami0: 春麗こんなに対策出来てるのヤバ
[1544.233] 吉田じんぎ: ウメちゃんちょっと発見が2つあるんだけど聞いてくれないか？
[1544.309] クラクラ777: 今日きまってるね
[1545.998] (S)ましゅダヨ: ビジュよし
[1556.586] Reopon_: 百烈はしゃがんでたら当たらない感じですか？
[1556.800] クラクラ777: お
[1560.476] dennylee3746: Will Mr. Daigo participate in this year's CPT?
[1562.319] (S)イエール: 😺👉ヨシ
[1562.738] bec118_japan: じんぎにぃだ
[1563.009] bbooou: 中パンてフェイント？
[1564.771] Armaeterna: キャ、キャミィは対策どうすか？
[1566.743] johndoe6523rp: じんぎにぃ
[1567.169] v_harumi_v: わくわく
[1567.621] warotyphoon: 武器屋が
[1567.672] (S)dadadai17: 発見！？
[1569.133] potocki1810: わくわく
[1569.353] Ceciltaisa: どうした急に
[1569.824] (S)軽く捻るか: なんだろう
[1570.043] (S)日本語かな: じんぎにぃ〜
[1573.198] noritama58g: o
[1574.695] てゅぽーんかも: 食いつきｗ
[1576.305] (S)イエール: 武器屋！
[1577.028] クラクラ777: 武器商人
[1577.321] 吉田じんぎ: まず、中pから奮迅大kと奮迅昇竜が繋がるの知らなくて、これがなにに使えるかと言うと、シミーでしゃが大pから急停止中p奮迅大kSA3てやるとコスパが良くて5000減る
[1579.026] (S)ましゅダヨ: あー！！そうか！
[1581.859] お兄ちゃんお姉ちゃん: @dennylee3746 no by far
[1582.401] riku_0726: 発見！
[1584.019] bec118_japan: タイミングよ
[1584.655] りんごれっど: ウメちゃんDJ戦得意？
[1589.339] potocki1810: たいみんぐｗｗｗ
[1589.566] gorogorogorn: 第２のワラキヤか？
[1595.830] クラクラ777: ながれる・・・
[1601.250] Goodwisp: 流れるから武器転売しろ～
[1606.484] Hitode_noko: 対戦の合間に書いてあげて...
[1611.578] シミズム: エンター押すタイミングよ
[1615.804] たくあんどす: お前らコメント流すなよ？
[1618.687] chanmipoin: 一旦流すぞ！！！
[1623.644] 蝉時雨: いや、俺らが転売しよう
[1625.843] (S)日本語かな: はえー
[1627.163] potocki1810: わかりました！
[1628.320] クラクラ777: いったんね
[1633.314] one596: じんぎ兄ってWWでウメちゃん追い詰めたケンだっけ？
[1634.819] ぬーぼー2: コピペの民！たのむよ！！
[1640.073] (S)ましゅダヨ: いやマジで髪型決まってるしおはだもつるんとしてて最高かよありがとうございます尊
[1641.200] OKG_TWIN: 吉田じんぎ (jingi_65536): まず、中pから奮迅大kと奮迅昇竜が繋がるの知らなくて、これがなにに使えるかと言うと、シミーでしゃが大pから急停止中p奮迅大kSA3てやるとコスパが良くて5000減る Cheer100
[1643.386] (S)イエール: 強いネタだったら神器と呼ぼう
[1643.590] punpunjp_: なんか音ズレしてる？
[1644.011] 憂う者の弟子: 転売CHANCE
[1644.601] Jam10505: OK!
[1650.899] tsubame0614: すげぇｗ
[1655.160] dennylee3746: @お兄ちゃんお姉ちゃん OK THX 
[1660.096] Ceciltaisa: ビッツ一閃！
[1662.150] (S)日本語かな: 中パンって立ち？しゃがみ？
[1679.563] pekusuyada: 神器にい〜
[1696.153] Hitode_noko: じんぎ兄もっとゲートオブバビロンしてって！
[1699.528] 吉田じんぎ: 立ち中pだよ
[1719.844] (S)イエール: 吉田神器を奉納せよ......。
[1720.848] maddy2623: OKG_TWIN: 吉田じんぎ (jingi_65536): まず、中pから奮迅大kと奮迅昇竜が繋がるの知らなくて、これがなにに使えるかと言うと、シミーでしゃが大pから急停止中p奮迅大kSA3てやるとコスパが良くて5000減る Cheer 100100
[1736.712] とろきりで: マトリョーシカ…
[1738.122] chanmipoin: まだ流すぞ
[1759.723] (S)イエール: ぐええ
[1760.051] ぬーぼー2: コピペのコピペ
[1763.551] tabibitox: 吉田じんぎ (jingi_65536): まず、中pから奮迅大kと奮迅昇竜が繋がるの知らなくて、これがなにに使えるかと言うと、シミーでしゃが大pから急停止中p奮迅大kSA3てやるとコスパが良くて5000減る
[1775.808] chanmipoin: 今だ！
[1778.648] hojihojidx: 中Pは基本立。しゃがみの場合は「しゃが中」。しゃがみ中Kは「中足」が一般的かな？
[1780.317] Hitode_noko: ラウンド間に読むには長いか
[1780.531] (S)日本語かな: 立ちか〜。しゃがみ中パンの方がダメージ高いけど奮迅繋がらないとかコマンド忙しいから立ち中パンの方が安定するんかな。
[1782.286] chanmipoin: 吉田じんぎ (jingi_65536): まず、中pから奮迅大kと奮迅昇竜が繋がるの知らなくて、これがなにに使えるかと言うと、シミーでしゃが大pから急停止中p奮迅大kSA3てやるとコスパが良くて5000減る
[1782.499] (S)ましゅダヨ: 無限コピペw
[1793.217] ぢょごぢゃん: まだ早かった
[1793.807] (S)イエール: 無限吉田w
[1812.781] maddy2623: umeKazushi
[1817.967] makibisi8787: 吉田だらけ
[1820.979] (S)イエール: インフィニティじんぎ
[1825.823] (S)日本語かな: 同じこと言ってて草
[1833.875] Ceciltaisa: コスパがいいらしい
[1835.225] 吉田じんぎ: 立ちだよ
[1841.881] kimie_white: 吉田！
[1858.230] shellfish55: つながんの？
[1861.784] takahashiseigi: 有識者の吉田じんぎ氏
[1869.918] hataomasami: レバー音が心地よい
[1878.015] Hitode_noko: 立中pの活用術
[1878.134] sachertorte1832: しゃが中中迅雷強KSA3ルートより減るのかな
[1878.818] aranami0: レバーじゃないよ
[1880.913] (S)日本語かな: レ、レバーレスです…
[1884.784] (S)イエール: レバーレスやで......。
[1887.261] hataomasami: e?
[1891.674] bec118_japan: レバーレスレバーだよ
[1892.222] ぬーぼー2: イマジナリーレバー
[1899.641] hukohuko: 心のレバーの音だよ
[1900.598] sne_con: 髪鬱陶しそうだなw
[1901.314] Hitode_noko: それは幻聴です...
[1901.467] v_harumi_v: 立中Ｐだそうです
[1907.605] kimie_white: 脳内にレバーがある
[1907.728] (M)Moobot: ** これ、配信で使ってます ** → オススメ https://hyperx.gg/3F6rGNO
[1909.120] とろきりで: 存在しない前提で存在する棒
[1917.279] Reopon_: おーまーがー
[1920.587] hataomasami: レバーっぽい音なので勘違いしれました
[1924.083] moricocoa: GravityKSポコポコするよね
[1925.295] twitchyarutch: レバーはもっとグリグリって感じ、レバーレスはぽこぽこ
[1935.950] ぬーぼー2: でもわかる気はする
[1939.124] yito678: 🦃 🦃 
[1940.203] (S)イエール: ええんやで。分かる......。
[1941.800] ぢょごぢゃん: レバーっぽいですわ
[1942.371] (S)日本語かな: グラビティKS静かだよー
[1943.441] one596: ガコガコするとレバーかなってなるよね、分かる
[1944.540] りゅうぅ_: もとぐるぐるぐるーで
[1951.118] (S)イエール: 静音レバーとかあるしね
[1951.409] kimie_white: RAPのレバーだとこういう音するね
[1953.203] tsubame0614: 彼の頭の中に突如現れた存在しないレバー音
[1954.237] maddy2623: ノイキャン切ってからすごい音するように
[1954.368] blackcoffee0821: ああ でもレバーと思えば聞こえる
[1956.356] 吉田じんぎ: いやー中pから奮迅繋がらないって先入観だったよね
[1959.587] ys120: 弓の達人が弓を忘れたみたいなあれ
[1961.940] Hitode_noko: レバーを軸に擦り付けるあのガゴガコ音が良いのは分かる
[1968.038] ぬーぼー2: 心地いい音だよねえ
[1971.738] りゅうぅ_: 音で分かるからね
[1973.490] きゃすさん: もうすぐ13時
[1974.568] tabibitox: 対戦でためす男ｗ
[1981.662] v_harumi_v: はやい
[1982.100] Ceciltaisa: トレモ行くか
[1983.649] johndoe6523rp: ほえ〜
[1984.891] (S)イエール: おぉ！
[1985.275] hojihojidx: トレモいこ
[1989.483] hataomasami: というか、レバーレスも結構音するんですね
[1990.011] moricocoa: 中Pからキャンセルってほぼ無いもんな
[1996.747] (S)日本語かな: これだけ確かめさせて〜
[1996.797] ぬーぼー2: ただいま13時ちょうど
[1998.208] shellfish55: いけんのか
[1999.034] クラクラ777: きづきのひと
[1999.759] aranami0: てゃちょっと待って！
[2000.007] (S)イエール: 素晴らしい......。吉田神器に改名してくれぇ！
[2002.681] ぢょごぢゃん: りゅうてゃ
[2003.091] potocki1810: ｗｗｗｗ
[2003.523] zunoji: 赤紙
[2006.848] 吉田じんぎ: 中中より火力出る
[2007.784] Hitode_noko: 貼ったげて！
[2007.850] カブトシロ: 勉強だー！
[2012.248] 吉田じんぎ: 中大か
[2013.164] warotyphoon: アケコンはうるさければうるさいほど良い
[2013.410] twitchyarutch: 三和の新静音レバーだと似た音なのかな？
[2014.756] (S)ましゅダヨ: 赤紙www
[2017.113] ぬーぼー2: これがのちの吉田式である
[2020.030] Armaeterna: え？ウメちゃん神器持ちなん？
[2024.911] akiaki0612: 万歳してお見送り
[2027.975] (S)日本語かな: 伊波嫉妬コンを強化じゃ！！
[2029.585] v_harumi_v: 吉田じんぎ (jingi_65536): まず、中pから奮迅大kと奮迅昇竜が繋がるの知らなくて、これがなにに使えるかと言うと、シミーでしゃが大pから急停止中p奮迅大kSA3てやるとコスパが良くて5000減る
[2056.499] tabibitox: ほんまやｗ
[2056.613] magu_dx: おお
[2056.870] (S)Negioh: タゲコン行かないほうが減るんだ
[2057.918] 成吉大: あ 高い
[2058.196] クラクラ777: へりすぎいいいいいいいい
[2058.751] aranami0: いやすごｗｗｗ
[2058.756] (S)ましゅダヨ: ほー！
[2058.811] ぢょごぢゃん: w
[2060.339] zunoji: ちょうど5000
[2060.870] 蝉時雨: じんぎニィ
[2061.034] Loytory: すご！
[2061.262] たくあんどす: うおおお
[2061.850] ぬーぼー2: つええ
[2062.514] dyechi: ピッタリ
[2062.694] v_harumi_v: じんぎにぃ！
[2063.529] Armaeterna: やーばい
[2063.609] teruharu_: じんぎにいありがとーーーー
[2063.687] 憂う者の弟子: ついにバレたか・・・
[2063.749] 新ころりん: まさかの盲点
[2063.886] あき_04: えええええ
[2064.434] (S)ponponguripon: どうしてなの
[2064.804] potocki1810: ありがとーーー
[2065.255] twitchyarutch: お得ー
[2065.297] (S)ましゅダヨ: あれれれ！
[2065.390] shifoncafe: sugeeeeeeee
[2065.456] (S)日本語かな: しゃがみ中パンはダメなん？
[2066.669] moricocoa: ドライブゲージ無しでコスパいいな
[2066.701] shellfish55: こんなんあったんか
[2067.550] johndoe6523rp: ピッタリ5000！
[2067.716] maddy2623: お手軽っぽいしいいじゃん
[2067.830] aranami0: じんぎ！じんぎ！
[2068.697] warotyphoon: 神器
[2068.799] (S)イエール: うおおお
[2068.924] bec118_japan: 400増えとる
[2069.884] (S)ましゅダヨ: すげええええ
[2070.781] muccmukk: また一つ強くなってしまった
[2071.394] sinatra0810: まじだった
[2071.821] v_harumi_v: 👏👏👏
[2071.859] (S)イエール: 神器！
[2074.442] balthazar000: ケンの火力高いじゃんねぇ
[2074.990] akiaki0612: 謎の武器ボーナス
[2075.185] tama_ko: 勉強になったー
[2075.648] クラクラ777: みんなの先入観ｗ
[2075.880] 成吉大: 確認も出来る 高い
[2076.461] Hitode_noko: じんぎ式じゃんねぇ！
[2077.237] teruharu_: すーごい
[2077.985] johndoe6523rp: じんぎコン
[2078.498] (S)イエール: 吉田神器店！
[2080.168] SUGAKIYA: ゲージ効率えぐｗ
[2081.096] たくあんどす: もう一個あんのか？
[2082.600] tabibitox: ２でもけっこう減るな
[2083.424] yito678: daigo main ryu
[2083.677] 吉田じんぎ: いやー先入観だよね
[2084.002] maddy2623: じんぎの神器
[2085.079] gorilla_osaka: 見慣れない動きで違和感あるわ
[2087.153] akiaki0612: レア武器ゲット
[2088.259] dyechi: SA2でも4000か
[2088.592] komay38: 赤紙
[2088.759] Loytory: 神器！！
[2089.635] goodkey44: 前蹴りSAは必殺技キャンセルSAの即時補正かかってないんか
[2090.017] nakau_hage: 武器商人ありがてぇ
[2090.191] kurobedam: 吉田式粉塵SA
[2090.503] tsubame0614: 赤紙きた
[2090.531] danny_love_danny: 吉田さんありがとおお
[2093.336] (S)日本語かな: 赤紙
[2094.075] (S)マンゴスチン: りゅうてや
[2094.313] あぱれる君: ノーゲージすげー
[2094.870] tabibitox: 赤紙
[2095.544] ぬーぼー2: さっそくちゅうてゃに食らわせるか
[2096.068] gftakataka: 80パーSAいいねえ
[2096.207] (S)sugi_tree3: りゅうてゃ
[2099.377] kurone_2022: りゅうせいちょっと待ってな
[2100.319] SUGAKIYA: 悪いなりゅうせいウメちゃんは今じんぎに夢中だ
[2100.429] 新ころりん: 赤紙が届いた
[2100.886] ledlight9413: 吉田理論
[2101.931] Jam10505: りゅうてやちょっと待ってね！
[2102.789] 蝉時雨: りゅうてゃちょっとまってね
[2105.141] (S)イエール: りゅうてゃに神器ぶち込もうぜ
[2106.192] (S)ましゅダヨ: 赤紙きた……
[2106.558] akiaki0612: 出兵です
[2108.847] クラクラ777: このちょっとがでかい！！！
[2109.709] teruharu_: うれしい
[2109.733] 吉田じんぎ: もう一個が、低空百烈に323昇竜出そうとしたらくらうこと多くて、調べてみたらこのゲームガードしながらしゃがむと1fでしゃがむけど、2や3でしゃがむとしゃがむのに4fかかってるからくらってた。プラス5から投げてしゃがむと分かる
[2110.815] (S)日本語かな: じんぎにぃありがと〜
[2111.517] danny_love_danny: ちょっと大事
[2112.230] (S)ましゅダヨ: おおおおおお
[2114.135] (S)ponponguripon: あ
[2114.867] eronmask508: 伸びしろですねぇ！
[2115.091] あさご: TwitchConHYPE
[2116.067] Hitode_noko: りゅうせいごめん、今新しいおもちゃが届いてね...
[2116.118] zunoji: 徴兵
[2116.295] maddy2623: もう一個あるってよ
[2116.746] v_harumi_v: じんぎにぃ素敵情報ありがとー
[2117.625] danny_love_danny: まだあったあ
[2119.238] ぢょごぢゃん: 難易度変わらず伸びたのはでかい
[2119.518] とろきりで: 新しいの来たｗ
[2121.658] nanaumemayo: タイミング笑
[2124.530] maddy2623: 流れるって
[2125.544] akiaki0612: デイリー武器ボーナス
[2126.153] (S)ましゅダヨ: のびますなあ！
[2126.553] カブトシロ: まだまだ新しい発見あるんやね。
[2126.566] たくあんどす: お前らコメント流すなよ？分かったら返事しろ
[2128.101] Hitode_noko: もう一個神器があるそうです
[2130.127] potocki1810: もう一つがｗｗｗ
[2130.813] SUGAKIYA: やばい情報もう一つ来てます
[2131.123] クラクラ777: りゅうせい・・・くらってみるか？
[2131.976] feel2525: 武器商人来たな
[2132.179] v_harumi_v: はいですー
[2133.952] toshiyuki_o: りゅうてゃ？？
[2134.118] 蝉時雨: ついでになんか別の情報も来てて草
[2134.179] (S)ましゅダヨ: はあい！
[2134.588] tabibitox: 吉田じんぎ (jingi_65536): もう一個が、低空百烈に323昇竜出そうとしたらくらうこと多くて、調べてみたらこのゲームガードしながらしゃがむと1fでしゃがむけど、2や3でしゃがむとしゃがむのに4fかかってるからくらってた。プラス5から投げてしゃがむと分かる
[2136.551] 成吉大: メモっとこう
[2138.042] ぬーぼー2: まだあるの！？
[2142.544] Jam10505: わかった流さない！いいなお前ら？！
[2143.853] はおすけ: ありがてぇなぁ
[2145.084] (S)y_proto: ケンにもまだ伸びしろあったのか
[2145.137] クラクラ777: へー
[2146.317] (S)イエール: すげーなw
[2162.131] johndoe6523rp: えぇ！？
[2167.145] SUGAKIYA: 2もしゃがむフレーム変えてるの絶対意図的だなこれ
[2167.672] 蝉時雨: ケンって伸び代もうないと思ってたわ
[2168.745] クラクラ777: まだ隠し味がいっぱいある
[2171.157] Moneybagzzzzzzz: daigo must love playing this guy
[2175.488] v_harumi_v: フレーム違うのね
[2177.517] yito678: daigo send me some ramen from Japan
[2180.394] one596: たまにちゃんと有識者いるのがコメ欄の面白いところw
[2181.517] ぬーぼー2: 細かい仕様よく気づくな
[2183.139] kimie_white: 吉田じんぎにぃコメントタイミングはブロンズか
[2184.883] クラクラ777: これはしこんでるねぇ
[2185.027] aranami0: 糖分もとれて試合の合間に簡単に補給できる…フルーツまさか強キャラ？
[2188.401] 四四一六: これがMでも出来るってのがむちゃくちゃ嬉しい！
[2196.881] (S)イエール: コメントタイミングブロンズは笑うからやめろw
[2199.479] クラクラ777: Ｍでつかえるのやばいね
[2200.115] une3333: お、りゅうせいさん
[2204.623] bec118_japan: たまにというかじんぎにぃとは大会でも当たってるからな
[2207.118] i_am_spartan300: ガードしながらしゃがむのがいいのか
[2215.658] とろきりで: 手打ちだからこその間の悪さ
[2216.456] 吉田じんぎ: スマホは遅延がね
[2218.836] maddy2623: なんか色々小ネタ出てくるねぇ 同時押しの優先順位とか
[2228.397] (S)イエール: 神器兄すげー
[2232.362] chanmipoin: ２でしゃがむことってあるか？
[2233.558] Hitode_noko: あー、確かにMでも使えるコンボなのか
[2236.593] johndoe6523rp: スマホからわざわざありがてぇ
[2248.706] SUGAKIYA: しゃがみ昇竜入力する時に2、3しゃがみはするでしょ
[2249.218] potocki1810: だめだーｗ
[2249.459] ねこざけ: りゅうてゃって誰？
[2251.579] Poterinn: 323でも結局立ち経由してるってこと？
[2255.431] 蝉時雨: りゅうせい
[2255.436] (S)イエール: りゅうせいくんだよー
[2256.113] sndkzfm1: りゅうせい
[2256.309] johndoe6523rp: りゅうせい
[2257.121] v_harumi_v: りゅうせいさんですよー
[2257.445] bec118_japan: りゅうせい
[2258.569] カブトシロ: 使用率高いキャラは情報が多く集まってエエね。
[2258.933] nakau_hage: 塔矢行洋
[2262.084] une3333: 悲しきバーンアウトの性
[2263.069] kimie_white: 横浜流星
[2270.725] ねこざけ: ありがとw
[2271.069] brutal9998: 最近YouTubeでも同時配信してるのは何で？
[2274.136] (S)イエール: 5の時のIDで呼ぶなw
[2275.236] (M)gameinntwitch: おはようございます。問題無さそうですかね
[2279.238] 吉田じんぎ: 2でしゃがむとしゃがむまでに4fかかる。キレそう
[2283.081] Siriaru0520: kskじゃない方のりゅうせい
[2285.813] twitchyarutch: リーガーのりゅうてゃ
[2287.163] Hitode_noko: 今のところ快調です
[2289.075] aranami0: 大丈夫そうっす
[2292.644] v_harumi_v: メンおじさま、おはようございます。問題なさそうです
[2296.569] (S)日本語かな: 大丈夫です
[2300.629] (S)ましゅダヨ: YouTubeで見る人もいるだろうからだそうです
[2309.130] (S)ponponguripon: おこなの
[2309.303] (M)Moobot: Twitch Prime は30日ごとの更新が必要です。お忘れなく！
[2312.096] hukohuko: サイトの規約が変わったのが最近だから
[2317.896] (S)maniademorte: maniademorte subscribed with Prime. 
[2324.772] sndkzfm1: ツイッチの規約が変わってYouTubeでも配信が可能になったとか何とか
[2325.335] kimie_white: vtuberから来た人はyoutube見てそう
[2326.956] v_harumi_v: 規約が変わって同時配信できるようになった
[2328.579] thmelagi: 最近まで規約で同時配信出来なかったんだよ～
[2333.344] (S)ましゅダヨ: メンおじありがとですー！！Twitch側はいい感じです
[2339.556] bec118_japan: 一回1でしゃがんでから3にすれば2fなの？
[2344.800] maddy2623: 俺はいいよの構え
[2346.875] (M)gameinntwitch: YouTube確認してきますー
[2350.988] johndoe6523rp: 第二回ケン研に持っていくネタが
[2351.202] warotyphoon: つべのサムネが可愛すぎる
[2360.132] thmelagi: 俺はタイムアップでも良いんだが？
[2366.074] (S)maniademorte: Daigo eu fiz sem querer ai a inscriçao do prime na moral devolve
[2367.534] kimie_white: なぜひよこなの？
[2369.319] 496shikuro: ゲージ溜まった
[2372.015] hikky722: 参りますぬおぉぉぉ
[2374.054] 메화_梅花: hello!!!
[2376.716] 蝉時雨: まじでツベは誰の配信がわかんねー時がある
[2386.851] (S)ましゅダヨ: あのひよこはうめちゃん作です
[2388.883] (S)y_proto: ブロント式ウメハラ
[2389.775] potocki1810: 羊毛キルトにおはまりになたれた時期があるのです
[2392.814] maddy2623: まだ1試合目だよねｗ なが
[2393.886] twitchyarutch: レバーレス対策なんかな直だとフレームかかるの、でも皆に影響が
[2397.952] お兄ちゃんお姉ちゃん: アムネジア 
[2398.007] (S)日本語かな: フェルトや
[2403.278] kimie_white: どんな趣味持ってんだよウメちゃん
[2408.765] (S)マンゴスチン: 相変わらずのjp
[2410.810] ledlight9413: やめろ！
[2412.818] ys120: その内、羊毛で出来た斧になるやもしれん
[2416.148] grrgotyo: 規約が変わったから同時配信するようになったんですね。シンプルに新たな取り組みはじめんだとばかり
[2416.572] (S)ましゅダヨ: きつw
[2416.598] (S)イエール: ぎゃ
[2417.237] ミジンコ隊長: ひっどいｗ
[2418.141] blackcoffee0821: ヨウツベもけっこう視聴者いるっすね
[2422.145] ぬーぼー2: これぞJP戦
[2440.155] one596: ふ菓子の下下仕込みマージで絵面ヤバいw
[2445.192] Armaeterna: ツベも読んでくれるじゃんねぇ
[2457.702] no_name_0521: KSKが同時配信進めたんだっけ
[2457.972] (S)ましゅダヨ: 毎回1000人くらいはいるから、やった効果はあると思う
[2460.237] white13013: ただyoutubeのリンクを配信に貼ったりyoutube視聴者をかまい過ぎたら規約違反っていう微妙なライン
[2462.271] チャンやま: こんにちは
[2467.045] shimizu_shun: つよつよ
[2467.446] magu_dx: youtubeのサムネかわいい
[2471.053] kimie_white: JP知らない人からするとあれ屈伸で煽ってるみたいに見える
[2472.172] moricocoa: つべは遅延あるけど広告短いのがいい
[2475.086] SUGAKIYA: 変な規約
[2484.684] blackcoffee0821: かまいすぎたらあかんのかw
[2485.991] johndoe6523rp: へ〜そんな規約が
[2486.294] 蝉時雨: ツイッチがあくまで本妻、YouTubeはセカンドパートナー
[2488.444] twitchyarutch: 直接誘導はダメってことかねえ
[2491.608] maddy2623: かまいすぎｗ
[2494.428] お友達2世: boの時jpの攻撃ダメージ入る割にはドライブゲージの回復少なくね？
[2502.824] (S)ましゅダヨ: かまいすぎってどゆこちゃねんw
[2503.473] chikumin007: まああくまでtwitchがメインってことでしょ
[2504.835] 成吉大: 広告もあるからね～ 会社としては
[2505.397] (S)ponponguripon: ジリジリ
[2505.905] 蝉時雨: えっぐ、クソ伸びてるやんそれ
[2509.983] chanmipoin: 中足から4800!?
[2510.082] (M)Moobot: ** これ、配信で使ってます ** → オススメ https://hyperx.gg/3F6rGNO
[2513.104] sndkzfm1: 今どきJP知らないのに屈伸煽り知ってる奴とかおるの？
[2514.094] maddy2623: りゅうせい徹底しすぎだろｗ
[2518.276] shellfish55: え、それやばくね
[2526.687] johndoe6523rp: えっ
[2526.768] Ceciltaisa: twitch好きなんで大事にしてあげて欲しさはある
[2530.483] ぢょごぢゃん: 中足から減りすぎやろ
[2531.228] takahashiseigi: ケンが伸びた瞬間を目の当たりに出来たか…
[2532.302] SUGAKIYA: わからんけどなんとなく煽りに見えるっていうのは感覚なんじゃねえかな
[2538.583] 吉田じんぎ: @kaiosf6 それは減りすぎな気がする、なんか繋がってなくないかな？
[2541.018] 蝉時雨: 中足からほぼ5000って
[2549.616] (S)マンゴスチン: にがさん！
[2561.704] moricocoa: 最強キャラになってしまう
[2563.514] (S)日本語かな: 中足から4500は補正の関係でそんないく？
[2567.832] Hitode_noko: 検証藩！
[2567.916] one596: 下段始動の補正でそんな減る？
[2571.397] SUGAKIYA: 補正から考えると4800は10%にもなってないから
[2572.617] Ceciltaisa: おしいｗｗ
[2572.820] potocki1810: ｗｗｗｗｗｗ
[2573.292] cromagx: xD.
[2573.999] 蝉時雨: 流石に？
[2574.113] maddy2623: あと1秒ｗ
[2575.577] tabibitox: まにあわんかったｗ
[2575.785] (S)rayryeng: WutFace
[2576.846] bec118_japan: 時間稼ぎ性能たっか
[2577.059] ソーラン武士: LUL
[2578.419] (S)イエール: ww
[2579.143] komay38: CA撃たせてよ～
[2579.368] (S)ましゅダヨ: ひやあああ
[2582.302] (S)ritasleep: umeFail
[2583.649] higan1983: ああああ
[2585.159] ミジンコ隊長: caでてればー
[2595.588] hojihojidx: 屈伸が挑発行為として認識されてるのって一番早く同じ行動繰り返せるからなのかな
[2597.293] shellfish55: まぁ中足から5000も減るわけないよな
[2597.913] twitchyarutch: 近頃のYouTubeの配信不調でtwitchと同時配信試してる人もいたな
[2609.174] chanmipoin: よかった...火力押しのリュウさんが更に悲しくなるところだった
[2614.175] 憂う者の弟子: わざとパニカン食らうことによってタイムアップにする高等技
[2618.299] (S)イエール: umeYay
[2620.782] shellfish55: ちゃんと調べてから情報提供してくれ
[2626.958] 蝉時雨: 屈伸はfpsとかでも煽りだしねぇ
[2645.490] maddy2623: 念入りに堪能した後スタン
