[34.119] kobi3070: ｳﾒﾁｬｱﾝ
[5377.718] (S)fahmy0825: @NekkyOne Yeah seems like double input or something
[5378.220] fus1on85: rtzW3
[5378.355] 三角_: ターボボタンとかってヒトボにあるのか？
[5378.526] google_tver: 台パンは？
[5378.684] (M)(S)Moobot: Twitch Prime は30日ごとの更新が必要です。お忘れなく！
[5379.203] (S)osarusan26: ヒトボのどこかに連射ボタンがあるはず
[5379.742] tooyasan1: 離しは関係ない
[5379.911] hato_pizza: そうだよなあ
[5380.380] hojihojidx: 遅い連射だなｗ
[5383.039] myk052: 連射なんて、ウメちゃん使わないから、そりゃーわからんぞ
[5383.419] kiton_taichi: チャタリングみたいな感じかな？
[5385.336] hanamarukii: 通常技は関係ないような
[5386.876] 5don: むしろよくそれで戦えてましたね。さすが
[5388.719] sumidagawa: チャタってるだけじゃね
[5388.898] prisira: おしっぱで連射か分かるよ
[5390.567] pianoniisan: 接触不良でなくて？
[5391.088] oimo: チャタリングみたいになってるとか？
[5394.004] mushikiller: 輦車ボタン押しながら該当のボタン
[5394.014] ry0444: ハードの問題では
[5395.048] yuta123456889655: 重りはいった服と靴履いてました的な？
[5397.829] 1108044k: 壊れてるだけだよ
[5398.788] (S)Hiclere: それだとチャタっぽいよね
[5399.274] (S)aliyome: Option
[5399.421] nikkou18: チャタリングしてんじゃないの
[5399.994] ごんざさん: 抜き差ししてみたら？
[5400.178] (S)マンゴスチン: チャタリングか？
[5401.006] peperon17: メンオジたすけて
[5402.252] tabibitox: 再起動してみよう
[5402.866] GG_sensay: 離し入力は違うよ
[5403.000] balthazar000: そんな項目ある？
[5403.501] ecell11: コントローラの連射設定って分かりにくいよね
[5404.010] nagilay1: おしっぱにして連写かどうかたしかめれば？
[5404.288] ssadwg: ターボボタンない？
[5405.004] pugya7: まず本当に連射なのかどうか
[5407.014] シケモクスッパマン: まず連射かどうかが不明説あるな
[5409.214] (S)osarusan26: 連射ボタン押しながら任意のボタンを押すとそのボタンだけ連射になる設定あります。ヒトボについてるかは知りませんが
[5410.293] prisira: 連射ないんじゃない？
[5410.348] ninpoko13: わからんｗｗｗそのコントローラーのことだからなぁ
[5412.267] 5don: メン王さまの出番…？
[5412.384] 三角_: そもそもターボボタンあるの？
[5412.563] hiro_chan: 抜き差ししてみて
[5413.406] masarin763: オプションからコントロールかな離し入力は
[5414.104] hiisan: 一回抜き差ししよう
[5414.191] はらくだり: 梅ちゃんおはよう
[5414.420] amago3: チャタリングぽい挙動よね
[5416.116] (S)mm2351: ヒトボに連射あんの？
[5416.831] bokuchan44: ボタン交換しよ
[5417.063] 橘めいと: とりあえずケーブル抜き差ししてみては？
[5417.546] ~MISSING_COMMENTER_INFO~: 連射の設定とかあるのかな
[5418.567] google_tver: ぶっ壊すしかない
[5418.646] NekkyOne: tl Please tell me how to fix the continuous fire mode.
[5418.830] (S)しすてむえらー: USB抜き差しをまず
[5420.355] ザワチョク: どんなボタンつかってるの？
[5422.946] yaga506: HeyGuys
[5423.442] てぃけーチカ: 連射かわからないから一旦再起動は？
[5423.646] yusatteyonde: 連写になってたらキーログ弱Pで埋まるでしょ
[5425.300] v_harumi_v: 別のヒトボでも連射になるか試してみるとか？
[5427.906] une3333: チャタ...リング.......??
[5428.784] 1108044k: 連射なら他のボタンもそうじゃないとおかしい
[5429.187] chin_56_: ﾄﾞﾄﾞﾄﾞﾄﾞﾄﾞ
[5430.772] woodmud: チャタレイ夫人？
[5434.236] peko0816: 一度抜けば治るみたい
[5434.589] kiton_taichi: でも昨日は問題なかったんですよね？
[5435.827] tooyasan1: まずコントローラー抜き差ししてみていいと思う
[5435.845] 三角_: ヒトボの会社に連絡しよう
[5436.065] umesecond: スーファミのコントローラーの連射機能しかわからん
[5437.675] 5don: 抜き差し、たしかに試しても良いかも？
[5438.493] hanamarukii: オプションを押しながらボタンで解除できませんか？
[5442.993] 将門ゴルゴロ: 連射状態（二回押し）になる故障・・・チャタリングじゃない
[5443.287] onuki_123: チャタリングだ
[5443.616] メルキセデス: スタートボタン(Option)を押しながら連射になったボタンを押すか、コードを抜いてさし直せば元通りになります
[5443.717] myk052: 連射じゃないね
[5443.977] 三角_: なんか草
[5444.441] higan1983: チャタってる
[5444.544] (S)mm2351: 遅延？
[5444.825] ゴフク屋の倅: テキトーにコマンドしながら長押しで判断できるような気も
[5444.835] 1rioreusu: わろた
[5444.886] てんむす: こわれてる
[5445.397] yesta123: チャタリングしてる？
[5446.765] akira5063: ああ
[5446.771] chin_56_: 勝手コン
[5447.197] cririnbou: 壊れてる
[5447.510] ~MISSING_COMMENTER_INFO~: ｗｗｗｗ
[5447.862] thefrozensun_: チャタレイ夫人わろたw
[5447.989] (S)Hiclere: チャタですね
[5448.466] (S)tama_zx61: ｗｗｗｗ
[5448.829] tabibitox: ケーブル抜き差し、ゲーム再起動
[5449.231] vaio_95: 接触くさいなぁ
[5449.373] 1108044k: 壊れてます
[5449.494] naryuhama: チャタってる？
[5449.918] (S)jusankokuki: こわれとるｗ
[5449.992] myk052: これは、壊れてる
[5450.273] prisira: 小パンの接触不良じゃない？
[5450.423] 生田公彦: それはチャタリング
[5450.443] sumidagawa: チャタリングですねｗ
[5450.648] 伸手娘: 修理
[5450.772] pugya7: 連射じゃなくて不具合っぽいな
[5450.835] シケモクスッパマン: チャタっぽい
[5450.890] GG_sensay: 壊れてんじゃんｗ
[5450.924] だいこん_: 草
[5451.297] りあ仮称: あわ
[5452.317] ひろみつー: 壊れてるだけでは？
[5452.878] kumao0000: コントローラーぶっ壊れてるわ
[5453.099] (S)rea0612: 故障くさい
[5453.108] goldexpepe: おかしいｗ
[5453.471] akira5063: おかしいわｗｗｗ
[5453.774] chocolat1234: 摩訶不思議
[5453.889] シンノ: おっかしいな
[5453.916] 屍鬼1220: ボタンつぶれてる？
[5454.477] nikkou18: 勝手に出たならボタンがハード的にこわれてる
[5454.632] okekke: ボタンが悪そうだね
[5454.807] ramenbrake115: 普通に壊れてねｗｗ
[5455.072] ごんざさん: チャタリングか？
[5455.619] zetton_s: 壊れてるやん
[5456.112] (S)rororo1922: 連射ではなさそうやな
[5456.153] (S)黒菌: チャタってそうですね
[5456.270] TUBE_MAN: キースイッチが壊れてるね
[5456.509] myk052: ボタン壊れてますｗ
[5457.971] ninpoko13: ほかのボタンは？
[5457.991] tom260g: チャタリングだｗ
[5458.006] 芋けんぴフラペチーノ: チャタリングだわ
[5458.062] kurowassan11: www
[5458.723] りあ仮称: ボタン交換だけなら
[5458.814] ゴフク屋の倅: 壊れてるｗｗ
[5458.913] (M)(S)Moobot: ＊ HyperX Cloud 3＊ 先行予約受付中！ → https://hyperx.gg/42XVwOf
[5459.057] sugari0225: ｗｗｗｗｗ
[5459.534] WANABeey: 連射設定はスタートボタン(Option)を押しながら特定のボタンを押すことで発動します。  もとに戻すときはスタートボタン(Option)を押しながら連射になったボタンを押すか、コードを抜いてさし直せば元通りになります。  というわけで極力スタートボタンを押す際は他のものに手を触れないように気を付けましょう。  ※PS360+搭載のヒットボックスの話ではなく、”PS4向けHitbox”の話です。
[5459.643] higan1983: あーあーあー
[5459.807] kskfarksk: 1回で三回？！お得か！！！
[5460.006] aranami0: ｗｗｗｗｗ
[5460.010] udukitty: 意思が宿った
[5460.146] シケモクスッパマン: あーーー
[5460.335] (S)50kata: チャタってそうですねぇ…
[5460.555] korekitwitch: 戻ってオプション？
[5460.583] (S)cuomo914: w
[5460.640] レコ214: ヒトボが意思を持った
[5460.827] Jim555a: ｗｗｗ
[5460.869] 絵馬にょ: ああああ
[5461.054] カブトシロ: んん？
[5461.392] akira5063: これはだめだｗｗｗｗｗ
[5461.528] しみずでら: これチャタリングです
[5461.689] sugarsato_: wwwwwwww
[5462.008] ecell11: ボタンがへたれてる？
[5462.398] potocki1810: 楽しくなってきたｗ
[5462.890] doomosan: これボタンの不良じゃね、裏側で抜けかかってるとか
[5463.087] (S)マンゴスチン: チャタリングっぽい
[5463.100] chipstar9: チャタリングかな
[5463.192] ~MISSING_COMMENTER_INFO~: ようそれでやってたなｗｗｗｗｗｗ
[5463.342] nikkou18: ボタンこわれてる
[5463.417] sahaha213: あーーー
[5463.989] gratin_doria: テイすれば治るかも
[5464.570] doduece1111: 勝手に動くw
[5464.694] 5don: ゼビウス買いましょう！ いまならハイスコア狙えます
[5465.042] mike39cc: 変だねw
[5465.158] tabibitox: 離して出るのはおかしくない？
[5465.273] hanamarukii: 壊れてますねｗ
[5465.432] (S)cuomo914: なにそれ
[5465.824] instawww: こーれ不具合です
[5465.958] まるいとうふ: BibleThump
[5466.102] kirakiraname: あああああ
[5466.355] エメラルドスプラッシュ: ww
[5466.958] prisira: それ壊れてるだけ
[5468.005] (S)perfecttakahashi: w w w w w
[5468.224] シケモクスッパマン: 機能じゃない、故障っぽい
[5468.239] gomeeen: メンおじー
[5468.316] goldexpepe: ボタンかな？
[5469.115] casita226: めんおじー
[5469.907] (S)mm2351: 改造の弊害臭い
[5470.471] ddaoenrttrneoadd: Ghost
[5470.587] お茶漬け梅干し味: チャタってそう
[5471.141] 芋けんぴフラペチーノ: 内部スイッチ行ってる
[5471.795] しみずでら: チャタリングです
[5471.830] ギャﾉﾚ: この台チャタリングしてますよ
[5471.835] tanzaku_01089: wwww
[5472.141] mushikiller: 連射ではなくてチャタってる感じか
[5472.903] wmddgpt: 離し入力？
[5473.162] takahashiseigi: 何やこれw
[5473.733] hiro_chan: チャタってる
[5474.210] てんむす: ボタンがへたってら
[5474.266] 5don: ハード不調かなぁ…？
[5474.650] derwace_lifolve: ボタンの反逆
[5475.550] haniwa09: これは壊れてそう
[5475.710] hawawawawawa: 接触不良かチャタリングか？
[5476.724] 生田公彦: 直してもらって
[5477.264] chocolat1234: 高価なものなのに；；
[5477.269] ゴフク屋の倅: 連射というよりも衝撃で出てしまってるのでは？
[5477.555] higan1983: サポートに連絡？
[5478.213] myk052: これは、ボタンの初期不良だと思う
[5478.275] korekitwitch: ボタン改造してる？
[5478.699] 橘めいと: ボタンいったか・・・
[5479.594] jagajaga1943: 連勝じゃないでしょそれw
[5480.297] NekoPunchKick: 故障というかボタンの初期不良です
[5480.618] 生田公彦: えw
[5480.930] (S)shi_e_n: 抜き差ししても同じ症状でる？
[5480.949] 三角_: チャタリングで検索
[5480.977] (S)しすてむえらー: チャタリングなら抜き差しで治ると思う
[5481.503] ramenbrake115: ヒトボに自我が芽生えた
[5481.669] 1rioreusu: 配信おわろう
[5482.457] une3333: チャタリングってなんだ...?
[5482.502] (S)junjamaica: 一回抜いたら？
[5482.906] 000105: アケコン 揺らしてみて
[5483.116] nikkou18: ボタンが機械的にこわれとる
[5483.617] ~MISSING_COMMENTER_INFO~: 抜き差ししてダメならダメじゃないの
[5484.029] goldexpepe: メンテ不良で台パン確定
[5484.238] hiro_chan: 端子抜き差しして
[5484.267] kinakobuta: こんなんで戦ってたのかw
[5484.344] マーヤ: ウメちゃんのハードプレイに文明が負けたか
[5484.369] ごんざさん: ケーブル抜き差しや
[5484.388] 将門ゴルゴロ: マウスとかでもなるチャタリングっすね。ボタン壊れてます
[5485.030] (S)jusankokuki: 梅原名人になれる
[5485.625] moto357: 接触不良だね
[5487.833] prisira: 改造でおかしくなったんだと思う
[5487.977] chin_56_: 腕吊りそう
[5488.207] 生田公彦: おしっぱなの？
[5488.272] NekkyOne: tl Controller is broken.
[5488.440] crazycico03: Option 押しながらどこかのボタン
[5489.095] kumao0000: 新しいの早く送ってくれ
[5489.323] zetton_s: コンボできるわけねえっw
[5490.141] umesecond: メンおじ頼むー
[5490.395] moscat0c7: コントローラー変えてみれば
[5491.363] sugari0225: メンテ必要そう
[5491.430] 5don: CPT精神ではOK？
[5491.658] onuki_123: 変な箱故障
[5492.148] TUBE_MAN: 押してる所カメラに写して
[5492.683] gorilla_osaka: 全然コメント読まないｗｗｗ
[5492.840] 三角_: チャタリングは抜き差しで直るそうです
[5493.258] だいこん_: アシストコパン
[5493.344] UZT_QuadDelta: ヒットボックスならOptionボタン押しながら対応するボタン押せば連射切り替えだけど
[5493.420] しみずでら: チャタリングだから抜き差しで治るよ
[5493.924] doomosan: ちょっと押しながら振動加えればボタンの不良化がわかる
[5494.219] toyboze: あーチャタリングね（？）
[5495.135] 新ころりん: ボタンが逝ったか
[5496.160] higan1983: ケーブル抜いてしばらく様子見よう
[5496.655] nobi_nobi_: 抜き差ししましょ
[5496.898] yusatteyonde: 接触不良ですそれ
[5497.359] naryuhama: 治るかも接種たがらボタン端子部分をグリグリすれば
[5497.371] hiro_k29: 他のボタン大丈夫？
[5497.602] kirakiraname: 抜き差ししろーい
[5498.279] りあ仮称: 連射の挙動ではないね
[5498.668] inago211: みんなアケコンおかしくなるやん
[5499.114] tabibitox: まずケーブル抜き差しと再起動しよう
[5499.558] ~MISSING_COMMENTER_INFO~: 安定してないからボタンがおかしいんすかねぇ
[5499.859] booklaws: 最後は逃げた自分を受け入れるための意地だったんだろうなぁ
[5500.454] peko0816: 「スタートボタン(Option)を押しながら連射になったボタンを押す」って個人の方のブログにありました
[5500.995] bec118_japan: 連射にしたっておかしくね？
[5501.094] 温かいやさむぎ: ホリのやっすい連射コントローラーみたい
[5501.445] mushikiller: 一回バラさなきゃ駄目かもねコレ
[5502.281] hiro_chan: チャタリングだから抜き差し
[5502.746] (S)ymd1222: ボタン変えよう
[5503.613] シケモクスッパマン: マウスでもよくなりますね クリックしてないのに連打されるやつ
[5505.155] ごんざさん: ヒトボならケーブル抜き差しやで
[5506.981] 三角_: 抜き差ししてください
[5507.025] sahaha213: ソレダイゴノ2
[5507.176] (S)osarusan26: 自分の持ってるやつも任意のボタンだけ連射にできる設定あるからチャタリングとは限らないよ
[5507.886] syumahha: 有識者以外コメントしないでーー
[5508.340] 5don: ？？？「これ弱P効かないんですけど」
[5508.441] kinakobuta: 抜き差しやってみてだそうです
[5509.908] akira5063: 増設だから新しくした訳じゃないのか
[5510.284] ry0444: 連射なら押しっぱでずっと入力される
[5510.435] しみずでら: とりあえず抜き差し
[5510.589] PRETTYF0X: ヒットボックスの契約解除やな
[5510.717] balthazar000: キーボードの上に何か乗ってたりしません？
[5511.657] ramenbrake115: 抜いてフーフーしろ！
[5512.264] vespa127g: メンおじ
[5512.384] hatatv: ケーブル抜き差しと再起動で治らなければ寿命故障ですね
[5512.672] れとぅ: シューティング捗る
[5513.292] zetton_s: チャタリングってなんやw
[5513.311] yomogi0610: また直すのも時間かかるの辛いな
[5515.237] nagilay1: Prime Gamingバケちゃんねる (vakech05410): 連射設定はスタートボタン(Option)を押しながら特定のボタンを押すことで発動します。 もとに戻すときはスタートボタン(Option)を押しながら連射になったボタンを押すか、コードを抜いてさし直せば元通りになります。 というわけで極力スタートボタンを押す際は他のものに手を触れないように気を付けましょう。 ※PS360+搭載のヒットボックスの話ではなく、”PS4向けHitbox”の話です。
[5515.829] hiro_chan: ヌキさんしてー
[5516.894] pugya7: 改造した時に変なことになったのでは
[5517.488] gorilla_osaka: いやいやいや
[5517.707] isuta2: ボタンが壊れてます
[5517.786] masarin763: 接続不良というかボタン加圧位置が浅いとかかな、他にくらべて
[5518.157] メルキセデス: これは連射じゃなくて壊れてんなぁあw
[5518.651] (S)しすてむえらー: うめちゃんコメみて
[5518.893] ~MISSING_COMMENTER_INFO~: とりあえず抜き差しして治らないなら不良
[5519.303] (S)fahmy0825: @NekkyOne Hitbox-san. Please fix the buttons lol
[5522.974] akira5063: だめだね
[5523.025] ~MISSING_COMMENTER_INFO~: 初期不良みたいなもんかな
[5524.407] tabibitox: こめみてないｗ
[5525.513] tooyasan1: とりあえず抜き差ししてほしい
[5526.266] v_harumi_v: コード抜き差しするといいみたいよ？＞コメによると
[5532.996] rrrockett: 王の圧にボタンが耐えられなかった
[5535.211] ごんざさん: ボタンなに使ってるの？
[5540.404] (S)chicken_dumpling: his hitbox is broken?
[5541.203] doomosan: 連射じゃないと思お
[5543.715] 三角_: チャタリングじゃないかなー
[5545.597] pugya7: コード抜き差しでも戻るらしいぞ
[5545.941] しびれ: 一回抜けば
[5545.941] (S)しすてむえらー: まずUSB抜き差ししてから
[5546.368] hiro_chan: コード抜き差しして！
[5546.493] てんむす: 2連３連だったりランダムなんだから連射じゃないでしょ
[5548.279] ~MISSING_COMMENTER_INFO~: ヌキ
[5549.347] ~MISSING_COMMENTER_INFO~: うんｗ
[5550.065] chipstar9: 抜き差し
[5553.532] (S)クラウ07: へー
[5554.708] kumao0000: broken
[5554.822] NekkyOne: @chicken_dumpling maybe or something
[5555.004] myk052: ケーブル抜き差しで治らなかったら、ボタンの初期不良
[5558.407] 1108044k: 連射なら規則正しいはずだし
[5558.451] unlimited_teddy: コード抜き差しで直らない？
[5558.588] masarin763: 連射って感じではないね
[5560.631] Vivi_ix: did he try plugging it out and in again?
[5560.662] myanokun: 連射のリズムじゃないでしょ
[5560.852] まるいとうふ: 純愛
[5560.917] りあ仮称: とりあえず、抜き差し試すはありだね
[5562.794] エメラルドスプラッシュ: 簡単に試せることからやねえ
[5564.542] tominaga0331: とりま抜き差し
[5566.142] chin_56_: ふーふーしとくか
[5566.405] hiro_chan: とりあえずコードを抜き差し
[5568.270] onuki_123: チャタってる時の挙動
[5569.882] prisira: 接触な気もするけど
[5571.595] 代弁器ホビムリン: やっぱホリなんだよなぁ～
[5572.297] ~MISSING_COMMENTER_INFO~: 安定してないから故障ぽいすねぇ
[5573.446] 三角_: だめか
[5577.784] zetton_s: EVOでなったら怖いな
[5578.204] NekoPunchKick: ドライバー使うの嫌ならメンおじですね
[5578.318] yomogi0610: 不具合か
[5578.390] bec118_japan: お陀仏
[5578.484] しびれ: 増設した奴が壊れるってついてないな
[5578.869] sugari0225: やっぱメンテ必要じゃない
[5579.601] (S)fahmy0825: @nagilay1 seems like some kinda feature that activated when pressing something?
[5579.871] yukorin65147: とりあえずヌキさしするか
[5580.136] だいこん_: umeFail
[5580.169] kskfarksk: はい
[5580.441] ねすおじ: だめっぽいね
[5580.680] kazuxeno: フー・・・・
[5581.508] v_harumi_v: 抜き差ししてもダメでした？
[5581.710] カブトシロ: また壊したの？
[5581.810] 三角_: こーれコントローラー壊れました
[5582.135] balthazar000: PCさいきどーう
[5582.458] ninpoko13: さよならー
[5582.978] てんむす: 賢明
[5583.275] UZT_QuadDelta: チャタってるのか
[5584.130] kirakiraname: 1時間前から言ってた抜き差し
[5584.652] WANABeey: 残念
[5584.816] (S)クラウ07: だめかー
[5585.169] シケモクスッパマン: 別のん使いまーす
[5585.432] 5don: 有識者の知恵に感謝です
[5585.555] flamanflamingo: さよなら
[5585.584] dustblowers: 連射っぽい挙動じゃないのか
[5585.848] ddaoenrttrneoadd: Call Hitbox customer support 
[5586.036] myk052: これは、壊れてるわｗ
[5586.983] tominaga0331: 前のコントローラーだぁ
[5587.548] ~MISSING_COMMENTER_INFO~: さよなら 
[5588.032] (S)shi_e_n: あらら
[5588.749] 三角_: はいさようなら～
[5589.140] 5don: 知らないことを知れた
[5589.974] prisira: 修理だなw
[5590.047] mushikiller: せっかくの改造が
[5590.099] りあ仮称: 壊れることもあるよね
[5590.628] mike39cc: だめでしたか
[5591.080] ひろみつー: 最悪や・・・
[5592.853] ろいさわ: 初期不良かー
[5593.410] 芋けんぴフラペチーノ: 棒
[5593.972] さかなです: ヒットボックス君・・・
[5594.015] chin_56_: スクラップ
[5594.966] TUBE_MAN: ボタン多いやつの予備あるの？
[5596.167] yukorin65147: とりあえず大貫信也呼ぶか
[5598.192] tabibitox: 穴空いてるの複数あるん？
[5598.840] masarin763: 後でボタン取り換えてみてとかですかね
[5599.151] yomogi0610: 公式で増設したやつ出ないのかな
[5600.495] scottiever06: 故障がはえーぞ！
[5600.793] rasuan103: ボタン掃除か
[5601.617] (S)freyja112: Does he have a backup controller?
[5601.761] hanamarukii: ボタン取り替えれば直るのかな
[5602.534] Nonchico: ボタンのファストン端子抜けかけとか？
[5603.244] 5don: ソレダイゴノ３
[5603.402] らぐず: ヒトボお前船降りろ
[5605.560] unlimited_teddy: ボタン追加して調子崩したのか
[5606.174] yuken_t: まぁパーツ取り替えるだけだし
[5606.588] pugya7: 壊れてる時に対戦したピーノかわいそす
[5606.845] (S)クラウ07: 別のあって良かった
[5606.872] wmddgpt: コントローラー慣れてきたところで
[5608.264] v_harumi_v: キタキタ？
[5609.247] myk052: 連射だと、おしっぱでだだだだだだだだだってコパンが連射されるのよ
[5609.489] 5don: うおおお！
[5611.028] 三角_: ｗｗｗｗ
[5611.383] brunojacaranda: Kappa
[5611.648] NekkyOne: @krisphung88 yep
[5615.505] 1rioreusu: これが普通
[5615.761] yomogi0610: ｗｗ
[5616.346] (S)fahmy0825: @krisphung88 He have Qanba
[5616.790] WANABeey: karubisFurifurii
[5616.855] nikukuisugi333: ボタン増設して大会でぶっ壊れたら大変そうやね
[5617.011] Coedawg: umeCatSleep
[5618.009] 三角_: 普通に出ます
[5618.125] ramenbrake115: ウメちゃん おかえり
[5618.149] haniwa09: 増設した時にこわれちゃったかな？
[5618.697] prisira: はい故障
[5618.772] シケモクスッパマン: やっぱ設定じゃなかったな
[5619.604] (S)mynsh: ヒトボ純正じゃないっしょ？
[5620.355] (S)jusankokuki: 小パンが出る喜び
[5620.634] chin_56_: これが俺の新しい相棒
[5621.387] danny_love_danny: ボタン幾つの？
[5621.687] mike39cc: かなしい
[5621.813] spring__thief: スポンサー新しいのおねがい
[5622.367] りあ仮称: そもそもボタン変えてるから、公式関係ないでしょ
[5624.822] 三角_: はいぶっ壊れ
[5626.437] 5don: 問題の切り分けできて良かったですね
[5626.457] (S)vivfiw: umeYay
[5626.869] kazuxeno: 大会もこの状態で？
[5628.859] TUBE_MAN: 予備もボタン増設してるの？
[5629.399] ~MISSING_COMMENTER_INFO~: よくそれで１０先やったよｗ
[5629.556] hanamarukii: 分解してボタン取り替えてみては
[5629.890] ~MISSING_COMMENTER_INFO~: あ、こわれたぁ
[5633.867] bokuchan44: 消耗品なのでボタン交換
[5634.721] shoryuken8: ダイジョーブ博士失敗したか
[5635.093] ddaoenrttrneoadd: Use MadCatz instead 
[5635.866] mushikiller: ボタン増設版の予備いるねえ
[5640.071] peko0816: 改造すると保証なくなるし簡単に増設できないな
[5640.344] prisira: カスタム2にしたら？
[5640.593] rt340: ボタン配置決まったら予備作っておきたいねー
[5641.392] (S)mm2351: 最初からボタン多いヒトボ新作だしてー
[5643.061] ハットリ001: 改造のリスクこわいねえ
[5643.193] 1108044k: ウメちゃん自分でメンテで気ないタイプだから
[5643.265] bec118_japan: 静音ボタンよそりゃ
[5652.009] foo_twitch: 増設したボタンと内部配線の過程で接触が怪しいのかな、一定の入力がないなら連射機能じゃなさそう
[5653.443] ~MISSING_COMMENTER_INFO~: またボタン配置覚えます
[5654.156] (S)しすてむえらー: 純正は１１ボタンまだ未対応だし仕方ないのかな
[5654.800] (S)fahmy0825: @ddaoenrttrneoadd Wait, does MadCatz make leverless now?
[5655.636] (S)cqc5555: またボタン押し間違えちゃう
[5656.640] kowloon17: やっぱ増設はリスクありますねえ
[5657.724] ~MISSING_COMMENTER_INFO~: 誰かにメンテしてもらおう
[5657.922] 三角_: メンおじ助けて
[5661.065] scottiever06: ちなみに故障はHITBOX社のコントローラーーじゃないやつね
[5663.334] tabibitox: 増設してないやつか
[5664.005] gorilla_osaka: メンテできたらメンおじがおじになっちゃう
[5664.135] yusatteyonde: また配置ぐちゃぐちゃになるって
[5665.484] takastoz: メンおじさんに報告した？
[5666.687] fl0kis: 予備があるならその筐体からボタン移設すりゃいいんでわ？
[5667.979] masarin763: 故障はしゃあない。当面はニコイチで補修するなり。
[5668.144] ~MISSING_COMMENTER_INFO~: メンおじー！
[5669.321] りあ仮称: 増設ボタンの位置かえれると思えば
[5671.196] ~MISSING_COMMENTER_INFO~: いっそもう一回ボタン配置考えなおして作り直すのもありでは
[5672.147] NAOjpp: ときどと秋葉配信しよ
[5672.438] chipstar9: 回路チャタリング除去ってないんかな
[5679.891] ~MISSING_COMMENTER_INFO~: ｗｗ
[5682.661] 5don: 箱を開けて自分でメンテできるんでしたっけ
[5686.479] potocki1810: おなしゃーす
[5687.445] opticalprime36: Daigo going modern
[5689.492] 三角_: 早速line
[5691.830] hawawawawawa: メンオジよろしくうううう
[5693.485] りあ仮称: ボタンだけならメンおじかな
[5695.122] NekoPunchKick: うんし変わるけど平気なの？
[5696.492] ~MISSING_COMMENTER_INFO~: メンオジに通報
[5696.932] chin_56_: 蓮コン修理
[5698.092] ramenbrake115: 鍛冶屋たのむぞ
[5698.781] ~MISSING_COMMENTER_INFO~: 断然くろーむ
[5699.936] hiro_chan: 中身の端子ヌキさしやな
[5702.512] (S)mm2351: 大会でこんなことあったら洒落にならんぞ
[5706.227] NAOjpp: 業者＜今日日曜なんだけど。。
[5708.042] ひろみつー: こういう不具合は本当に困るからな
[5710.402] takahashiseigi: 4日目くらいで、故障か
[5718.964] 1rioreusu: 訴えるか
[5718.968] 5don: 大会当日じゃなくて良かったです
[5723.398] にくピンク: どこ製のやつじゃい！
[5725.716] (S)マンゴスチン: まあ今見つかってよかった
[5726.550] ひろみつー: 対空出る？
[5728.992] 何も知らないジョンスノウ: 予備も増設のつくっておいてもらっといたら、どうなんだろ
[5750.798] potocki1810: タコ殴られｗ
[5754.279] hiro_chan: 二台ほしいね
[5757.224] (S)しすてむえらー: ちゃんぴおん、の心境はどうなるんだ
[5766.924] iAtmosphere: Nice
[5767.029] 温かいやさむぎ: 新しいヤツでもそんなんなるんですね
[5784.834] prisira: 改造したからそっちかもだしな
[5788.196] (S)yappa_giants: brook使ってるならturboで連射がonになってるだけじゃないの？
[5790.127] diegueradabahia: meia hora de propaganda
[5794.843] (S)vivfiw: 一生壊れないコントローラーほしいな
[5795.871] hiro_chan: めんおじの差し込みが甘かった説
[5801.650] ひろみつー: こうコロコロ変えると慣れることも出来ないよなあ
[5806.061] ピザ野郎: hitboxのマルチプレクサってどうなってるんだろうか
[5807.162] yusatteyonde: 酒飲みきったジェイミー久しぶりに見た
[5813.800] 三角_: 暑そう
[5814.829] takahashiseigi: よくあの状態で、ピーノから三本も取れたものだ
[5820.197] raikenzin: what a cool character
[5825.546] カブトシロ: 東京そんな暑いのか…
[5827.430] aru_0928: 安い買い物じゃないから自分がなったらヤダな
[5828.242] りあ仮称: クーラーつけないの？
[5828.285] migiriugachi: 直してもらうやつ以外に予備のやつ欲しいね
[5829.583] takastoz: プレイ、予備、修理時を考え３台欲しい
[5837.388] pontarou: なんか暑そう
[5843.439] syumahha: 気圧がすごい
[5845.302] みそらの: ゲーミングPCってそもそも暖房器具なんでｗ
[5847.768] 墾田永年私財砲: 観賞用と布教用も
[5852.998] 三角_: 高層階は暑いのです
[5857.591] パプワ後藤: プレイ、予備、修理時、添い寝用で4台ほしい
[5858.477] カブトシロ: こっち涼しいくらいなんやが。
[5864.408] prisira: 6だと壊れやすいの移動ボタンな気もする
[5864.491] くそいぬ: めっちゃかっこいいのにジェイミーあんま強くないらしいの悲しいなあ
[5864.991] hiro_chan: 宣材写真用
[5865.742] てんむす: 湿度がやばい
[5871.964] opticalprime36: Wow
[5872.975] (S)vivfiw: ｐｃは暖房機になる
[5878.344] 墾田永年私財砲: あと足に置く用に+2台
[5880.674] pontarou: 4090か
[5880.840] (M)(S)Moobot: ＊HyperX Cloud 最新モデル＊ 6/12 発売予定！
[5881.937] りあ仮称: ジェイミーは薬を持ち越せれば
[5884.020] yuta123456889655: 梅ちゃん何回に住んでんの？
[5884.037] chiysan: メンおじ助けてくれー
[5887.867] 戸愚呂妹: 寝る時に抱く用もいるな
[5890.245] umesecond: 観賞用と布教用もいる
[5891.519] yukkedone: ナウドリコンきちゃあ
[5892.141] myk052: キャラが強い弱いってプロレベルの話だからなぁ
[5893.288] ひろみつー: こりゃきつい
