[34.083] eren_ackerman: lets gooooooo\
[35.590] kiku1133: ちゃあああああん
[2486.181] 戸愚呂妹: オクタは入力遅延少なくなってるのかな？
[2487.343] niko_with_attitude: Bless you 
[2488.311] berurusuko: 貫禄あるなあ
[2490.650] syuto1112: オクタってどういう配置でやってる？正面６ボタンあっても使わないんだが
[2493.074] VVVoidWalker: 背面ほしいねHORIさんオクタに背面ボタンつけてくれー
[2493.330] ゆるさな: Bless you
[2499.982] masakura80: サブカメ大丈夫か?はいしんやぞ1w
[2502.542] (S)WhiteShoreDrive: パッドは痛くなる前に絆創膏かなぁ
[2507.344] ぢょごぢゃん: ジョンくんは正面4ボタンしか使ってない
[2513.672] mashe1748: 今の真空は使い所としてどうなんだ？
[2519.509] au0724: 高いし品薄だけど ヴィクトリクスのパッド いいらしい
[2529.209] サーフイ: ササモ 貫禄あるな
[2531.175] jagajaga1943: 正面にボタン6個あっても右端使わないんだよね
[2531.588] 戸愚呂妹: 高いからなぁ
[2531.992] takahashiseigi: 攻略進んで、1ラウンドの時間がかかるようになってるか
[2534.094] yuzubox: モダン操作ならボタンそんないらないんか
[2540.993] niko_with_attitude: Speaking of sicknesses anybody else have a bad case of post beta 19?
[2541.642] カブトシロ: 昼飯どうすんだろ？ウメちゃんは塩水でエエやろうけど…
[2548.031] fartgenerator0371: ササモとMenaRDの違いがわからない
[2550.364] tactics_shin: サブカメもゲーセン感あってイイ
[2553.047] クレちゃ: オクタも良いし、switch用のFCも悪くない
[2553.744] お灸: みんなでキュウリを食べよう
[2556.712] syuto1112: 俺は左端使わないようにしてるなぁ好みでいいんかな
[2559.579] 戸愚呂妹: 髪型だね
[2563.305] daisan777: ササモさん弁当3つ食べる説
[2563.689] hojihojidx: ここ数日でかなり息苦しい立ち回りになったなｗ
[2566.969] ゆるさな: バターロールで十分
[2568.827] (S)brutal9998: ささもが椅子壊したらメンおじが椅子持っていったりまた面倒が増える
[2569.535] tw_numa: ササモにぃがきゅうりで平気だとでも？
[2571.297] (S)Jasminexxx2525: 塩水懐かしいw
[2579.261] カブトシロ: そっか、キュウリがあるか！
[2579.547] tsubameaa: MenaRDスト６してるかと思った
[2584.881] クレちゃ: switchのは反応速いわ
[2591.551] グレートドラ: 同じ画面端でも大竜で入れ替えるのと中竜でライン上げるのってどう使い分けてるんだろ
[2592.121] korekitwitch: 位置情報消せよ
[2592.303] ~MISSING_COMMENTER_INFO~: 小結
[2594.933] berurusuko: 写真誰か上げてたよな
[2594.976] 戸愚呂妹: ファンボかノーブル
[2602.096] mashe1748: 窓の外写らないようにね
[2604.394] yuzubox: 外写さなければ大丈夫か・・・？
[2608.269] toyplastics: ノーブルのSNSの立回り
[2609.849] lutz001: 住所解析勢くるか
[2610.102] sannpann_twich: なるおが上げてたね
[2610.915] alice_in_jp: ウメハウスなう
[2613.665] (S)brutal9998: 明日トパチャン終わりの海外勢来ないかなあ
[2623.948] takahashiseigi: 住所バレはしないようにね…
[2627.585] ギアふっしー: 目の反射で外が写ってどうのこうの
[2633.939] hiisan: 外うつらないようにしないとだめよ
[2634.824] sannpann_twich: 位置情報消去と窓映さないようにね
[2636.088] りあ仮称: 住所ばれてもリア凸はね
[2644.001] jagajaga1943: 海外勢来てもウメちゃん喋れないｗ
[2650.029] サーフイ: バレてもササモが退治する
[2654.180] ~MISSING_COMMENTER_INFO~: リア凸はキモいよ
[2657.584] (S)brutal9998: ノーブル絶対やらかすなよ外映して住所バレとか
[2659.315] (S)Jasminexxx2525: ときどさんも一緒に来たら解決
[2659.983] au0724: 対戦が会話よ
[2661.089] berurusuko: 外っていっても下うつさなければ空しか映らんやろなあ
[2670.031] (S)jigokunonekomatu: 頼んでないのにウーバー総師範が来ちゃう
[2673.218] ギアふっしー: ウメ城だからな
[2675.891] のってる: ガンファイト呼べば海外勢きても安心
[2677.863] 戸愚呂妹: ウメちゃん英語喋れるのTwitterの中だけだもんね
[2681.460] どらわん: そもそもコメント見てんの？
[2693.137] (S)brutal9998: 腕毛かときどに連れてきてもらおう
[2695.074] ロミヲ: 今日もゲーセンが見れる日常
[2697.500] radi38: みてるわけあらず
[2698.657] (S)naginagi99: もう開店していたのか
[2698.897] aranami0: やーる
[2700.089] yuzubox: うま
[2711.874] tukumi07: あれ 今日開店早いね
[2715.495] takahashiseigi: パリィ攻略進むと、ラウンドの時間かかるね、やはり
[2729.757] サーフイ: ジス イズ ア ペン
[2741.766] au0724: 昨日 ももちとの対戦でタイムアップもあったね
[2747.719] jagajaga1943: パリィあると気持ちよく攻撃できないね
[2757.426] ロミヲ: ももちクソ強かったな・・・
[2761.811] metalmorphosis5: plz do dont stream sf6 when its not available
[2767.737] hitmehitme: ｗｗｗ
[2769.781] yuzubox: あｗ
[2777.842] Emilkof: this is the demo
[2783.096] Emilkof: it's available
[2784.514] ぼんじゅ: リュウ同キャラめっちゃ波動多くなるのか
[2788.689] カブトシロ: 店長、サヨナラ・・・
[2795.764] Emezie: This is the free demo
[2800.709] (S)Jasminexxx2525: このオフ対戦もあと一週間弱か…
[2805.040] ohyoi2002: ウメちゃんブロッキング好きじゃないって言ってた気がするけどパリィは別もんなのかな？
[2806.549] SistemaUno: @Greyviruz stupid ass
[2814.963] サーフイ: ワタシ ニホンゴ シカ ハナセマセン
[2815.263] クレちゃ: 翔くん強いな
[2815.561] niko_with_attitude: umeYay
[2815.616] (S)naginagi99: の、のーぶる君か？
[2817.592] asksrg: 異常者オフ対戦
[2818.665] Senpai817: @Greyviruz bot
[2827.127] Emezie: Everyone can download this now
[2828.970] chari3: OD弾の打ち消しても段数残るの面白いね
[2832.492] サーフイ: ほむっ
[2832.643] kenitama: ブロッキングよりは制限がある
[2833.286] nabe_labo: 午前中から対戦してるゲーセンがあるって？
[2856.835] ロミヲ: 個人的にパリィの方が簡単 ブロは難しい
[2858.249] niko_with_attitude: Please don’t make wildly uniformed comments
[2870.405] toyplastics: 高層タワマンの隠れ家的招待制ゲーセン、梅
[2871.912] 36mgh: 開店と同時に入店して早番の店員と対戦してる
[2879.043] SistemaUno: idiota
[2881.868] niko_with_attitude: Now pray to diago for forgiveness
[2884.125] (S)naginagi99: 3rdのブロッキングはもっと無法だからね
[2889.628] 墾田永年私財砲: 上海と午前中から上海してるおじいちゃんも設置しよう
[2899.080] (S)WhiteShoreDrive: パリィは補正入るからブロみたいにフルで反撃食らわないしね
[2904.508] 戸愚呂妹: Thx niko
[2907.939] ぼんじゅ: 製品版出たらゲーセン集まりなくなるのかな
[2911.764] (S)puertoescondidomota: 合法マンションスト6
[2911.843] brokenmonk29: 🙏 ameno daigo
[2919.587] gon19911112: このゲーセンももうすぐ閉店かな？
[2925.077] 36mgh: 高レートマンションスト6
[2932.801] グレートドラ: マンションスト6www
[2936.502] ohyoi2002: そうなんだ＞ブロッキング
[2937.166] nikorinko: サムライスピリッツの海外大会やってる
[2941.594] takahashiseigi: 4のセビよりは見栄えが良いパリィ、ただパリィも煮詰まると…
[2945.462] tw_numa: サーバー上に新装開店するよ
[2949.176] niko_with_attitude: Apologize Japan have mercy on us
[2949.234] のってる: 赤ブロが通常2F必殺技3Fだからパリィの方が敷居低いけどリターンがブロッキングは終わってる
[2960.494] 戸愚呂妹: Dont mind
[2961.890] (S)jigokunonekomatu: 近所の人「あそこの部屋、朝から晩まで若い男がたくさん出入りしてて・・・」
[2964.866] berurusuko: 今後パリィがどれだけ悪さするか次第やなあ
[2983.314] maddy2623: ももち式詐欺飛びや
[2983.752] ゆるさな: おじさんの家に若い男が集まる
[2991.987] (S)puertoescondidomota: ご無礼 インパクトです
[3004.080] Paizamx: OLV that luke is broken
[3007.644] toyplastics: 高層マンションで詐欺飛び
[3025.170] りあ仮称: オン対戦が出来ても、オフでの情報交換もあるしゲーセン開きそうだけど
[3026.506] berurusuko: 店長働いてる
[3028.402] ギアふっしー: クーラーもつけます
[3032.547] Hitode_noko: もうやってる！？
[3033.918] ギアふっしー: 今日のゴミ出し？
[3034.951] SistemaUno: noble needs to hop on finasteride
[3042.339] SistemaUno: pronto
[3046.929] ロミヲ: 灰皿交換
[3049.612] TB2117: 店長ｗ
[3050.455] 36mgh: 何か飲みたくなったらマスターがレッドブル持ってきてくれるってワケ
[3052.486] bakuseiha: 従業員雇いなよ
[3054.833] kitagawakun: スト４ってもう１５年前なんやね
[3056.223] ギアふっしー: ウメちゃんPS5起動できるじゃん！
[3061.888] レム__: パリィが有用になったら今以上に投げでの対応が増えてくるんじゃないかな？
[3061.984] maddy2623: 意識たけぇ
[3064.286] 戸愚呂妹: ダイゴさん、裏スト6してるって噂があるのよぉ
[3070.549] (S)jigokunonekomatu: えいたくんならやってくれそう
[3086.839] niko_with_attitude: When you have a ps5 just for the demo 
[3100.405] (S)puertoescondidomota: 裏プロ大吾
[3101.663] Paizamx: who is the latam guy?
[3104.262] pekusuyada: ウメハラさん上下ニュートラルまだか
[3105.236] 36mgh: 一見さんお断りで会員の紹介がないと部屋入れてくれないんだよね
[3111.243] x_abu_xx: ラッシュコパからコマ投げとかめっちゃやられそう
[3117.520] niemalsaufgeben: パリィやインパクト対策にも投げはなるからスト5みたいにならなそう
[3123.973] berurusuko: 鳥かご
[3128.070] takahashiseigi: ルークのあの逃げ空竜？ リュウにもないと不公平だわw
[3132.030] 戸愚呂妹: Sasamo
[3133.187] ゆるさな: sasamo
[3136.520] のってる: 投げ間合い外の中距離ノーリスク置きパリィが問題だから投げではどうしようもない
[3141.052] niko_with_attitude: Lol idk but I’ve gathered he likes water parks and he is not as good as daigo at sf
[3151.302] ギアふっしー: へるぅ
[3154.257] (S)naginagi99: ジャスパとったらこの運びができるルークはやはり強キャラよなあ
[3164.917] TB2117: 減りｗ
[3165.040] Paizamx: :o
[3185.239] gon19911112: 空中昇竜は垂直でも出るのがやな感じ
[3189.993] syuto1112: このゲーム端が強すぎるから鉄拳とかみたいに壁壊れるようにしてほしいわ
[3197.983] usa451: 店長今日トパチャン解説だと思ってたわ
[3209.800] ギアふっしー: 今日は店長が一日コーチか
[3210.408] SistemaUno: i thought he was indian but apparently hes brazilian
[3211.408] niemalsaufgeben: それは弾撃たないが選択肢のひとつの答えやん
[3223.621] berurusuko: カプコン格ゲーで壁壊れるのあったんかな
[3225.992] x_abu_xx: とぱちゃんは野田さんだったような
[3226.259] toyplastics: 端が強いのはコンセプトやからな
[3229.710] 36mgh: 格ゲー虎の穴になっとる
[3231.611] 戸愚呂妹: Sasamo belong saishunkan kumamoto SFL team
[3232.963] (S)poto2panapa: 端がゴールだから、ゴールが遠のいたら萎えちゃうわ
[3233.910] niko_with_attitude: Boa! 
[3236.143] Forest613: st6
[3239.900] (S)naginagi99: ウメさんはトパチャン解説呼びたかったかもしらんが、駄目だったんだろうなあ
[3260.902] (S)latenight000: 柔道はスト5のときみたいに評判悪かったら消える可能性はあるかもねぇ、端強すぎるし
[3262.692] prisira: 端壊れたりしたらダルシム無双になるがよろしいか？
[3277.246] ludic__: RyuChamp
[3278.432] usa451: sasamo
[3281.119] (S)naginagi99: Sasamo
[3291.493] bakuseiha: 5の星が滅ぼされそうなんで6星に避難してきた
[3292.196] レム__: 端がきついコンセプトだからねぇ
[3293.181] BrainlessL: rofl
[3293.690] Paizamx: @KRAAI_XIII  Sasamo san
[3294.773] syuto1112: ピヨらせたら壊れるくらいでいい
[3296.932] だいこん_: ビッグマンｗｗｗ
[3297.413] のってる: スト5の批判を受けて意図的につけてるから削除はない
[3300.775] vahlokdotiid: LUL
[3306.114] NateDDR: who's he?
[3306.891] Hitode_noko: もっと寄りやすいゲームにしないと壁破壊はアンバランス
[3313.679] syuto1112: キツさが半端ないしそこでのキャラ差がなぁ
[3316.821] berurusuko: スト５でも意図的につけてたんじゃないか元々は
[3317.595] BrainlessL: big sas in english
[3317.941] takahashiseigi: ルーク、ホント開発の愛を一身に受けてるキャラだねぇ…
[3318.498] ギアふっしー: ビッグマンisエドモンド本田
[3320.750] (S)puertoescondidomota: 流石にレッドブル組手の予選はいつメンにならないのかね？
[3325.692] Paizamx: Big Sas  
[3327.760] prisira: 出てもないゲームでキャラ差もくそもない
[3348.120] niemalsaufgeben: 柔道なくなったら投げが捨ててもいいくらい弱くなるのよね
[3348.283] (M)Moobot: Twitch Prime に登録すると無料でたくさんの特典が得られます → https://bit.ly/2YE2nLB
[3351.917] BrainlessL: lets go big sas!
[3363.390] (S)latenight000: 出てないのにルークがすでに強キャラ認定はさすがに笑ってまうw
[3364.340] ロミヲ: あと5日でザンギ来日しちゃうよ・・・
[3365.010] prisira: 柔道消したらリバサパリィあるから攻めれないぞ
[3404.754] 36mgh: なあカプコン、いまからでもザンギエフなしにできないか？
[3406.107] mashe1748: 奇数がいいよね
[3423.289] (S)WhiteShoreDrive: ザンギはなぁ
[3432.637] toyplastics: KUMITEにボンかウメは決まってるんかな
[3435.610] ~MISSING_COMMENTER_INFO~: x0piriGg
[3445.167] ギアふっしー: 王のトレモ
[3449.598] prisira: スト５で様子見置きゲーって言われたし端は変更ないでしょ
[3450.395] market_fujisaki: ウメさんは応援配信って言ってた
[3453.534] ギアふっしー: さようならぁ
[3456.974] (S)perfecttakahashi: ザンギ、ブランカ、本田、ダルシム。奴らが開放されるぞ
[3462.592] (S)jigokunonekomatu: 南アはガチくんの担当だから
[3465.615] x_abu_xx: 組手、南アフリカは流石に遠い
[3465.812] グレートドラ: リバサパリィはせめて詐欺らせて欲しい気持ちはある
[3468.652] tw_numa: 減るなぁ
[3468.956] Paizamx: big sas teaching some SF plays!
[3474.508] berurusuko: 様子見置きゲーなんて言われてたんだ 初めて聞いた単語だ
[3479.264] mashe1748: 翔君立ち回りでゲージ使う事多くてウメちゃんと使い方違ったけどあれはアレでも良さそうですか？
[3484.111] レム__: 檻から放たれる狂気
[3490.524] niko_with_attitude: I’m guessing the long walk forward in block stun was to build drive meter?? Or to style?
[3491.102] グレートドラ: そういうことするんだ
[3492.496] bakuseiha: 動画勢しかいねえ
[3497.535] (S)latenight000: 「様子見置きゲー」使っていけ
[3499.718] だいこん_: 8キャラの呪いからは逃れられない
[3510.564] hojihojidx: kumite予選は応援配信だから既に招待されてる可能性が高いよね
[3512.200] レム__: BO相手の有利すぎた問題あるある
[3513.393] Paizamx: @niko_with_attitude meter bruh
[3517.750] BrainlessL: anyone knows the controller of big sas
[3518.290] 戸愚呂妹: Drive meter building
[3527.434] (S)naginagi99: ゲージ使い方はみんな試行錯誤中だろうし、正解はないとももちさんも言ってたからずっと悩むんちゃうか
[3528.852] (S)箸くれ: umeNirami
[3529.444] SistemaUno: @sirjzzalot lerverless
[3539.177] BrainlessL: ty
[3543.935] (S)jigokunonekomatu: 南アは治安が不安
[3546.236] nakao86: 店長は研究か
[3574.917] 墾田永年私財砲: 早く製品トレモやりてぇー
[3579.456] ロミヲ: 店長次はももちをボコしてくれ
[3583.219] niko_with_attitude: Thanks what I thought but looked sassy too so style points bonus I guess
[3584.745] harumak1_: !member
[3588.607] pondenring0930: スト６でもリュウ強化研究所はじまた
[3592.935] yoshikawa_yo: 真下前前はSAキャンセルやりやすいからすき
[3595.534] takahashiseigi: 古の人力トレモ研究
[3606.790] usa451: クロダ研究員は何処に
[3607.241] (S)jigokunonekomatu: トレモ解説動画だれか出してほしいわー複雑すぎる
[3615.960] toyplastics: 日本も連日撃たれた刺されたいうてるなあ
[3617.287] グレートドラ: クロダ研究員…
[3620.251] 36mgh: 製品版には今の9倍のキャラがいるわけでしょ？体壊れちまうよ
[3622.898] jagajaga1943: エルデンリングもうラスボス手前なのにクリアできなさそうだなー
[3623.212] Paizamx: that safe jump of luke, its godlike...
[3625.541] kenitama: どぐらさんがあげてたよ
[3632.266] おのんスト6: どぐらさんがトレモ動画あげてましたよ
[3632.539] ギアふっしー: ゲーセン梅のティア１はももち・Go1・水派・店長かな
[3649.855] (S)kamishiro00000: kamishiro00000 subscribed with Prime. 
[3657.333] derwace_lifolve: 需要にこたえるどぐらさん
[3661.509] (S)jigokunonekomatu: どぐにゃん仕事はやいなーありがとー
[3668.669] (S)puertoescondidomota: スト6最初の組手だしアスリートは状態でしょうね
[3670.748] おのんスト6: 👍
[3683.420] prisira: 届くのか
[3689.373] 36mgh: ヌルっと届いた
[3689.983] Paizamx: we want a brazilian HI from big sas 
[3691.850] kenitama: まじかw
[3692.080] vahlokdotiid: clutch
[3694.128] au0724: あの距離でもか
[3700.290] グレートドラ: ドラインガードした時のよろけ中に設置弾当たったらどうなるの？
[3727.184] berurusuko: スト６対戦は後回しでワールドツアーやりまくろうと思ってる俺は正常
[3740.108] BrainlessL: sasW
[3742.181] toyplastics: 対戦はエンドコンテンツやからな
[3744.938] 36mgh: 対戦はエンドコンテンツって開発も言ってるからね
[3746.452] Papapadad: 発売までにアバター完成させなきゃ
[3748.195] prisira: ＳＡないと詰みや
[3753.368] usa451: ドラインってなるおやん
[3763.281] lock_intention: 今回はまじでそれでいいと思う、普通に楽しそうだし
[3783.015] のってる: 海外ではD.Iって呼ばれてるね
[3783.794] カブトシロ: アカンか？
[3784.033] yoshikawa_yo: 楽しんだもん勝ち は良い言葉
[3785.247] グレートドラ: ワールドツアーで君も吉田沙保里を使おう
[3791.002] rila8303: ドラゴンインストール
[3795.441] pekusuyada: 発売までにトレモ勉強とアバター作成か、、
[3801.122] ロミヲ: ガイルの84HITとかいうコンボ修正されるのかな
[3801.140] 戸愚呂妹: 吉田沙保里のスーパー頭突き！
[3802.107] (S)一1990: まあ、製品版でキャラ変えればいいっか
[3804.440] kusogekun: 松本人志のレシピください
[3818.575] ギアふっしー: 再入場
[3834.760] myodent21: ウメちゃんがどんなアバター作るのかが何気に楽しみ
[3840.061] ギアふっしー: 女性アバターもっとかわいく作れるようにしてくれカプコン！！
[3843.645] takahashiseigi: シノビが刺激与えてくれたかな、「ウメさん、もう少し研究しましょうよ」と
[3845.258] derwace_lifolve: もう一回できるドン
[3848.351] (S)gazesd: リュウ研究所
[3851.674] 戸愚呂妹: ジジイ作りそう
[3855.235] berurusuko: アバターって一回作ったら変更できないとかあるのかな そしたら一生キャラメイクから出れなくなるんだが
[3861.358] Prezidd: wesh les japonais
[3862.409] グレートドラ: 顔綺麗に作っても動くと微妙になる問題がな…イリュージョンに協力頼んでくれ
[3864.542] niko_with_attitude: They trying to access throw loop from tatsu??
[3865.602] tabibitox: 体験版で体験してるなぁ
[3868.395] usa451: 先生
[3885.592] ギアふっしー: ワールドツアーでパーツとかもらえるっぽいから、ゲーム内マネーで変えれるっぽい
[3890.699] Seria_24: キャラメイクいざアバター動く画面になったらこれじゃない感強くてキレそうになる
[3891.930] toyplastics: アバター意外と自由度低い、悪さできんようにってのもあると思うけど
[3896.094] ロミヲ: 海外勢のアバターくそかっこいいよねMrBIGとかルガールまんまの人とかいて
[3899.140] LGA2011: アバターは頑張ったらかなり可愛く作れるけどかなり根気いる
[3903.269] Prezidd: daigo je compte sur toi pour gagner l'evo ma poule
[3915.901] グレートドラ: 髪型のバリエーションって製品版は増えるのだろうか
[3917.321] Itsfreakyyyy: @niko_with_attitude Looks like it
[3924.987] LGA2011: 髪型増やしてほしいよね
[3931.970] rickbatista13: O Daigo é de curitiba?
[3933.236] niemalsaufgeben: 発売数か月後リュウはたかしになっていないだろうか
[3938.061] (S)besser_org: キャラリメイクを課金にしたらずっと稼げる
[3941.469] (S)poto2panapa: 髪型で金取っていけカプコン
[3945.887] 墾田永年私財砲: アバターでマネタイズするのはいいよね
[3952.049] berurusuko: 髪型はゲーム内で買う感あるよね
[3953.088] 36mgh: 髪型DLCとかいくらでも売り出せるよね
[3955.324] momowitch: スキンガチャうおおお
[3955.613] グレートドラ: あれしか選択肢ないのにハゲだけで4種類ぐらいあるの解せねえのよな
[3955.887] usa451: モバゲー
[3957.547] akiraz3: 人対戦はエンドコンテンツってカプコンさん言ってたから・・・
[3965.678] niko_with_attitude: @itsfreakyyyy huh I was trying it with the sweep and heavy knockdown get up but I gave up on it
[3971.574] toyplastics: テクスチャアップロードとかは無理なんやろなあ
[3977.531] wahaha7788: 髪型は追加されても課金要素やろうな
[3981.515] (S)poto2panapa: デフォキャラの髪型は高そうやな
[3984.267] nnmdfs: ツアーだけでゲーム一本分のボリュームあるのかな
[3988.747] hojihojidx: ゲーム内に美容院課金とかあるのでは
[3990.234] (S)latenight000: 対戦はファーストコンテンツやろがい！
[3991.321] miruujyu: マゴ配信で、バキバキのアカンやつが映っててワロタw
[3996.994] のな: 動くササモ初めて見た
[3997.767] prisira: ツアーの出来は気になるよね
[4003.569] BrainlessL: can you wakeup jump a throw loop and punish
[4010.929] chari3: メンおじ相手に検証してたのかｗ
[4015.013] BrainlessL: or its too late?
[4023.237] cejadagu: umeGrin
[4029.932] niemalsaufgeben: チケット買える課金はありそう
[4031.985] berurusuko: 対戦がファーストコンテンツ？ ﾌﾌｯ…"異常者"
[4038.512] 戸愚呂妹: ササモの左頭尖ってない？
[4040.677] めっとくん: スト6やりたいんですけど、発売日に有給使うか、大会ある日に使うか悩む
[4051.269] no_name__yet: 体験版で細かいところつめ始めたな
[4052.673] usa451: 起き攻めってwake up なのか
[4055.468] toyplastics: おわってる人達の対戦ってわけ
[4057.245] 36mgh: 仕事なんか辞めればええ
[4058.083] (S)poto2panapa: バトルハブ、ブラックリストにいれたらクリーチャ消せるんか？苦手な人いるやろ。
[4058.256] tabibitox: もにぃ寝癖？
[4058.919] takahashiseigi: 少しきちんと研究する気になってるね、ウメさん
[4061.281] LGA2011: ササモの超アシンメトリーな髪型気になりすぎる
[4061.791] (S)puertoescondidomota: 何を調べてんだろ
[4061.947] balthazar000: エンドが深すぎるエンドコンテンツ
[4065.129] berurusuko: 発売日の祭り感のため有給取ったぞ
[4068.695] yoshikawa_yo: フレーム消費研究たすかる
[4084.765] niemalsaufgeben: 対戦ないとつまらんよ。機械と戦ってもおもろくない
[4089.937] prisira: エンドコンテンツがちゃんとエンドしてるゲーム
[4090.187] niko_with_attitude: If the loop@input is perfect don’t think you can jump have to tech I think
[4095.030] asksrg: 金曜日発売は助かる
[4115.243] 墾田永年私財砲: 実質木曜の夜中からだよ
[4117.700] model342: 製品版出たらここのゲーセンも閉店かな？
[4118.861] 36mgh: 金曜の0時から遊べるんだっけ？
[4124.907] 墾田永年私財砲: そ
[4126.395] prisira: steamは１時
[4129.569] (S)shibaponz: 下の画面なんかお笑いコンビ感あるな
[4129.936] ロミヲ: steamは木曜の25時
[4138.668] TB2117: いよいよ来週祭りの始まりか
[4139.699] balthazar000: FPSでキャンペーンやって終わりな人もいるし、エンド扱いでいいと思う
[4140.663] pityutyunpa: お笑いコンビw確かに
[4141.767] (S)puertoescondidomota: プロがみんな待機するだろうな
[4147.077] めっとくん: 木曜の夜中からやりたいけど、仕事中居眠りするリスク考えたら怖くて出来ねーwww
[4149.682] ~MISSING_COMMENTER_INFO~: los kick
[4150.086] (S)箸くれ: umeYay_TK
[4166.471] tabibitox: セットプレイは製品版のトレモがないと調べづらいな
[4170.522] 36mgh: 25時か～ やったら寝れなくなりそう
[4170.823] imamu25: 睡眠しっかりとって朝からスタートしよう
[4171.963] papipopon: steam版も早いのありがたい
[4174.445] kusogekun: これから何年も付き合うんだ。スト６は逃げないぞ
[4183.611] berurusuko: 配信でワールドツアーやってるの見るのが楽しければいいなあ
[4197.206] momowitch: スト6の発売日は逃したらもう二度と体験できないからな
[4202.346] prisira: 製品版でルークがどのくらいの立ち位置になるか気になる
[4202.908] 戸愚呂妹: frame spend for just throw at wake up i think
[4204.375] LGA2011: スト6と添い遂げる覚悟でいく
[4215.728] berurusuko: ７年に一度のイベントやぞ
[4219.752] balthazar000: ブブか大盛況か。カプコン頼むぞ、、、
[4220.232] toyplastics: ササモくん結構おもろいから個人配信期待できる
[4229.863] wednes12: ささもくんともう一人はどなた？
[4238.387] kusogekun: 何気に僕だけの最強キャラクター同士の対戦するバカ配信とか見たい
[4239.670] ギアふっしー: スト６こんだけスタートダッシュできるならスト７もいけるってウメちゃん！
[4241.408] momowitch: うめはらくん
[4244.613] 温かいやさむぎ: ささもくんでかいね
[4247.067] niemalsaufgeben: 意見いう前に買えよ
[4249.325] balthazar000: 壁vsマサ 見たいんだが？
[4253.787] tabibitox: ガイル相手に是空で待てないしなｗ
[4258.022] LGA2011: ガイルには攻めるしか無いじゃんね
[4266.929] chin_56_: 英語じゃないんや
[4275.874] niko_with_attitude: Frame spend got it thanks!!! 
[4283.803] (M)Moobot: That's a tad too many emotes, @nkusuzzr (warning)
[4284.735] 36mgh: カプコンのネットワーク担当の人木曜の夜はマジで胃キリキリしてるだろうな
[4301.883] kaomoji3: 空中喰らい怖いね
[4304.120] prisira: サーバーがまず耐えるかどうかのお仕事が始まる
[4305.181] BurkishMan: Who is player 1?
[4308.475] balthazar000: そりゃもう夜勤シフトっすよ
[4314.149] 戸愚呂妹: Sasamo
[4317.434] une3333: こんにちはー早い時間からやってますね
[4345.103] berurusuko: スト６やるとスト５の間合い感覚が狂っちまう
[4350.101] めっとくん: ネットワークの不具合は、プレイヤー視点トレモに篭れば良いけど、まとめ記事で悪い印象広まっちゃうからなあ
[4352.238] niemalsaufgeben: カプコンは過去類をみないくらい頑張ってるね
[4359.231] toyplastics: スト6、ちゃんと日本で売ろうとがんばってるの嬉しいね
[4365.352] (S)poto2panapa: 中足長くてビビったね
[4366.732] 墾田永年私財砲: Oβで膨大なルーム数を数時間のメンテだけで維持してたから期待はできる
[4373.061] tabibitox: OBTは最初だけ熱帯怪しかっただけで快適だったから技術的な問題はなさそう。ただ想定より人が多くてパンクはあり得る
[4373.244] (M)Moobot: サブスクライバー限定Discord連携方法はこちらから！ https://sites.google.com/view/daigothebeastvsubhelp/
[4374.159] imotarou1126: 吉田のCMは良かったと思う
[4383.654] ギアふっしー: ２０００年代一番売れた格ゲーってなんだろ
[4387.688] momowitch: 初動でコケるのは5で学んだから頼む...
[4389.030] syuto1112: ５の時とはえらい違いだよなぁ
[4411.659] 36mgh: 7年前の事件で相当懲りてるでしょ流石に
[4416.064] のってる: 2000年代はギルティかスト4じゃない？
[4416.374] (S)naginagi99: 各方面でPRしてもらってるけど、そこからどれくらいの一般の人が興味もってくれるかだなあ
[4418.543] berurusuko: ５のときとは使ってる額の桁違いそう
[4419.190] めっとくん: 5は4年目で完成したけど、6は1年目から完成してるといいね
[4420.849] ta3z_: スマブラを格ゲーに入れていいのならスマブラ
[4421.550] (S)perfecttakahashi: 人数に合わせてサーバーが自動で強化されるやつ使ってるらしいし設定ミスらない限り大丈夫なんじゃない？
[4423.202] syuto1112: これでサーバーパンクして緊急メンテとか起きたらクソ笑う
[4424.457] ssGRiDM4N: 広告に大分金使ってるし本気だよね
[4426.731] (S)latenight000: ぶっちぎりで鉄拳シリーズじゃねぇか
[4427.875] (S)poto2panapa: 鉄拳じゃね？
[4428.631] (S)箸くれ: なげぇ～ｗ
[4440.912] BrainlessL: who does big sas play in sf5
[4444.090] kenitama: モーコンは
[4444.558] kami4genjin: !member
[4454.828] 戸愚呂妹: Balrog
[4461.691] BrainlessL: ty
[4469.925] yuhi_N: 対戦相手ささもにぃか
[4473.683] usa451: not honda
[4479.565] (S)ガリア3: ガリア3 subscribed with Prime. 
[4494.948] prisira: ゴボとかも何気に１０００万本だっけ
[4500.117] ロミヲ: βのときルーク使ってる人だけ死ぬほど強かったわ
[4507.260] BrainlessL: @せめくしー haha
[4514.918] wahaha7788: このBGMってリュウのテーマ？かっこいい
[4516.819] めっとくん: 体験版の動画見てたけど、ケンの突進技強くね？本田の上位互換じゃん
[4523.470] (S)perfecttakahashi: 値下げして売った本数は入れるべきじゃない気がする
[4530.609] akiraz3: ドラゴンボールさんはIPが強すぎる
[4537.688] ~MISSING_COMMENTER_INFO~: トレモの音楽です
[4565.769] 戸愚呂妹: この曲あんま好きじゃないなぁ
