[9.323] (S)ふれーく: わこらだ」
[2139.313] あきぬこ: あ
[2141.078] ayunosioyaki0223: あ
[2142.157] (S)限界大学院生チャンネル: 広すぎ
[2142.236] (S)ケバブビギナーのえる: あ
[2142.897] (S)Ichigo_Strawberry15: www
[2143.968] (S)ねこすず: あ
[2144.204] (S)riyuu25: あ
[2144.299] jhonnymorimori: あ
[2144.886] (S)himikokichi_06: あ
[2145.142] 梨一: wwwww
[2146.021] 0214ちさ: あ
[2146.271] (S)がるーら: 不仲説
[2146.592] 神崎立夏: www
[2146.878] (S)tumugi_76: ｗｗｗｗ
[2147.543] chirol__: すーぐ不仲
[2148.103] (S)PEI_OwO_: こｙ
[2148.398] (S)そるとりうむ: あ
[2148.947] (S)kurui440: あ
[2150.045] (S)そふぃ3: こっわ
[2154.634] (S)きのこの炊き込みご飯: あ
[2155.747] (S)はるのてゃん: あ
[2157.554] (S)ラボア: こy
[2158.875] (S)riyuu25: こy
[2159.762] ﾊｸﾁｮｳ: あ
[2160.655] (S)_こなた_: あ
[2161.697] (S)hina_1118: あ
[2161.737] pu_tyan: こy
[2165.128] ayunosioyaki0223: はい
[2166.087] (S)yumemiruneco: www
[2167.344] (S)そふぃ3: こy
[2167.536] あらんえむかーびぃ: はい
[2168.116] あきぬこ: はい
[2171.143] 神崎立夏: wwwwww
[2171.983] (S)shige__maru: はい
[2172.390] (S)ninfea_03: はい
[2172.650] (S)himikokichi_06: はい
[2173.061] (S)ケバブビギナーのえる: ふんっw
[2174.303] (S)_こなた_: はい
[2175.718] (S)ディンダン: www
[2176.094] mirumiru_h: はい
[2177.753] pu_tyan: はい
[2180.795] (S)きのこの炊き込みご飯: はい
[2182.212] (S)はるのてゃん: はい
[2189.347] ﾊｸﾁｮｳ: はい
[2190.135] (S)そるとりうむ: おっ
[2191.668] まみまる: はい
[2192.321] (S)suiha_7: がんばえーー
[2198.367] (S)ケバブビギナーのえる: がんばえー！
[2198.653] (S)ちょこあんぱ: はい
[2201.046] chirol__: がんばえ！
[2201.924] せなお_: tktktktktktkttktktkr
[2203.765] (S)yomi_555: yomiminto subscribed with Prime. They've subscribed for 9 months! 
[2206.107] mirumiru_h: がんばえー
[2206.143] すいぺりあ: 出会えた
[2206.686] あきぬこ: がんばえ
[2208.666] (S)そるとりうむ: がんばれーー
[2212.259] kazushan: 頑張って
[2217.808] (S)ruchi_13: がんば
[2223.171] (S)ラボア: がんばえ〜
[2223.283] (S)netaiyo: がんばえー
[2229.731] 0214ちさ: がんばえー
[2233.914] ももかんぬ: がんばれー
[2234.466] (S)ケバブビギナーのえる: チャーンス
[2238.359] (S)ラボア: ここまで来たらちゃんぽん食いたい
[2239.733] Water_1013: がんばぇー
[2247.278] いのりさん: オルタ取られてんのかぁ
[2253.069] 神崎立夏: ちゃんぽん奢ってー
[2265.030] あきぬこ: ライフラインちゃんかあ
[2265.113] (S)yumemiruneco: がんばえー
[2265.443] (S)drem_chan: ふぁい
[2265.819] 梨一: ライフラはめんどいな
[2267.809] (S)まうすまうす: がんばー
[2271.344] (S)riyuu25: がんばー
[2272.028] (S)tiger_bay: ライフラブラハシアか
[2274.234] ru_san0720: がんばー
[2279.692] おろしポン酢: もうちゃんぽんとれそう
[2302.342] あきぬこ: 金シか
[2308.178] jhonnymorimori: がんばえー
[2309.313] (M)Nightbot: らっだぁ切り抜きチャンネルはこちら→https://www.youtube.com/channel/UCh-qC7-Ru8a54apFdHnASsA/
[2311.103] あきぬこ: ないすう
[2311.970] (S)Ichigo_Strawberry15: ないす
[2312.706] 神崎立夏: ないすー
[2312.815] sunomono8: ないす
[2313.537] chirol__: ないす
[2314.936] (S)peroki0531: がんばえー
[2315.076] 梨一: ないす
[2315.694] jhonnymorimori: ないすぅ
[2315.841] (S)natune_0: ないすー
[2316.396] 五色椿: ないすっ
[2316.417] ayunosioyaki0223: ないす
[2318.646] (S)ケバブビギナーのえる: ないすぅ
[2320.087] (S)himikokichi_06: ないす
[2320.309] (S)そるとりうむ: ないすぅ
[2320.628] あきぬこ: 生きろチーノ
[2321.383] シアン_: ないすー
[2323.896] (S)そふぃ3: ないすー
[2324.152] (S)suiha_7: radaoNice
[2325.152] (S)netaiyo: ないす
[2325.205] (S)drem_chan: ないす！
[2325.708] おろしポン酢: ないすー
[2326.073] (S)shige__maru: ないす
[2327.482] chirol__: ないすぅ
[2328.938] (S)ケバブビギナーのえる: ないすぅ！
[2329.024] 神崎立夏: おー
[2329.077] 梨一: ないすぅ
[2329.993] (S)natune_0: うまい
[2333.260] (S)のこ汰: ないすぅ
[2333.849] (S)きのこの炊き込みご飯: ないすぅ
[2334.279] (S)Ichigo_Strawberry15: radaoGG
[2335.338] あらんえむかーびぃ: うおおおおおおおおおお
[2335.435] (S)せあくん: radaoGG
[2335.943] (S)yoichimu: radaoNice
[2336.389] 紗弥0926: おおおお
[2336.399] あきぬこ: ないすぅ！！！！！！！！
[2336.726] mope716: ないす
[2336.790] 神崎立夏: うおおおおおおお
[2337.012] 4toki22: radaoGG
[2337.224] (S)piroropiro: radaoOme
[2337.353] (S)ふむふる: ないすぅ
[2337.379] sunomono8: radaoGG
[2337.464] ayunosioyaki0223: ないすぅー！
[2337.487] (S)ryo_ngz: ないちゃーん
[2337.707] (S)ケバブビギナーのえる: radaoGG
[2337.757] ほたころ: radaoGG
[2337.812] (S)ruchi_13: radaoGG
[2338.085] dokukinoco: うまい
[2338.388] 黒音: ないすぅ
[2338.449] (S)まここま: ないす！！！
[2338.550] (S)哀れな人の子: radaoGG
[2338.675] yuki_snowdrop: ないすう！
[2338.718] 梨一: ないすぅ！！！
[2338.756] (S)ミヤチ: GG
[2338.785] ぴあす: radaoGG
[2338.894] (S)mimi_fuwa1489: うおおおおおお
[2338.952] mamo_tarou: radaoGG
[2338.972] (S)shilva_0: radaoGG
[2338.994] shira_to: radaoGG
[2339.049] (S)_りゅん: ないすぅ
[2339.306] (S)1a_a2_: ないすぅ
[2339.324] (S)yumemiruneco: radaoGG
[2339.335] ちよび: ないすう
[2339.391] kuru053: ないす
[2339.531] (S)スパーズ: ないすー
[2339.594] 五色椿: radaoGG
[2339.736] 1010tento: ないすーーー
[2339.858] jhonnymorimori: うおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおお
[2339.922] (S)ninfea_03: ないすぅ！！！
[2339.965] (S)鉄火巻: radaoGG
[2340.044] (S)そるとりうむ: radaoGG
[2340.052] (S)howlin_0: radaoNice
[2340.053] (S)すだち㌠: radaoGG
[2340.327] (S)とりーーも: ないす
[2340.407] (S)runa027: radaoGG
[2340.420] (S)moka_0322: radaoGG
[2340.498] (S)がるーら: radaoGG
[2340.560] ニコ丸0429: radaoNice
[2340.577] 1ce104: radaoGG
[2340.828] (S)bou214: ないすー
[2340.832] matchamochi117: radaoGG
[2340.873] (S)ふむふる: radaoGG
[2340.884] (S)natune_0: うおおおおおおお
[2340.912] あきぬこ: radaoGG
[2341.108] (S)sacooon: ないす！！
[2341.154] (S)peroki0531: radaoGG
[2341.176] (S)shige__maru: GG
[2341.183] necohina: ないすー！
[2341.243] (S)あさみや301: radaoGG
[2341.279] (S)ここねり: ないすー！！
[2341.301] (S)rui_sk39: radaoGG
[2341.354] chirol__: radaoGG
[2341.361] zane417: radaoGG
[2341.453] (S)drem_chan: radaoGG
[2341.710] (S)清水ぐらこ: radaoGG
[2341.726] (S)mohanan_139: ないすー！
[2341.753] mizuno0624: radaoGG
[2341.754] (S)tamakooo__: うんまい！！！！！
[2341.787] foxy1003: radaoGG
[2341.887] soboroboso: radaoGG
[2341.900] (S)rarara_b: radaoGG
[2343.110] まみまる: radaoGG
[2343.168] (S)みずいろか: radaoGG
[2343.204] (S)愛由2590: ないすううう
[2343.248] (S)nakihai556: radaoGG
[2343.348] ずみこ: radaoGG
[2343.435] necohina: gg
[2343.455] (S)yona_0724: radaoGG
[2343.605] (S)りょーいち: radaoGG
[2343.666] ru_san0720: radaoGG
[2343.821] (S)そふぃ3: おおおおおおおおおおお！
[2343.942] (S)スパーズ: radaoGG
[2343.948] yuki_snowdrop: radaoGG
[2343.991] (S)kurui440: おおおおおおお
[2344.071] 神崎立夏: radaoGG
[2344.165] (S)てあてあて: radaoGG
[2344.169] (S)howlin_0: radaoGG
[2344.210] (S)まここま: radaoGG
[2344.292] 29yomi_: radaoGG
[2344.309] (S)rui_sk39: radaoGG
[2344.411] (S)himikokichi_06: ないすぅ
[2344.435] (S)ninfea_03: radaoGG
[2344.520] (S)tamakooo__: radaoGG
[2344.721] よわはと: ないせ！
[2344.848] (S)yumemiruneco: ないすぅ
[2345.014] (S)poncho_popo: radaoGG
[2345.052] (S)ここねり: radaoGG
[2345.183] (S)ekf4hamada: radaoGG
[2345.282] (S)ミヤチ: radaoGG
[2345.402] (S)スパーズ: radaoGG
[2345.513] だぱんだだよ: radaoGG
[2345.554] (S)ねこすず: radaoGG
[2345.645] (S)riyuu25: ないすー
[2345.648] yunihizumi: radaoGG
[2345.823] (S)Pantobox: radaoGG
[2345.885] unauna713: radaoGG
[2345.890] kanenbutsu: ないすー！！！
[2346.152] mamo_tarou: radaoNice
[2346.394] (S)そるとりうむ: ないすぅ！！！！！
[2346.401] (S)huizika: キャリー力よ
[2346.551] (S)sacooon: かっけえ
[2346.805] pu_tyan: radaoGG
[2346.876] necohina: radaoGG
[2346.934] (S)あさみや301: うまい
[2347.013] 紗弥0926: ないすう 
[2347.139] (S)チュチュンバー: radaoGG
[2347.357] (S)natune_0: radaoGG
[2347.454] waraashi: radaoGG
[2347.712] kazushan: radaoNice
[2347.783] chirol__: ないすー！！
[2347.850] ニコ丸0429: radaoGG
[2347.907] jhonnymorimori: radaoGG
[2348.083] (S)ドロッと食感: ないすぅ
[2348.095] (S)_りゅん: うますぎ！！
[2348.185] (S)himikokichi_06: radaoGG
[2348.414] (S)スパーズ: radaoNice
[2348.493] (S)naniha_0728: radaoGG
[2348.616] よわはと: radaoGG
[2348.621] mirumiru_h: radaoGG
[2348.632] (S)ギャンブルはやめましょう: radaoGG
[2348.808] (S)きのこの炊き込みご飯: radaoGG
[2348.869] (S)そふぃ3: radaoGG
[2349.212] hamati_kan: ないすーーー！
[2349.218] (S)四季猫かぎねこ: ないすー！！
[2349.418] 角角家: radaoGG
[2349.430] (S)Nanju_Min: radaoGG
[2349.439] toooh_4: radaoGG
[2349.498] (S)mohanan_139: radaoGG
[2349.498] ayunosioyaki0223: radaoGG
[2349.657] 1010tento: radaoGG
[2349.760] 元気田: 3タテつよ
[2349.813] (S)suiha_7: radaoGG
[2349.864] (S)goodfriends02: radaoGG
[2349.885] (S)なるか3: radaoGG
[2349.926] がっちょ: おまえうめえ
[2349.977] (S)sacooon: radaoGG
[2350.199] おろしポン酢: radaoGG
[2350.203] (S)pinkchikinhead: radaoGG
[2350.218] (S)りょーいち: ないすぅ！！
[2350.409] (S)atuono: radaoGG
[2350.420] (S)netaiyo: radaoGG
[2350.502] ギンナン: radaoGG
[2350.615] (S)はちみつトマト: radaoGG
[2350.673] (S)限界大学院生チャンネル: うまい
[2350.691] rai2109: radaoGG
[2350.719] (S)愛由2590: radaoNice
[2350.798] (S)_なつ_: radaoGG
[2350.813] (S)pontaaaa000: ないすう！！
[2350.818] shira_to: うまい
[2350.888] dairyu1128: radaoGG
[2350.901] (S)tamakooo__: radaoYatta
[2350.987] (S)ta__mei: radaoGG
[2351.140] (S)こぶきち: radaoGG
[2351.164] ももかんぬ: radaoGG
[2351.294] charosenpai: radaoGG
[2351.375] (S)816_uti: radaoGG
[2351.380] 大宮瑞樹: radaoGG
[2351.441] kuru053: radaoGG
[2351.478] (S)fuuuu__10: radaoGG
[2351.506] (S)のこ汰: radaoGG
[2351.725] (S)こばやし__: radaoGG
[2351.745] (S)スパーズ: radaoGG
[2351.916] (S)なるか3: radaoNice
[2352.316] (S)海びちゃん: radaoGG
[2352.411] lara_3o: radaoGG
[2352.489] (S)とりーーも: radaoGG
[2352.493] 角角家: ちゃんぽんおめ！
[2352.748] (S)そふぃ3: radaoGG
[2352.912] poratto_0622: radaoGG
[2353.125] (S)rosemary0920: radaoGG
[2353.179] (S)hina_1118: radaoGG
[2353.199] セイロン: radaoGG
[2353.293] (S)はるのてゃん: radaoGG
[2353.340] (S)チョコバナナ食べたいンゴ: radaoGG
[2353.344] (S)howlin_0: 急に勝つやん
[2353.363] (S)しらたまああ: radaoGG
[2353.420] soraha: ないすーーー！！
[2353.502] (S)tamakooo__: radaoGG
[2353.599] (S)riyuu25: radaoNice
[2353.651] (S)mawt___: radaoGG
[2353.858] kurumi0108: radaoGG
[2353.876] (S)あみこ0408: radaoGG
[2353.910] jhonnymorimori: うますんぎ
[2354.064] bc_moimoi: radaoGG
[2354.086] (S)yoichimu: radaoGG
[2354.107] (S)夏目信乃: radaoGG
[2354.113] (S)はとと: radaoGG
[2354.276] (S)tumugi_76: radaoGG
[2354.305] (S)ろみ_63: radaoGG
[2354.378] からたべ: radaoGG
[2354.488] ひのした: radaoGG
[2354.614] hatiti88: radaoGG
[2354.685] mirumiru_h: ないすぅ！
[2354.738] 天然水の水: radaoGG
[2354.861] ぶんたん文旦: radaoGG
[2355.051] (S)田中弐号機: radaoNice
[2355.070] (S)tono__0214: radaoGG
[2355.098] pu_tyan: ないすぅ！！
[2355.141] (S)しらたまああ: radaoKick
[2355.245] (S)shige__maru: radaoGG
[2355.282] シアン_: radaoGG
[2355.338] (S)lumaguron: radaoGG
[2355.346] Water_1013: radaoGG
[2355.358] yukichi893: radaoGG
[2355.465] (S)riin_2020: radaoGG
[2355.674] fukumegane: radaoGG
[2355.787] (S)aoiro1133: radaoGG
[2355.872] (S)ﾅﾏﾁｬ: radaoGG
[2356.168] myuu2001: radaoGG
[2356.299] (S)ゆきとよ: radaoGG
[2356.404] ももかんぬ: うまいねえ
[2356.484] isakifish: radaoGG
[2356.738] (S)mitakeshan: radaoGG
[2356.788] nonoha_111: radaoGG
[2356.826] かもねぎ_: radaoGG
[2356.995] (S)enbuun_: radaoGG
[2357.001] kazushan: radaoGG
[2357.010] (S)愛由2590: radaoGG
[2357.011] (S)こばやし__: radaoNice
[2357.012] crow_d27i7: radaoGG
[2357.012] (S)しらたまああ: radaoGG
[2357.038] (S)tyso66: radaoGG
[2357.157] ごんのすけ: radaoGG
[2357.220] (S)sirankedo0611: radaoGG
[2357.221] (S)しなと: radaoGG
[2357.241] みあたん: radaoGG
[2357.436] (S)k1444557: radaoGG
[2358.211] (S)yusan913: radaoGG
[2358.352] (S)やさお: radaoGG
[2358.424] (S)tamakooo__: radaoNice
[2358.536] (S)siuufrog: radaoCry
[2358.566] (S)まりぃー侍: radaoGG
[2358.581] (S)amanatsu_007: radaoGG
[2358.814] (S)スパーズ: radaoNice
[2359.043] すいぺりあ: radaoGG
[2359.164] otenba_usagi: radaoGG
[2359.186] (S)rom_ruru: radaoGG
[2359.274] (S)りんりんりんこ331: radaoGG
[2359.292] (S)tono__0214: radaoGG
[2359.380] (S)tanpopo_po: radaoGG
[2359.393] (S)ジンコ: ナイス〜！
[2359.416] (S)IMOSUBE: radaoGG
[2359.557] (S)mihhi_1126: radaoGG
[2359.596] (S)さぼてん恐怖症: radaoGG
[2360.561] (S)tumugi_76: ないすぅ！！！
[2360.644] (S)しょうろんぽウ: radaoGG
[2360.787] emuuun_04: radaoGG
[2361.217] (S)tamakooo__: radaoOme
[2361.258] (S)スパーズ: radaoGG
[2361.367] (S)_なつ_: Cheer1000
[2361.830] ねここねる: radaoGG
[2361.915] nonoha_111: radaoNice
[2362.051] (S)えん: radaoGG
[2362.631] kyouka_ky: radaoGG
[2363.011] (S)raimunn_: radaoGG
[2363.354] (S)fuuuu__10: radaoGG
[2363.576] (S)trtrtmg: radaoGG
[2363.807] totorini: radaoGG
[2363.846] (S)こぺと: radaoGG
[2364.238] (S)kamiduki24: radaoTrain
[2364.404] (S)Kikuya0w0: radaoGG
[2364.407] (S)hisui114514: Cheer500 
[2364.445] (S)uro_1604: radaoGG
[2364.760] キャリ: radaoGG
[2364.961] (S)_こなた_: radaoGG
[2364.992] (S)chiharu1212: radaoGG
[2365.032] (S)PEI_OwO_: radaoGG
[2365.044] (S)drem_chan: radaoGG
[2365.392] こもり: radaoGG
[2365.711] (S)aoiro1133: radaoNice
[2365.802] (S)oyasai_rc: radaoGG
[2365.811] (S)tanpopo_po: radaoGG
[2366.069] ねるの: radaoGG
[2366.355] (M)Nightbot: サブスクdiscordの入り方はこちら→https://twitter.com/rader2525/status/1167079316754067456
[2366.568] (S)天童: radaoGG
[2366.736] 梨一: オルタ怖いね
[2366.794] (S)howlin_0: radaoGG
[2366.877] (S)siuufrog: radaoNice
[2366.942] (S)柒弍: radaoGG
[2366.998] (S)ねむお: radaoGG
[2368.092] バロン51: radaoGG
[2368.163] rinn_tu: radaoGG
[2368.851] (S)スパーズ: radaoNice
[2368.862] pu_tyan: radaoSekiyu
[2368.955] (S)hikky7294: うめぇぇ
[2369.119] すいぺりあ: ぬるっととれた
[2369.568] (S)syao7893: radaoGG
[2369.773] (S)甘鈴: radaoGG
[2370.252] あきぬこ: radaoTrain
[2370.320] (S)piroropiro: radaoOme
[2370.408] おろしポン酢: 落ち着いたちゃんぽん
[2370.893] ﾊｸﾁｮｳ: radaoGG
[2371.130] (S)スパーズ: radaoGG
[2371.216] (S)ディンダン: radaoGG
[2371.405] kiriya_453145: radaoGG
[2371.731] (S)runa027: radaoGG
[2372.199] (S)NORI25252: radaoNice
[2372.317] nonoha_111: radaoKitya
[2372.342] (S)nenne_n: radaoGG
[2373.100] 七市: radaoGG
[2373.334] (S)tumugi_76: 急に本領発揮するじゃん
[2373.521] (S)みそチョコ: radaoGG
[2373.991] (S)uw_azu_wu: radaoGG
[2374.358] jhonnymorimori: radaoNice
[2374.606] もち324: radaoGG
[2374.840] kio_1216: radaoGG
[2375.233] (S)tuki_41217: radaoGG
[2375.347] 1ce104: radaoGG
[2375.827] (S)まここま: ウルト・・・？
[2376.032] (S)さぽぽ: radaoGG
[2376.119] (S)ta__mei: radaoGG
[2376.166] (S)ankaaaaakegohan: radaoGG
[2376.484] (S)yumemiruneco: radaoOme
[2377.568] (S)ゆきおまる: radaoGG
[2378.294] (S)suiha_7: ３タテつよいーん
[2380.405] microworm_88: radaoGG
[2380.453] ayunosioyaki0223: ？？？？？？
[2380.632] (S)ta__mei: radaoOme
[2382.120] (S)guri_415: radaoGG
[2382.185] (S)siuufrog: radaoKitya
[2383.783] (S)816_uti: radaoGG
[2383.791] 縮緬雑魚: やだ
[2384.545] すいぺりあ: radaoOme
[2384.796] 梨一: こじるな
[2385.026] (S)スパーズ: radaoKitya
[2385.404] (S)ケバブビギナーのえる: radaoOme
[2385.550] (S)ここねり: ？？
[2385.688] 0214ちさ: ？？？
[2386.295] あきぬこ: せびるな
[2386.325] emuuun_04: radaoNice
[2386.632] (S)ryo_ngz: いつもの
[2386.705] chirol__: ？？？
[2388.077] (S)himikokichi_06: ？？？
[2388.257] (S)ruchi_13: ？
[2388.415] (S)哀れな人の子: 催促
[2388.507] おろしポン酢: radaoOme
[2388.575] (S)PEI_OwO_: ？？？？？？
[2388.681] (S)Ichigo_Strawberry15: ？？？？？
[2389.389] jhonnymorimori: radaoOme
[2389.408] 五色椿: せびるな
[2389.929] matchamochi117: ？？？
[2389.982] (S)ギャンブルはやめましょう: ？
[2390.480] まみまる: ？？？？
[2391.254] mizuno0624: 普通に3タテやもんなぁ
[2391.386] poteito: せびるな
[2391.403] (S)shige__maru: ？？
[2391.800] dokukinoco: ？？？？？？
[2392.301] sunomono8: ？？？？
[2392.344] kuru053: ？？？？？？？？？？
[2392.495] (S)こばやし__: ？？？
[2392.559] (S)らるとす_99: ?????
[2393.396] (S)howlin_0: ランク行かんのか？
[2393.559] (S)ninfea_03: ？？？
[2393.566] (S)なるか3: ？？
[2393.642] (S)がるーら: 乞食
[2394.236] (S)ねこすず: ？？？
[2394.412] pu_tyan: ？？？？？？
[2394.439] (S)スパーズ: ？？？？
[2394.450] (S)_こなた_: ？？？？
[2394.957] tsuyuki77: ？
[2395.170] (S)きのこの炊き込みご飯: ？？？
[2395.327] (S)のこ汰: ？？？
[2395.771] (S)suiha_7: radaoHatena2
[2395.826] (S)tuki_41217: ？？？
[2396.522] (S)goodfriends02: ？？？
[2396.731] (S)panndaman1: ？？？
[2396.802] 1ce104: radaoHatena2
[2396.866] ayunosioyaki0223: せびるな粕
[2397.046] しかくのさんかく: ？？？
[2397.886] コミヤ: は？
[2397.928] (S)ukiwaman82: ？？？
[2398.002] いのりさん: ストレートに言ったな
[2398.396] mirumiru_h: radaoOkane
[2398.487] (S)tumugi_76: ？？？
[2398.659] すいぺりあ: ？？？？
[2399.133] (S)shi_n_tou: じゃあハンマー
[2399.318] jhonnymorimori: 「お金くれー」
[2399.375] (S)_なつ_: ？？？
[2399.385] (S)ozokunchan: radaoKick
[2399.503] (S)naniha_0728: radaoOme
[2399.609] (S)しょこら25: ？？？？
[2399.851] (S)猫又01: radaoHatena2
[2400.075] あきぬこ: ランクいけ
[2400.093] ニコ丸0429: ？？？
[2400.927] (S)k1444557: radaoHatena2
[2401.144] (S)mawt___: radaoHatena2
[2401.159] ギンナン: radaoOkane
[2401.331] (S)yoichimu: radaoHatena2
[2401.387] (S)riyuu25: ？
[2401.920] (S)Nanju_Min: radaoHatena2
[2402.124] waraashi: ？？？？？？
[2402.271] (S)がるーら: radaoKasu
[2402.809] (S)enbuun_: radaoHatena2
[2402.919] (S)スパーズ: radaoMoney
[2403.169] (S)ekf4hamada: え、やだけど？
[2403.220] (S)宮瀬: ？？？？？？？
[2403.409] (S)はるのてゃん: ？？？？？
[2403.440] (S)しなと: ？
[2403.628] (S)siuufrog: radaoPien
[2403.856] 梨一: ありがとう豆？
[2404.111] 大宮瑞樹: radaoHatena2
[2404.143] やくとみ: 言われると投げたくなくなる
[2404.289] (S)1a_a2_: radaoKasu
[2404.778] ツカモト: Cheer1000
[2405.055] (S)スパーズ: radaoOkane
[2405.774] (S)ギャンブルはやめましょう: ストレート
[2405.823] 神崎立夏: www
[2405.941] pu_tyan: radaoHatena2
[2406.028] (S)syao7893: radaoSekiyu
[2406.481] (S)uro_1604: ？？
[2406.628] (S)あさみや301: しゃーねーな
[2406.670] (S)わらびモち: radaoHatena2
[2406.771] (S)PEI_OwO_: radaoKasu
[2406.855] かもねぎ_: radaoKasu
[2406.995] すいぺりあ: radaoKasu
[2407.119] (S)ドレイン: ？？？？？？？
[2407.328] キャリ: radaoHatena2
[2408.113] (S)tumugi_76: もう１チャンピオンしてほしい
[2408.255] (S)スパーズ: radaoOkane
[2408.455] よわはと: radaoMoney
[2408.893] (S)yoichimu: radaoMoney
[2408.949] (S)しなと: radaoHatena2
[2409.107] (S)mayu_329: radaoOkane
[2409.124] (S)keichaaaaaan: radaoOkane
[2409.128] (S)わらびモち: radaoSekiyu
[2409.283] (S)きのこの炊き込みご飯: radaoHatena2
[2409.303] yamamine3: yamamine3 subscribed at Tier 3. They've subscribed for 24 months! 
[2409.929] (S)ちよらん: radaoHatena2
[2410.456] (S)dia11313: エグっ
[2410.665] (S)tanpopo_po: えーーー
[2410.717] (S)rarara_b: radaoKasu
[2410.911] kuru053: カジュアルだから
[2411.264] (S)Nanju_Min: radaoOkane
[2411.463] (S)ﾅﾏﾁｬ: radaoHatena2
[2411.471] pu_tyan: radaoSekiyu
[2411.684] omuraisu0806: radaoHatena2
[2412.347] (S)のこ汰: radaoKasu
[2412.472] (S)norensan: radaoMoney
[2412.478] 梨一: は？
[2412.515] (S)さぼてん恐怖症: radaoOkane
[2412.588] (S)shinichan227: radaoOkane
[2412.923] (S)atuono: radaoKasu
[2412.960] shira_to: radaoSekiyu
[2413.011] 4toki22: 言われなかったら投げた
[2413.823] (S)ukiwaman82: radaoHatena2
[2413.859] あきぬこ: radaoOkane
[2413.956] (S)guri_415: radaoOkane
[2414.149] (S)らるとす_99: radaoKasu
[2414.237] どくつる: radaoSekiyu
[2414.402] (S)enbuun_: radaoSekiyu
[2414.587] tsuyuki77: radaoSekiyu
[2414.826] (S)哀れな人の子: わがまま！
[2414.827] emuuun_04: Cheer1000
[2414.915] (S)kurui440: radaoHatena2
[2415.276] nonoha_111: radaoKick
[2415.285] コミヤ: radaoOtu2
[2415.337] (S)ねこすず: radaoSekiyu
[2415.375] (S)田中弐号機: ？
[2415.398] (S)猫又01: radaoKasu
[2415.437] (S)まここま: は？
[2415.512] (S)スパーズ: radaoKasu
[2415.739] (S)Ichigo_Strawberry15: 強欲の壺
[2415.773] ももかんぬ: radaoKasu
[2415.784] 縮緬雑魚: うっわ...
[2415.826] 夜伽らぁ: もう1ちゃんぽん
[2416.035] (S)shi_n_tou: ハンマー出してから言って
[2416.125] キャリ: radaoKasu
[2416.194] mizuno0624: 壺
[2416.539] まみまる: radaoOkane
[2416.612] (S)yumemiruneco: 大きい買い物したのかな
[2416.659] ayunosioyaki0223: radaoSekiyu
[2416.894] ニコ丸0429: 守銭奴め
[2417.021] (S)3点リーダ: radaoKasu
[2417.253] (S)ozokunchan: radaoKasu
[2418.122] (S)ちよらん: radaoKasu
[2418.242] (S)そるとりうむ: やば
[2418.398] (S)スパーズ: radaoSekiyu
[2418.438] (S)netaiyo: radaoHatena2
[2418.624] (S)Nanju_Min: radaoKasu
[2418.865] (S)enbuun_: radaoKasu
[2419.095] 梨一: あ
[2419.525] (S)mitakeshan: radaoKasu
[2419.889] 神崎立夏: 金の亡者
[2420.035] (S)りょーいち: radaoKasu
[2420.085] ちよび: radaoKasu
[2420.500] (S)Ichigo_Strawberry15: radaoKasu
[2420.668] chirol__: radaoOkane
[2420.712] (S)スパーズ: radaoKasu
[2420.934] (S)himikokichi_06: radaoKasu
[2421.099] (S)1a_a2_: radaoTariki
[2421.467] (S)naniha_0728: ダブハン狙ってけ
[2421.719] (S)がるーら: radaoBen
[2421.996] pu_tyan: radaoKasu
[2422.009] コミヤ: radaoKasu
[2422.216] (S)howlin_0: 私です、、、
[2422.533] hamati_kan: Cheer1000
[2423.124] (S)netaiyo: radaoKasu
[2423.242] (S)しらすいか: radaoKasu
[2423.302] (S)nashu_noike: radaoKasu
[2423.365] (S)スパーズ: radaoKasu
[2423.370] (S)しょこら25: radaoKasu
[2423.389] (S)がるーら: radaoMoney
[2423.412] おろしポン酢: radaoOkane
[2423.564] ももかんぬ: 言わなかったらあげたのに
[2423.682] いのりさん: あ…
[2423.735] (S)panndaman1: radaoKasu
[2424.093] mirumiru_h: radaoKasu
[2424.193] (S)ryo_ngz: ケチじゃねぇか
[2424.324] まみまる: radaoKasu
[2424.882] (S)ninfea_03: radaoKasu
[2424.889] あきぬこ: radaoKasu
[2425.014] (S)しょうろんぽウ: radaoKasu
[2425.082] (S)mayu_329: radaoKasu
[2425.203] (S)himikokichi_06: あ
[2425.302] (S)_こなた_: radaoKasu
[2425.561] waraashi: radaoSekiyu
[2425.864] (S)mbando55: あ
[2425.896] 神崎立夏: ドケチなのに？
[2426.103] (S)きのこの炊き込みご飯: radaoKasu
[2426.157] (S)みずいろか: radaoSekiyu
[2426.210] (S)oyasai_rc: Cheer300
[2426.549] 唐辛子ガール: radaoKasu
[2426.649] (S)enbuun_: radaoKick
[2426.721] (S)yoichimu: radaoKasu
[2426.870] (S)rui_sk39: radaoKasu
[2426.882] (S)なるか3: radaoSekiyu
[2427.452] ﾊｸﾁｮｳ: radaoKasu
[2427.497] ru_san0720: radaoKasu
[2427.555] (S)suiha_7: radaoSekiyu
[2427.655] teritama5: radaoCry
[2427.670] (S)uw_azu_wu: radaoKasu
[2427.681] (S)こばやし__: radaoKasu
[2427.864] (S)ギャンブルはやめましょう: radaoKasu
[2428.095] (S)スペルタン: radaoKasu
